"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_CanalFamily";"*chaine_D17";"*chaine_Direct8";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_FranceO";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX";"*chaine_W9"
"devenir";0;0;1;6;0;0;6;10;0;2;2;0;3;0;1;1;0;2;0;0;2;10;0;0
"accidentellement";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0
"maloney";0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"évolution";0;0;0;0;1;0;0;1;6;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
"substance";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0
"karim";0;0;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"vigi";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rythmé";0;1;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"unir";0;2;0;3;0;0;0;2;0;1;0;0;5;0;1;2;0;0;0;1;16;0;0;0
"sortir";0;5;0;4;0;0;0;2;3;2;2;0;0;0;1;0;0;0;0;0;1;7;0;0
"commentaire";0;3;4;5;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0
"machine";0;0;0;1;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;1;1;2;0;0
"zorbb";0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"réalisateur";0;1;0;3;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0
"sentir";0;0;1;3;0;0;0;9;0;0;1;0;0;0;0;0;0;2;0;0;0;3;0;0
"peur";1;0;2;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
"député";0;1;26;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0
"espèce";1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;1;2;0;0
"affaire";0;4;9;2;0;0;0;2;0;1;0;0;0;0;2;2;0;0;0;0;0;3;0;0
"chronique";0;4;0;0;0;0;4;22;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0
"vigier";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambre";0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;48;0;0;0;0;0;0;0;0
"rick";0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"guerre";0;0;0;6;0;0;0;1;0;1;0;0;0;0;0;3;0;0;0;0;0;2;3;0
"souvenir";2;0;0;2;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;7;0;0
"demander";1;0;0;3;0;0;2;0;2;2;1;0;2;0;0;1;0;0;0;0;1;6;0;0
"parler";0;0;3;1;0;0;5;11;1;0;0;0;0;0;1;2;0;1;0;0;0;3;0;0
"fry";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0
"penser";0;0;0;0;0;0;3;4;1;1;3;2;1;0;3;0;1;0;0;2;4;5;0;0
"suivre";0;2;1;1;0;0;2;4;1;0;2;0;0;0;1;2;0;0;0;0;2;2;0;0
"superhéros";0;0;0;1;0;0;0;0;0;55;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"évoquer";0;7;6;2;0;0;20;0;0;0;1;0;0;0;0;4;0;0;0;2;5;0;0;0
"emploi";0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tête";0;2;1;5;0;0;0;1;1;104;2;0;1;0;1;2;0;0;0;0;0;3;0;0
"empêcher";0;0;0;2;0;0;1;0;1;0;2;0;0;0;0;1;0;0;0;0;1;3;0;0
"marcher";0;1;0;0;0;0;2;3;1;0;3;0;0;0;0;0;0;1;0;0;1;0;0;0
"possible";0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;1;11;4;0;0
"hassaine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0
"théorie";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;6;0;0;0
"fou";0;0;0;0;0;0;0;3;1;0;2;0;0;0;1;0;0;0;0;0;1;11;0;0
"expérience";0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;0;1;2;0;1;3;0;0;0
