"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"pre";2,6294;-0,4935;-9,9237;0,3127;0,8092;-1,6377;0,585;4,4889;0,4052;-0,4156;2,0953;-0,2902;-1,7741;1,109;-0,76;-3,0981;12,5815;0,4972;-0,5301;-2,3605;0,3098;-0,8664;0,7634;-0,4449
"ver_sup";0,2928;-6,5588;-2,7607;-0,4692;-0,2029;-0,3375;-0,5229;-0,4041;0,7802;2,4005;1,3343;-0,2906;0,3703;0,284;1,0436;-8,7269;-3,8431;0,9927;1,3528;0,8951;3,6993;0,9726;-0,2437;-0,4359
"adj_dem";-0,5024;-0,8667;-2,6186;0,6925;-0,1754;-0,1044;-1,9019;0,4577;-0,4384;4,8601;0,31;-0,0899;0,3593;-0,0986;-1,703;-3,3208;-2,8075;0,6371;0,4658;0,9048;1,2633;-0,3826;-0,1972;0,5737
"ono";-0,2031;-1,9797;-2,1083;4,2352;-0,0709;-0,0422;-0,3012;0,4591;4,4217;-9,2994;1,7221;-0,0363;0,5907;1,0573;1,0867;-1,2878;-1,1347;0,2003;-0,2137;-0,7349;-0,384;1,2711;-0,0797;-0,0545
"pro_per";0,4929;-15,6108;-14,0513;-0,7335;0,3206;-1,197;-1,6837;2,8516;3,1345;5,1365;-1,7867;-0,2313;0,6116;0,3257;0,6486;-17,7826;4,2481;3,4681;1,2253;-0,4955;-0,3781;7,0863;-0,3784;0,3339
"num";-4,2955;22,1937;55,9979;-25,198;-1,5;-0,8923;198,853;-19,9333;-13,8793;-177,1006;-2,673;-0,7683;-9,5575;-0,3701;-17,1807;234,0556;-1,0308;-5,8707;-4,5195;-11,5997;-40,5295;-21,2109;-1,6861;1,3231
"adv";-0,5831;0,2878;-2,6924;1,2462;1,0963;-0,1211;-0,9593;0,7349;4,5283;-21,2629;0,8903;-0,1043;3,7012;-0,1144;0,4394;-0,4848;6,7918;2,0788;0,3861;2,0072;-0,8745;0,6908;-0,2289;-0,1565
"ver";2,5369;-16,1547;-48,9555;4,9898;-0,262;0,5748;-1,2547;2,2231;4,6721;-2,376;-1,3748;1,4521;5,3942;0,9179;5,6022;-16,3292;6,663;1,2434;1,5709;-0,3048;-0,5178;14,6162;-0,4111;0,5774
"adj_ind";-0,3872;-0,8421;0,3794;0,9521;0,5726;-0,0804;0,5485;1,0276;0,4779;-12,9977;-1,2697;-0,0693;-0,4581;-0,076;-0,3125;-0,8439;-0,8911;0,2486;1,8283;3,9836;4,395;1,1806;0,5297;0,672
"adj_pos";0,8857;-3,7828;-13,4043;0,3881;-0,7636;-0,4543;-1,2856;6,4209;4,8028;1,3531;1,1705;-0,3911;0,3788;0,2023;3,4493;-10,6785;-3,2227;2,5629;-0,6396;-3,0209;-7,6439;7,0419;-0,3823;-0,2136
