"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_CanalFamily";"*chaine_D17";"*chaine_Direct8";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_FranceO";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX";"*chaine_W9"
"pre";67;446;362;1330;21;4;592;1181;406;2244;527;8;153;14;292;692;377;106;46;140;843;946;23;11
"ver_sup";4;10;21;99;1;0;41;80;37;208;48;0;15;1;31;21;6;12;8;18;95;87;1;0
"adj_dem";0;7;3;37;0;0;6;28;8;84;12;0;5;0;2;6;0;4;2;7;28;22;0;1
"ono";0;0;0;28;0;0;5;12;14;1;10;0;3;1;6;3;0;1;0;0;7;15;0;0
"pro_per";15;47;56;346;5;0;133;339;143;711;107;2;54;3;91;101;106;47;20;43;226;350;4;4
"num";0;197;282;126;0;0;532;101;24;30;71;0;6;1;9;659;44;3;0;3;33;85;0;6
"adv";0;13;4;47;2;0;11;35;27;7;18;0;15;0;10;19;25;8;2;11;18;32;0;0
"ver";45;160;91;931;10;8;328;716;310;1308;267;10;158;9;252;316;227;75;42;105;508;785;10;10
"adj_ind";0;5;10;31;1;0;13;26;9;6;4;0;2;0;5;10;2;2;4;12;33;25;1;1
"adj_pos";8;25;8;142;0;0;48;164;71;260;61;0;20;1;53;30;12;21;3;6;43;156;1;1
"aux";9;64;71;248;2;0;144;252;101;890;108;2;33;1;78;146;106;29;17;79;337;205;4;3
"nr";39;547;855;1156;0;8;494;670;189;1436;298;6;147;3;176;1096;164;44;11;72;252;668;10;8
"pro_ind";2;11;8;76;0;0;18;76;28;199;23;2;14;0;21;14;8;6;5;8;55;48;1;0
"adj";20;202;233;653;15;0;180;465;190;1203;230;8;86;1;160;307;145;62;17;127;653;417;18;2
"pro_dem";1;17;6;68;0;0;20;61;22;9;29;0;10;0;16;27;2;8;0;5;34;45;0;1
"nom";62;913;953;2147;37;24;907;1812;616;3767;842;10;261;19;474;1353;373;146;80;305;1355;1560;29;24
"art_ind";16;72;98;443;8;4;130;325;118;837;122;2;43;3;108;112;189;28;22;106;412;346;8;5
"adj_int";1;1;0;2;0;0;0;5;0;0;2;0;2;0;0;0;0;0;0;1;1;0;0;0
"pro_pos";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"nom_sup";1;14;16;29;0;0;18;38;20;3;15;0;11;0;14;15;1;4;3;3;21;22;0;0
"adv_sup";10;32;56;215;2;0;86;168;81;651;95;4;23;1;75;67;16;17;12;18;164;154;5;0
"adj_sup";0;2;0;10;0;4;2;17;2;1;6;0;3;0;6;4;1;1;0;0;1;9;0;1
"art_def";32;429;295;888;11;16;368;729;315;1187;382;6;137;8;209;472;64;60;49;126;670;718;17;9
"adj_num";0;8;3;38;0;0;3;12;13;7;18;0;10;1;10;7;0;1;0;2;12;13;0;1
"pro_rel";8;19;13;160;1;4;41;107;58;447;50;2;27;0;50;36;5;16;9;21;138;109;1;2
"con";6;68;75;396;5;0;75;310;108;890;128;0;64;1;86;78;41;34;12;27;175;278;3;3
