"";"X.baseid_SA";"X.baseid_TV"
"pre";134,82;141
"ver_sup";10,69;10,78
"adj_dem";3,46;3,18
"ono";0,47;2,36
"pro_per";36,19;39,1
"num";37,87;16,84
"adv";2,89;4,99
"ver";77,04;94,06
"adj_ind";2,3;2,88
"adj_pos";10,92;18,46
"aux";44,36;28,99
"nr";110,01;101,65
"pro_ind";8,06;7,76
"adj";72,9;63,56
"pro_dem";2,91;7,07
"nom";229,54;229,88
"art_ind";47,87;42,15
"adj_int";0,12;0,27
"pro_pos";0,05;0,08
"nom_sup";2,28;4,17
"adv_sup";26,8;22,51
"adj_sup";0,43;1,43
"art_def";83,39;100,86
"adj_num";1,09;3,1
"pro_rel";18,27;15,16
"con";35,26;37,71
