"";"banalfreq";"X.baseid_SA";"X.baseid_TV"
"lors";22;-0,7711;0,7711
"évolution";12;-0,6989;0,6989
"substance";11;1,6639;-1,6639
"unir";33;1,5969;-1,5969
"commentaire";21;0,3557;-0,3557
"machine";10;-0,6871;0,6871
"peur";12;-1,1069;1,1069
"espèce";10;-0,3735;0,3735
"toute";24;-0,3612;0,3612
"affaire";25;-0,6691;0,6691
"guerre";16;-0,7263;0,7263
"demander";21;-0,9118;0,9118
"parler";28;-1,427;1,427
"penser";30;-0,832;0,832
"suivre";20;-1,4711;1,4711
"empêcher";11;-1,3861;1,3861
"marcher";12;-1,1069;1,1069
"possible";20;0,4697;-0,4697
"expérience";12;0,7415;-0,7415
"technologie";22;0,4301;-0,4301
"observation";11;1,6639;-1,6639
"sol";10;-1,1364;1,1364
"égyptien";11;1,6639;-1,6639
"sommaire";16;-0,7263;0,7263
"reportage";34;-0,8623;0,8623
"explorer";14;1,5577;-1,5577
"si";50;-1,4654;1,4654
"internet";27;-1,6197;1,6197
"million";22;1,789;-1,789
"tendance";11;-0,8895;0,8895
"affirmer";23;0,5109;-0,5109
"comédien";20;-1,0762;1,0762
"différent";15;-0,8898;0,8898
"visiteur";26;0,7878;-0,7878
"désert";28;-0,4047;0,4047
"humoriste";17;0,2457;-0,2457
"ceux";10;-0,3735;0,3735
"situation";15;-1,8279;1,8279
"esprit";10;-1,7502;1,7502
"succès";14;-0,2353;0,2353
"vouloir";45;-0,6501;0,6501
"télé";19;1,3245;-1,3245
"origine";43;0,8888;-0,8888
"plusieurs";25;0,6901;-0,6901
"répondre";38;1,494;-1,494
"chaîne";15;1,7401;-1,7401
"écrivain";27;-0,4802;0,4802
"terre";136;-0,8391;0,8391
"tv";14;-0,2353;0,2353
"projet";11;1,0356;-1,0356
"retourner";10;-1,7502;1,7502
"mort";16;-0,457;0,457
"science";13;-1,3369;1,3369
"information";20;-1,9478;1,9478
"débat";34;0,793;-0,793
"signe";11;-1,3861;1,3861
"personne";37;-1,9433;1,9433
"recette";14;-1,0898;1,0898
"comprendre";49;-0,8699;0,8699
"jusqu_à";12;0,218;-0,218
"avec";508;0,7318;-0,7318
"diffusion";11;-0,2774;0,2774
"leçon";14;1,0297;-1,0297
"toujours";39;-1,933;1,933
"croire";28;-0,264;0,264
"notamment";11;-0,8895;0,8895
"europe";15;-0,5711;0,5711
"environnement";31;1,7301;-1,7301
"35";18;1,6702;-1,6702
"mystère";17;-0,8953;0,8953
"hôpital";10;-0,6871;0,6871
"personnalité";11;-1,3861;1,3861
"alexandre";18;1,6702;-1,6702
"frère";17;-1,283;1,283
"t";28;-1,427;1,427
"meilleur";15;0,7703;-0,7703
"menace";13;-1,3369;1,3369
"découverte";34;-1,1214;1,1214
"millier";16;1,3408;-1,3408
"continuer";18;0,517;-0,517
"garder";10;-0,6871;0,6871
"apparence";11;-0,8895;0,8895
"les";1498;-0,3437;0,3437
"beaucoup";19;-0,3898;0,3898
"marc";15;-0,8898;0,8898
"animal";23;-0,6506;0,6506
"robot";37;1,7294;-1,7294
"temps";27;-0,4802;0,4802
"façon";10;0,239;-0,239
"envoyer";16;-0,7263;0,7263
"voyage";28;-0,5877;0,5877
"06";12;1,2049;-1,2049
"rouge";11;-0,2774;0,2774
"montrer";15;-1,3045;1,3045
"tenter";100;-1,7199;1,7199
"attaquer";10;-0,6871;0,6871
"télévision";14;0,3785;-0,3785
"astrobiologiste";15;-0,3376;0,3376
"inviter";55;-1,9105;1,9105
"seuil";14;-0,4313;0,4313
"site";35;0,3313;-0,3313
"politique";33;-0,5406;0,5406
"alliance";17;1,5035;-1,5035
"lune";13;-1,3369;1,3369
"nommer";10;-1,7502;1,7502
"participer";12;0,4239;-0,4239
"seul";28;-0,8168;0,8168
"chef";19;-0,9028;0,9028
"communauté";15;0,2673;-0,2673
"appeler";15;-1,3045;1,3045
"interview";89;1,1982;-1,1982
"nombre";12;0,218;-0,218
"prendre";100;-0,4949;0,4949
"état";22;0,4301;-0,4301
"plaindre";10;-1,1364;1,1364
"avouer";10;-1,1364;1,1364
"thierry";25;0,3047;-0,3047
"contact";28;-0,4047;0,4047
"commencer";28;-0,5877;0,5877
"occasion";18;-0,4812;0,4812
"sujet";34;-1,4239;1,4239
"rentrer";12;-1,1069;1,1069
"zone";11;-0,2774;0,2774
"ciel";30;1,226;-1,226
"cas";30;-1,1034;1,1034
"forme";37;-0,4183;0,4183
"valérie";15;-1,8279;1,8279
"nom";12;-0,4037;0,4037
"ex";14;1,5577;-1,5577
"marine";14;-0,4313;0,4313
"message";19;-1,2689;1,2689
"incroyable";20;0,7197;-0,7197
"presque";10;0,8722;-0,8722
"ligne";10;0,239;-0,239
