"";"X.baseid_SA";"X.baseid_TV"
"devenir";0,46;1,08
"lors";0,27;0,45
"accidentellement";0,65;0,07
"maloney";0;0,52
"évolution";0,14;0,26
"substance";0,27;0,04
"karim";0,35;0,04
"vigi";0,38;0
"rythmé";2,21;0,04
"unir";0,68;0,3
"leurs";0,84;2,13
"sortir";0,08;0,9
"commentaire";0,35;0,3
"machine";0,11;0,22
"zorbb";0;0,41
"réalisateur";0,03;0,34
"sentir";0,08;0,6
"peur";0,11;0,3
"député";0,79;0,11
"espèce";0,14;0,19
"toute";0,35;0,41
"affaire";0,33;0,49
"chronique";0,11;1,12
"vigier";0,38;0
"ambre";1,34;0,11
"rick";0,35;0
"guerre";0,19;0,34
"souvenir";0,11;0,45
"demander";0,25;0,45
"parler";0,3;0,63
"fry";1,42;0,04
"penser";0,38;0,6
"suivre";0,19;0,49
"superhéros";1,5;0,07
"évoquer";1,01;0,37
"emploi";0,03;0,37
"tête";2,94;0,56
"empêcher";0,08;0,3
"marcher";0,11;0,3
"possible";0,35;0,26
"hassaine";0,3;0
"théorie";0,44;0
"fou";0,03;0,67
"expérience";0,25;0,11
"technologie";0,38;0,3
"observation";0,27;0,04
"sol";0,08;0,26
"son";2,15;8,55
"ligue";0,14;0,67
"corps";0,14;0,75
"minute";0,76;0,22
"cette";0,65;2,69
"solère";0,38;0
"égyptien";0,27;0,04
"sommaire";0,19;0,34
"nadia";0;0,67
"daam";0;0,67
"reportage";0,44;0,67
"explorer";0,33;0,07
"convaincre";0,03;0,49
"si";0,6;1,04
"sa";1,14;6,08
"se";4,39;6,98
"extraterrestre";11,91;6,08
"internet";0,27;0,63
"million";0,49;0,15
"city";4,44;0,11
"2";0,95;0,41
"plein";2,32;0,6
"tendance";0,11;0,26
"sophie";0,08;0,41
"aller";0,9;1,72
"perdre";0,05;0,63
"affirmer";0,41;0,3
"semaine";0,22;0,75
"comédien";0,22;0,45
"différent";0,16;0,34
"extra_terrestre";0,38;1,04
"inattendu";0;0,56
"monde";4,5;2,24
"roger";2,23;0,67
"visiteur";0,49;0,3
"naulleau";0,33;0
"lilia";0,3;0
"désert";0,41;0,49
"humoriste";0,27;0,26
"s";1,88;5,63
"seulement";0,03;0,34
"ceux";0,14;0,19
"former";0,82;0,07
"situation";0,11;0,41
"perquisition";0,55;0
"twiste";0;1,04
"esprit";0,05;0,3
"succès";0,22;0,22
"tomber";0,27;0,71
"vouloir";0,63;0,82
"laisser";0,44;1,23
"époque";0,08;0,86
"intervenir";2,21;0,3
"télé";0,41;0,15
"origine";0,79;0,52
"italie";0,33;0,04
"plusieurs";0,46;0,3
"édition";0,41;0,93
"répondre";0,76;0,37
"présenter";0,41;1,72
"chaîne";0,35;0,07
"an";0,49;2,39
"au";2,23;7,31
"spatial";0,08;0,63
"écrivain";0,38;0,49
"terre";1,96;2,39
"tv";0,22;0,22
"criminalité";1,5;0
"projet";0,25;0,07
"retourner";0,05;0,3
"sans";0,25;1,23
"animer";0;0,37
"christophe";1,23;0,34
"espace";0,55;1,19
"vie";1,09;3,02
"mort";0,22;0,3
"teen";2,83;0,04
"tester";0,03;0,34
"science";0,11;0,34
"information";0,16;0,52
"notre";0,46;1,31
"débat";0,63;0,41
"signe";0,08;0,3
"visuel";0,76;0,11
"boucherie";0,27;0
"personne";0,38;0,86
"recette";0,14;0,34
"comprendre";0,65;0,93
"jusqu_à";0,19;0,19
"jeu";0,16;0,63
"avec";8,29;7,61
"contre";1,96;0,97
"diffusion";0,16;0,19
"dernier";0,55;1,16
"leçon";0,3;0,11
"grandir";2,21;0,19
"plan";0,19;0,71
"toujours";0,41;0,9
"ahmed";0,27;0
"secte";0;0,56
"croire";0,44;0,45
"ses";7,52;4,89
"notamment";0,11;0,26
"europe";0,19;0,3
"incident";2,26;0,15
"recherche";0,25;1,87
"garçon";0,08;0,75
"environnement";0,65;0,26
"robin";4,36;0,04
"vol";0;0,37
"belhousse";0;0,56
"35";0,41;0,11
"consacrer";0,16;0,6
"témoin";0,6;0,15
"mystère";0,19;0,37
"kelly";0,33;0
"hôpital";0,11;0,22
"retrouver";0,38;1,9
"couple";0,05;0,67
"victime";0,03;0,52
"d";24,17;20,97
"personnalité";0,08;0,3
"alexandre";0,41;0,11
"frère";0,16;0,41
"t";0,3;0,63
"directeur";0,11;0,67
"millénaire";1,2;0,04
"bientôt";0;0,41
"ailleurs";0,08;0,56
"meilleur";0,3;0,15
"un";16,79;21,87
"tard";0;0,45
"menace";0,11;0,34
"coda";0,05;0,56
"tirailleur";0,27;0
"astronaute";0,93;0,26
"pouvoir";5,51;3,06
"découverte";0,41;0,71
"millier";0,35;0,11
"continuer";0,33;0,22
"garder";0,11;0,22
"apparence";0,11;0,26
"les";23,52;23,69
"beaucoup";0,27;0,34
"marc";0,16;0,34
"on";0,74;1,87
"laëtitia";0,41;0
"devant";0,03;0,34
"pour";6,79;10,37
"animal";0,3;0,45
"pyramide";0,38;0
"robot";0,76;0,34
"comme";2,75;1,53
"temps";0,38;0,49
"oeil";0,03;0,45
"david";0,08;1,01
"façon";0,16;0,15
"envoyer";0,19;0,34
"voyage";0,38;0,52
"06";0,27;0,07
"chien";0,08;0,52
"face";0,11;0,56
"rouge";0,16;0,19
"montrer";0,14;0,37
"lala";0;0,52
"tenter";1,28;1,98
"attaquer";0,11;0,22
"télévision";0,25;0,19
"quitter";2,4;0,52
"astrobiologiste";0,22;0,26
"inviter";0,63;1,19
"ce";1,91;4,07
"seuil";0,19;0,26
"après";3,73;1,53
"ados";2,23;0,04
"éléphant";0,71;0,04
"site";0,57;0,52
"paul";1,42;0,52
"politique";0,46;0,6
"crise";0;0,49
"manège";0,05;0,34
"imedia";11,01;5,93
"hier";0,33;0,04
"alliance";0,38;0,11
"catherine";0;0,93
"lune";0,11;0,34
"nommer";0,05;0,3
"milieu";0,03;0,41
"participer";0,22;0,15
"seul";0,35;0,56
"survivre";0;0,63
"tamaran";2,21;0
"mauvais";0,03;0,56
"chez";0,25;1,08
"chef";0,22;0,41
"hors";0,74;0,15
"communauté";0,25;0,22
"servir";0,93;0,19
"appeler";0,14;0,37
"falloir";0,19;0,71
"soucoupe";0,11;0,52
"interview";1,61;1,12
"nombre";0,19;0,19
"pizza";1,14;0,07
"rire";0;0,49
"l";20,82;27,99
"alexis";0,35;0
"survivant";0;0,67
"enlever";0,11;0,45
"responsable";0,03;0,41
"prendre";1,5;1,68
"alors";0,46;1,72
"livreur";1,14;0,04
"état";0,38;0,3
"plaindre";0,08;0,26
"grave";2,83;0,15
"avouer";0,08;0,26
"de";50,09;67,69
"du";7,77;12,35
"malgré";0,08;0,67
"déage";0;0,37
"bien";2,73;1,79
"auteur";0,55;1,34
"bras";0;0,37
"ils";8,26;3,69
"thierry";0,41;0,37
"carbonnier";1,09;0
"bunny";0,03;0,56
"raid";0,41;0
"déclaration";0,57;0,15
"contact";0,41;0,49
"the";0,08;0,6
"poser";0,11;0,52
"lci";0,6;0
"bord";0,03;0,49
"loin";0,03;0,41
"connaître";0,22;0,9
"peupler";0,65;0,07
"commencer";0,38;0,52
"occasion";0,25;0,34
"sujet";0,38;0,75
"rentrer";0,11;0,3
"zone";0,16;0,19
"donner";0,27;0,9
"partager";0,05;0,37
"quelques";0,14;0,67
"urgentiste";0,33;0
"gilet";0,57;0,04
"ciel";0,6;0,3
"finir";1,72;0,37
"echoué";0;0,56
"cas";0,35;0,63
"car";0,11;0,56
"discussion";0,35;0
"cours";0,14;0,63
"michel";0,11;0,52
"cafard";0;0,52
"découvrir";0,49;2,05
"forme";0,55;0,63
"valérie";0,11;0,41
"nom";0,16;0,22
"non";0,44;1,04
"emmener";0,03;0,34
"nos";0,16;0,78
"en";8,48;16,83
"ex";0,33;0,07
"et";22,73;30,82
"album";0;0,56
"marine";0,19;0,26
"message";0,19;0,45
"incroyable";0,38;0,22
"premier";0,76;1,46
"presque";0,22;0,07
"deux";0,41;1,38
"ligne";0,16;0,15
"étrange";0,9;0,97
"disparaître";0,11;0,49
"secrétaire";0,74;0,07
"joli";0,03;0,6
"leur";7,82;4,03
"sport";0,11;0,34
"3";1,2;0,22
"vrai";0,19;0,34
"près_de";0,11;0,49
"tropical";2,15;0
"maïa";1,01;0
"prétexte";2,18;0
"explication";0,14;0,26
"soir";0,3;0,3
"media";0,19;0,11
"fruit";0,11;0,26
"glacier";0,71;0
"européen";0,35;0,52
"ami";0,22;1,16
"certains";0,44;0,26
"faire";4,28;5,86
"héros";0,05;0,41
"vilain";0,03;0,34
"vendre";0,22;0,22
"intervention";0,14;0,19
"loi";0,16;0,19
"chambre";0,08;0,3
"giorgio";0,52;0
"vers";0,11;0,41
"aile";2,21;0
"médecin";0,33;0,26
"iran";0;0,67
"aimer";0,14;0,41
"vidéo";0,46;0,19
"réalité";0,41;0,75
"visage";0,25;0,22
"posséder";0,82;0,22
"suivant";0,05;0,37
"fr";0,08;0,26
"invasion";0,05;0,45
"documentaire";0,14;0,22
"cet";0,3;0,6
"ces";3,03;1,04
"base";0,14;0,37
"dire";0,22;1,01
"selon";0,98;0,19
"diffuser";0,27;0,67
"tf1";0,87;0,52
"téléspectateur";0,11;0,22
"véritable";0,19;0,41
"charlotte";0;0,41
"aussi";3,33;1,34
"jour";0,57;0,52
"justice";0,27;0,04
"international";0,19;0,15
"événement";0,22;0,3
"voler";2,29;0,19
"culture";0,44;0,56
"portrait";0,03;0,49
"effet";0,22;0,22
"sophia";0;0,37
"créature";0,76;0,22
"planète";2,97;1,87
"docteur";0,03;0,37
"grand";1,01;1,64
"000";0,14;0,34
"coup";0,11;0,26
"autres";2,7;1,12
"pierre";0,16;0,6
"jouer";0,05;0,45
"jamais";0,25;0,26
"être";22,81;24,4
"hapsatou";0,3;0
"pauline";0;0,71
"cryogénisé";1,14;0,04
"rester";0,44;0,6
"visite";0,38;0,19
"structure";0,33;0,07
"peut_être";0,19;0,3
"utiliser";0,3;0,37
"rencontre";0,35;0,52
"supervilains";0;0,52
"suite";0,33;0,22
"scientologie";0;0,6
"apprendre";0,11;0,26
"avoir";28,21;15,04
"michael";0,08;0,3
"élection";0,19;0,26
"jump";2,23;0
"cela";0,14;0,3
"gens";0,38;0,11
"danger";2,21;0,49
"français";0,68;1,01
"gitan";0,38;0
"volant";0,3;0,67
"entrer";0,33;0,15
"heure";0,03;0,6
"également";0,19;0,45
"rencontrer";0,22;0,63
"représentant";0,27;0,04
"avocat";0,55;0,19
"cause";0,16;0,19
"université";0,03;0,52
"lancer";0,25;0,45
"ovni";0,68;1,72
"adopter";2,23;0,15
"sy";0,65;0
"liste";0,05;0,34
"âge";0,22;0,22
"jaune";0,63;0
"maintenant";0,08;0,37
"laurent";0,16;0,19
"réaliser";0,27;0,45
"courir";2,21;0,49
"rubrique";0,05;0,37
"trouver";0,55;1,38
"mohammed";0,3;0
"j";0;0,52
"média";0,27;0,11
"preuve";0,84;0,07
"macron";0,22;0,26
"luc";0,71;0,15
"lui";0,82;3,88
"ukrainien";0,27;0,04
"police";0,82;0,22
"animateur";0,27;0,22
"paranormal";0,14;0,19
"vinci";0,71;0
"carrière";0,08;0,26
"examiner";0,41;0,04
"46";0,27;0,15
"femme";0,22;1,57
"région";0,14;0,19
"moins";0,16;0,19
"persuader";0,16;0,71
"yacine";0;0,56
"général";0,76;0,52
"eau";1,44;0,19
"étude";0,03;0,34
"laporte";0,33;0
"inconnu";0,08;0,3
"chercher";0,33;0,6
"eric";1,06;0,3
"pernin";0;0,37
"arrêter";0,11;0,3
"star";0,41;0,45
"fois";1,69;0,67
"parole";0,65;0,15
"aider";0,22;0,26
"aux";2,1;4,44
"siècle";0,25;0,11
"voix";0,16;0,34
"réputation";0,03;0,71
"voir";0,6;1,31
"légende";0,25;0,34
"force";0,19;0,45
"histoire";0,79;0,9
"new";0,27;0,15
"propre";2,32;0,34
"aujourd_hui";2,62;0,63
"omar";0,35;0
"arme";0,16;0,15
"dettinger";1,17;0
"quotidien";0,11;0,78
"géant";0,27;0,34
"quoi";0,76;0,11
"suggérer";0,33;0,04
"afin";0,11;0,63
"famille";0,14;1,19
"vivre";0,33;1,12
"comportement";0,41;0,07
"aide";0,14;0,45
"créer";0,25;0,56
"acteur";0,71;0,41
"surprise";0,11;0,22
"sauver";3;0,56
"entraîner";2,26;0,07
"attaque";0,11;0,75
"école";0,08;0,82
"chroniqueur";1,55;2,5
"syndicat";0,38;0
"avion";0,11;0,26
"terrestre";0,03;0,52
"don";0,16;0,15
"doo";0,03;0,37
"christopher";0,03;0,49
"traverser";0;0,6
"julien";1,34;0,19
"cabrol";0,3;0,45
"02";0,55;0,07
"03";0,35;0,04
"00";0,87;0,07
"01";0,71;0
"07";0,52;0
"04";0,41;0,07
"05";0,46;0,04
"08";0,27;0,26
"09";0,46;0,11
"sorte";0,08;0,37
"confronter";0,03;0,34
"une";17,2;17,02
"scientifique";0,68;0,49
"mathieu";0,05;0,37
"il";10,52;9,85
"amour";0,16;0,3
"théoricien";0,76;0
"quand";0,08;1,16
"livre";0,38;0,75
"elle";2,43;6,79
"vieux";0,08;0,45
"kid";0;0,49
"neptuna";0;0,37
"nicolas";0,11;0,22
"royal";0,08;0,3
"musique";0,16;0,3
"revel";0,33;0
"super";3;0,34
"magazine";0,11;0,41
"maître";0,03;0,52
"lieu";0,19;0,37
"batman";2,86;0
"très";1,04;1,57
"mystérieux";0,46;0,45
"petit";4,72;2,84
"décider";0,22;1,01
"corbière";0,35;0
"dieu";0,46;0,07
"chrono";0,71;0,07
"mazaurette";1,12;0
"laure";0,03;1,98
"ville";0,27;0,75
"etats";0,22;0,22
"accompagner";0;0,56
"voiture";0,03;0,45
"boy";1,61;0
"père";0,14;1,04
"bon";0,22;0,45
"margot";0,03;0,41
"univers";2,43;0,34
"france";1,74;1,6
"équipe";0,44;0,45
"vous";0,52;1,38
"militaire";0,16;0,71
"sous";0,49;0,52
"agent";0,16;0,26
"mal";0,05;0,41
"avant";0,14;0,67
"nous";0,95;2,35
"spécialiste";0,49;0,82
"mais";5,53;4,07
"main";0,05;0,41
"nouveau";2,32;1,68
"ancien";4,09;0,49
"agir";0,41;0,6
"homme";1,01;2,31
"ministre";0,57;0,26
"chanson";0,25;0,41
"11";0,55;0,19
"10";0,41;0,19
"13";0,3;0,34
"12";0,57;0,49
"15";0,49;0,3
"14";0,25;0,22
"17";0,3;0,37
"16";0,33;0,26
"19";4,91;1,53
"18";1,39;0,15
"spectacle";0,11;0,3
"trace";0,11;0,86
"extraire";2,34;2,31
"fille";4,63;1,23
"show";0,03;0,6
"aventure";4,42;0,52
"étranger";0,14;0,22
"débarquer";0,08;0,56
"43";0,41;0,15
"parent";2,32;1,04
"jt";0,38;0,22
"je";0,03;0,67
"lopez";0,38;0,07
"rugby";0,3;0,07
"tour";0,11;0,41
"tous";2,83;1,79
"capable";0,22;0,15
"côté";2,43;1,08
"ex_membre";0,3;0
"lorsque";2,34;0,41
"dessin";0,08;0,26
"mars";0,14;0,26
"quatre";0,16;0,75
"par";5,23;7,87
"pas";6,11;3,36
"tout";0,84;3,36
"autour";0,33;0,63
"entourer";0,03;0,34
"starfire";3,73;0
"new_yorkais";1,14;0,04
"4";0,25;0,15
"mot";0,03;0,49
"mon";0,11;0,52
"luthor";0,3;0
"christine";0,33;0
"journée";0,19;0,19
"titan";2,97;0
"soudain";0;0,41
"gorg";0;0,52
"venir";0,95;2,02
"fils";0,25;0,86
"citation";1,04;0,22
"pourquoi";0,22;0,26
"eliot";0;0,82
"film";0,33;1,34
"important";0,16;0,3
"emily";0,03;0,56
"revenir";0,52;0,63
"poilu";0;0,56
"révéler";0,35;0,15
"public";0,19;0,52
"à";14,12;23,92
"agathe";0,33;0
"des";21,07;18,47
"csa";0,38;0
"civilisation";0,35;0,11
"delage";0,35;0
"trois";0,03;0,56
"théâtre";0,25;0,26
"24";0,41;0,22
"25";0,27;0,37
"26";0,44;0,3
"27";0,38;0,3
"22";0,79;0,26
"23";0,93;0,22
"28";0,41;0,3
"29";0,3;0,26
"etienne";1,09;0,04
"robbie";0,14;0,41
"porte";0,74;0,67
"président";0,76;0,34
"troisième";0,41;0,19
"dont";0,11;0,9
"donc";0,08;0,45
"cirque";2,23;0,07
"pari";0,35;0,56
"part";0,11;0,49
"john";0,05;0,41
"gasnier";1,31;0
"recevoir";0,16;0,71
"relation";0,03;0,34
"témoignage";0,16;0,41
"express";0,27;0
"expert";0,03;0,37
"point";0,33;0,75
"léo";0,74;0
"secret";0,41;0,63
"cyborg";1,5;0
"puissant";0,22;0,15
"mener";0,14;0,45
"puis";0,08;0,45
"moment";0,19;0,49
"travers";0,16;0,37
"entre";0,38;0,97
"salvatore";0;0,41
"y";1,06;1,68
"délirant";0;0,6
"source";11,42;6,98
"ça";0,08;0,45
"peu";0,25;0,52
"depuis";0,76;0,82
"jimmy";0,3;0
"aliens";0,35;0,52
"dewalle";0,41;0
"avenir";0,08;0,37
"conseil";0,14;0,3
"travailler";0,16;0,3
"lointain";2,43;0,15
"elles";0,6;0,49
"armée";0,11;0,3
"invité";1,01;1,34
"brainiac";0,38;0
"ennemi";0;0,49
"objet";0,35;0,22
"lorenzo";0;0,41
"crop";0;0,37
"39";0,3;0,22
"38";0,33;0,11
"33";0,49;0,15
"32";0,35;0,22
"31";0,41;0,22
"30";0,55;0,34
"37";0,27;0,11
"36";0,35;0,07
"34";0,3;0,11
"composer";0,16;0,19
"train";0,11;0,34
"souvent";0,25;0,37
"terrien";2,34;0,34
"laurie";0;0,37
"extrait";0,35;0,78
"le";15,45;28,36
"la";24,01;33,1
"eux";0,19;0,45
"oggy";0;0,52
"image";0,38;0,71
"tuer";0,22;0,34
"identifier";0,33;0,49
"lfi";0,41;0
"expliquer";0,25;0,37
"réseau";0,08;0,26
"là";0,25;0,67
"que";5,15;7,39
"qui";14,23;10,41
"parvenir";0,08;0,49
"publier";0,19;0,15
"auproux";0,33;0
"seines";0,38;0
"tromper";0,74;0,07
