"";"*baseid_SA";"*baseid_TV"
"devenir";17;29
"lors";10;12
"accidentellement";24;2
"maloney";0;14
"évolution";5;7
"substance";10;1
"karim";13;1
"vigi";14;0
"rythmé";81;1
"unir";25;8
"leurs";31;57
"sortir";3;24
"commentaire";13;8
"machine";4;6
"zorbb";0;11
"réalisateur";1;9
"sentir";3;16
"peur";4;8
"député";29;3
"espèce";5;5
"toute";13;11
"affaire";12;13
"chronique";4;30
"vigier";14;0
"ambre";49;3
"rick";13;0
"guerre";7;9
"souvenir";4;12
"demander";9;12
"parler";11;17
"fry";52;1
"penser";14;16
"suivre";7;13
"superhéros";55;2
"évoquer";37;10
"emploi";1;10
"tête";108;15
"empêcher";3;8
"marcher";4;8
"possible";13;7
"hassaine";11;0
"théorie";16;0
"fou";1;18
"expérience";9;3
"technologie";14;8
"observation";10;1
"sol";3;7
"son";79;229
"ligue";5;18
"corps";5;20
"minute";28;6
"cette";24;72
"solère";14;0
"égyptien";10;1
"sommaire";7;9
"nadia";0;18
"daam";0;18
"reportage";16;18
"explorer";12;2
"convaincre";1;13
"si";22;28
"sa";42;163
"se";161;187
"extraterrestre";437;163
"internet";10;17
"million";18;4
"city";163;3
"2";35;11
"plein";85;16
"tendance";4;7
"sophie";3;11
"aller";33;46
"perdre";2;17
"affirmer";15;8
"semaine";8;20
"comédien";8;12
"différent";6;9
"extra_terrestre";14;28
"inattendu";0;15
"monde";165;60
"roger";82;18
"visiteur";18;8
"naulleau";12;0
"lilia";11;0
"désert";15;13
"humoriste";10;7
"s";69;151
"seulement";1;9
"ceux";5;5
"former";30;2
"situation";4;11
"perquisition";20;0
"twiste";0;28
"esprit";2;8
"succès";8;6
"tomber";10;19
"vouloir";23;22
"laisser";16;33
"époque";3;23
"intervenir";81;8
"télé";15;4
"origine";29;14
"italie";12;1
"plusieurs";17;8
"édition";15;25
"répondre";28;10
"présenter";15;46
"chaîne";13;2
"an";18;64
"au";82;196
"spatial";3;17
"écrivain";14;13
"terre";72;64
"tv";8;6
"criminalité";55;0
"projet";9;2
"retourner";2;8
"sans";9;33
"animer";0;10
"christophe";45;9
"espace";20;32
"vie";40;81
"mort";8;8
"teen";104;1
"tester";1;9
"science";4;9
"information";6;14
"notre";17;35
"débat";23;11
"signe";3;8
"visuel";28;3
"boucherie";10;0
"personne";14;23
"recette";5;9
"comprendre";24;25
"jusqu_à";7;5
"jeu";6;17
"avec";304;204
"contre";72;26
"diffusion";6;5
"dernier";20;31
"leçon";11;3
"grandir";81;5
"plan";7;19
"toujours";15;24
"ahmed";10;0
"secte";0;15
"croire";16;12
"ses";276;131
"notamment";4;7
"europe";7;8
"incident";83;4
"recherche";9;50
"garçon";3;20
"environnement";24;7
"robin";160;1
"vol";0;10
"belhousse";0;15
"35";15;3
"consacrer";6;16
"témoin";22;4
"mystère";7;10
"kelly";12;0
"hôpital";4;6
"retrouver";14;51
"couple";2;18
"victime";1;14
"d";887;562
"personnalité";3;8
"alexandre";15;3
"frère";6;11
"t";11;17
"directeur";4;18
"millénaire";44;1
"bientôt";0;11
"ailleurs";3;15
"meilleur";11;4
"un";616;586
"tard";0;12
"menace";4;9
"coda";2;15
"tirailleur";10;0
"astronaute";34;7
"pouvoir";202;82
"découverte";15;19
"millier";13;3
"continuer";12;6
"garder";4;6
"apparence";4;7
"les";863;635
"beaucoup";10;9
"marc";6;9
"on";27;50
"laëtitia";15;0
"devant";1;9
"pour";249;278
"animal";11;12
"pyramide";14;0
"robot";28;9
"comme";101;41
"temps";14;13
"oeil";1;12
"david";3;27
"façon";6;4
"envoyer";7;9
"voyage";14;14
"06";10;2
"chien";3;14
"face";4;15
"rouge";6;5
"montrer";5;10
"lala";0;14
"tenter";47;53
"attaquer";4;6
"télévision";9;5
"quitter";88;14
"astrobiologiste";8;7
"inviter";23;32
"ce";70;109
"seuil";7;7
