"";"X.baseid_SA";"X.baseid_TV"
"devenir";-2,4534;2,4534
"lors";-0,7711;0,7711
"accidentellement";3,9065;-3,9065
"maloney";-5,2451;5,2451
"évolution";-0,6989;0,6989
"substance";1,6639;-1,6639
"karim";2,2841;-2,2841
"vigi";3,3345;-3,3345
"rythmé";17,7591;-17,7591
"unir";1,5969;-1,5969
"leurs";-4,7867;4,7867
"sortir";-6,202;6,202
"commentaire";0,3557;-0,3557
"machine";-0,6871;0,6871
"zorbb";-4,121;4,121
"réalisateur";-2,5791;2,5791
"sentir";-3,6655;3,6655
"peur";-1,1069;1,1069
"député";4,2755;-4,2755
"espèce";-0,3735;0,3735
"toute";-0,3612;0,3612
"affaire";-0,6691;0,6691
"chronique";-7,4854;7,4854
"vigier";3,3345;-3,3345
"ambre";8,4174;-8,4174
"rick";3,0963;-3,0963
"guerre";-0,7263;0,7263
"souvenir";-2,0863;2,0863
"demander";-0,9118;0,9118
"parler";-1,427;1,427
"fry";11,0291;-11,0291
"penser";-0,832;0,832
"suivre";-1,4711;1,4711
"superhéros";10,6297;-10,6297
"évoquer";2,6643;-2,6643
"emploi";-2,9151;2,9151
"tête";12,4228;-12,4228
"empêcher";-1,3861;1,3861
"marcher";-1,1069;1,1069
"possible";0,4697;-0,4697
"hassaine";2,6199;-2,6199
"théorie";3,8109;-3,8109
"fou";-5,6869;5,6869
"expérience";0,7415;-0,7415
"technologie";0,4301;-0,4301
"observation";1,6639;-1,6639
"sol";-1,1364;1,1364
"son";-29,7323;29,7323
"ligue";-3,3197;3,3197
"corps";-3,8794;3,8794
"minute";2,654;-2,654
"cette";-10,1659;10,1659
"solère";3,3345;-3,3345
"égyptien";1,6639;-1,6639
"sommaire";-0,7263;0,7263
"nadia";-6,744;6,744
"daam";-6,744;6,744
"reportage";-0,8623;0,8623
"explorer";1,5577;-1,5577
"convaincre";-3,9402;3,9402
"si";-1,4654;1,4654
"sa";-27,0677;27,0677
"se";-5,0299;5,0299
"extraterrestre";13,9606;-13,9606
"internet";-1,6197;1,6197
"million";1,789;-1,789
"city";34,1192;-34,1192
"2";2,1161;-2,1161
"plein";7,9176;-7,9176
"tendance";-0,8895;0,8895
"sophie";-2,1934;2,1934
"aller";-2,5269;2,5269
"perdre";-4,5772;4,5772
"affirmer";0,5109;-0,5109
"semaine";-2,7726;2,7726
"comédien";-1,0762;1,0762
"différent";-0,8898;0,8898
"extra_terrestre";-2,923;2,923
"inattendu";-5,6198;5,6198
"monde";6,053;-6,053
"roger";6,6439;-6,6439
"visiteur";0,7878;-0,7878
"naulleau";2,8581;-2,8581
"lilia";2,6199;-2,6199
"désert";-0,4047;0,4047
"humoriste";0,2457;-0,2457
"s";-14,6799;14,6799
"seulement";-2,5791;2,5791
"ceux";-0,3735;0,3735
"former";5,1616;-5,1616
"situation";-1,8279;1,8279
"perquisition";4,7639;-4,7639
"twiste";-10,492;10,492
"esprit";-1,7502;1,7502
"succès";-0,2353;0,2353
"tomber";-2,0163;2,0163
"vouloir";-0,6501;0,6501
"laisser";-3,4752;3,4752
"époque";-5,8768;5,8768
"intervenir";11,3888;-11,3888
"télé";1,3245;-1,3245
"origine";0,8888;-0,8888
"italie";2,0752;-2,0752
"plusieurs";0,6901;-0,6901
"édition";-2,1139;2,1139
"répondre";1,494;-1,494
"présenter";-6,8483;6,8483
"chaîne";1,7401;-1,7401
"an";-10,4086;10,4086
"au";-20,929;20,929
"spatial";-3,9728;3,9728
"écrivain";-0,4802;0,4802
"terre";-0,8391;0,8391
"tv";-0,2353;0,2353
"criminalité";13,1054;-13,1054
"projet";1,0356;-1,0356
"retourner";-1,7502;1,7502
"sans";-5,7685;5,7685
"animer";-3,7463;3,7463
"christophe";4,236;-4,236
"espace";-2,414;2,414
