"";"X.baseid_SA";"X.baseid_TV"
"pre";-2,2056;2,2056
"ver_sup";-0,3322;0,3322
"adj_dem";0,5694;-0,5694
"ono";-12,7547;12,7547
"pro_per";-1,7758;1,7758
"num";73,2384;-73,2384
"adv";-5,8285;5,8285
"ver";-17,0648;17,0648
"adj_ind";-1,2026;1,2026
"adj_pos";-18,164;18,164
"aux";29,8595;-29,8595
"nr";4,1149;-4,1149
"pro_ind";0,4756;-0,4756
"adj";6,9078;-6,9078
"pro_dem";-16,5413;16,5413
"nom";-0,3384;0,3384
"art_ind";4,2136;-4,2136
"adj_int";-1,0287;1,0287
"pro_pos";-0,3646;0,3646
"nom_sup";-5,8007;5,8007
"adv_sup";4,2164;-4,2164
"adj_sup";-5,7233;5,7233
"art_def";-16,8294;16,8294
"adj_num";-9,625;9,625
"pro_rel";3,408;-3,408
"con";-1,4483;1,4483
