"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"devenir";0,79;0,69;0;0;0
"lors";0,38;0,33;0;0;0
"accidentellement";0;0,85;0;0;0
"maloney";0;0;23,06;0;0
"évolution";0,16;0,23;0;0;0
"substance";0,28;0,07;0;0;0
"karim";0,44;0;0;0;0
"vigi";0,44;0;0;0;0
"rythmé";0,03;2,65;0;0;0
"unir";0,76;0,29;0;0;0
"leurs";1,76;1,05;0;0;0
"sortir";0,44;0,39;0;0;2,8
"commentaire";0,66;0;0;0;0
"machine";0,06;0,16;0;0;8,4
"zorbb";0;0,36;0;0;0
"réalisateur";0,25;0,07;0;0;0
"sentir";0,44;0,16;0;0;0
"peur";0,25;0,13;0;0;0
"député";1,01;0;0;0;0
"espèce";0,13;0,2;0;0;0
"toute";0,44;0,29;1,65;0;0
"affaire";0,57;0,23;0;0;0
"chronique";1,04;0;0;0;2,8
"vigier";0,44;0;0;0;0
"ambre";1,64;0;0;0;0
"rick";0;0,43;0;0;0
"guerre";0,13;0,39;0;0;0
"souvenir";0,09;0,43;0;0;0
"demander";0,19;0,49;0;0;0
"parler";0,69;0,16;0;0;2,8
"fry";0;1,74;0;0;0
"penser";0,53;0,43;0;0;0
"suivre";0,41;0,23;0;0;0
"superhéros";0;1,87;0;0;0
"évoquer";1,45;0;0;4,57;0
"emploi";0,35;0;0;0;0
"tête";0,31;3,7;0;0;0
"empêcher";0,09;0,26;0;0;0
"marcher";0,31;0,03;0;0;2,8
"possible";0,47;0,16;0;0;0
"hassaine";0,35;0;0;0;0
"théorie";0,47;0,03;0;0;0
"fou";0,38;0,23;0;0;0
"expérience";0,28;0,1;0;0;0
"technologie";0,6;0,1;0;0;0
"observation";0,35;0;0;0;0
"sol";0,22;0,1;0;0;0
"son";3,96;5,41;6,59;0;36,41
"ligue";0;0,26;23,06;4,57;0
"corps";0,28;0,52;0;0;0
"minute";0,98;0,1;0;0;0
"cette";1,82;1,21;0;4,57;0
"solère";0,44;0;0;0;0
"égyptien";0,35;0;0;0;0
