"";"*genre_Cultureconnaissance";"*genre_Fiction";"*genre_Jeunesse";"*genre_Sport";"*genre_Variétésdivertissement"
"devenir";25;21;0;0;0
"lors";12;10;0;0;0
"accidentellement";0;26;0;0;0
"maloney";0;0;14;0;0
"évolution";5;7;0;0;0
"substance";9;2;0;0;0
"karim";14;0;0;0;0
"vigi";14;0;0;0;0
"rythmé";1;81;0;0;0
"unir";24;9;0;0;0
"leurs";56;32;0;0;0
"sortir";14;12;0;0;1
"commentaire";21;0;0;0;0
"machine";2;5;0;0;3
"zorbb";0;11;0;0;0
"réalisateur";8;2;0;0;0
"sentir";14;5;0;0;0
"peur";8;4;0;0;0
"député";32;0;0;0;0
"espèce";4;6;0;0;0
"toute";14;9;1;0;0
"affaire";18;7;0;0;0
"chronique";33;0;0;0;1
"vigier";14;0;0;0;0
"ambre";52;0;0;0;0
"rick";0;13;0;0;0
"guerre";4;12;0;0;0
"souvenir";3;13;0;0;0
"demander";6;15;0;0;0
"parler";22;5;0;0;1
"fry";0;53;0;0;0
"penser";17;13;0;0;0
"suivre";13;7;0;0;0
"superhéros";0;57;0;0;0
"évoquer";46;0;0;1;0
"emploi";11;0;0;0;0
"tête";10;113;0;0;0
"empêcher";3;8;0;0;0
"marcher";10;1;0;0;1
"possible";15;5;0;0;0
"hassaine";11;0;0;0;0
"théorie";15;1;0;0;0
"fou";12;7;0;0;0
"expérience";9;3;0;0;0
"technologie";19;3;0;0;0
"observation";11;0;0;0;0
"sol";7;3;0;0;0
"son";126;165;4;0;13
"ligue";0;8;14;1;0
"corps";9;16;0;0;0
"minute";31;3;0;0;0
"cette";58;37;0;1;0
"solère";14;0;0;0;0
"égyptien";11;0;0;0;0
"sommaire";13;1;0;2;0
"nadia";18;0;0;0;0
"daam";18;0;0;0;0
"reportage";33;1;0;0;0
"explorer";13;1;0;0;0
"convaincre";0;14;0;0;0
"si";34;16;0;0;0
"sa";84;120;0;0;1
"se";140;205;2;0;1
"extraterrestre";208;389;2;0;1
"internet";22;5;0;0;0
"million";22;0;0;0;0
"city";0;166;0;0;0
"2";46;0;0;0;0
"plein";10;88;0;3;0
