"";"*genre_Cultureconnaissance";"*genre_Fiction";"*genre_Jeunesse";"*genre_Sport";"*genre_Variétésdivertissement"
"pre";5623;5064;39;43;62
"ver_sup";387;446;2;2;7
"adj_dem";138;123;0;1;0
"ono";50;39;15;0;2
"pro_per";1227;1698;11;1;16
"num";2086;117;0;4;5
"adv";147;153;0;2;2
"ver";3013;3575;29;18;46
"adj_ind";139;59;2;2;0
"adj_pos";436;676;5;0;17
"aux";1356;1546;16;3;8
"nr";5030;3110;132;29;48
"pro_ind";273;341;2;4;3
"adj";2780;2505;56;23;30
"pro_dem";234;145;0;0;2
"nom";10035;7650;153;101;130
"art_ind";1621;1873;31;15;17
"adj_int";10;5;0;0;0
"pro_pos";2;3;0;0;0
"nom_sup";161;84;0;1;2
"adv_sup";825;1107;5;6;9
"adj_sup";37;29;0;0;4
"art_def";4191;2838;67;49;52
"adj_num";67;76;14;0;2
"pro_rel";532;765;16;2;9
"con";1195;1575;64;14;15
