"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";2,4708360788374;1,52921260921211;-0,528092780931596;3,96301389751605;-1,58034847123108;4,29733085296497;0,366734852042683;0,226974004785088;-0,0783823862450987;0,588211952948534;-0,234563865946751;0,637833083318951;0,367891401705069;0,0530147644742626;0,00448444444314007;0,109652702961114;0,0145260838952788;0,0881732230894954;0,0150561374977881;0,00576715261885515;0,000687774650955723;0,0387326217261979;0,00615930095547324;0,0455431732076917;0,00246618529441676;0,733664065430419;0,0013274561987104
"classe 2";1,5715776225094;0,0160137831554861;0,52820583704935;4,68521306728093;-0,470973335928298;8,24794918014982;0,163008116880133;0,00166099122239631;0,054786882677183;0,48596248021156;-0,048850578864721;0,855498732434525;0,0759672911906793;2,96737327692711e-06;0,00228990664752407;0,0782258051037661;0,000658504377492856;0,165788455278926;0,00260599596456448;2,70576424144808e-07;0,000294380106812765;0,0231611840654309;0,00023404248832885;0,0717784405992795;0,00105512051255975;1,0269177215928;0,00111268789502785
"classe 3";-2,03581195109334;-4,38362063256212;1,14540271025233;7,48996473265857;-0,738501010124516;-3,12431918398749;-0,21331858375114;-0,459329136238848;0,120018788495923;0,784821342785925;-0,0773823876483006;-0,327375690646081;0,20898847488095;0,364537548567464;0,0176530539223655;0,327750184520967;0,00265436267942992;0,039000050802031;0,0320333878588731;0,148522919619348;0,0101401403455362;0,433597828631308;0,00421531215179241;0,0754463691264977;0,00772907556188345;0,80202817253415;0,00497172159106311
"classe 4";1,25359032789247;-0,407185873043313;1,26945651206038;-1,64574426858235;0,971009783228812;0,509168280618398;0,46527038088549;-0,151127144192759;0,471159119324795;-0,610818419419956;0,360390537190839;0,188977941666484;0,21248755589305;0,0084340654407015;0,0581452589176101;0,042431005171189;0,0123049684504556;0,00277748857774689;0,00713187060836266;0,000752449909343005;0,00731354344371581;0,0122918398318555;0,00427897157134147;0,00117656214611104;0,00453828943354012;0,489781091515276;0,00108866990981014
"classe 5";-0,3124477126302;-0,525789034935497;1,22783966371518;-1,31571393644202;-0,361203288746681;-0,0647712823495241;-0,161402530919669;-0,271609224641182;0,634270699628192;-0,679664310935001;-0,186588419833378;-0,0334591948653466;0,0497496680483087;0,0530014637979937;0,205010083513098;0,10221033683747;0,00641726446195753;0,000169397830085131;0,000816590957974695;0,00231245301398388;0,0126105254981093;0,0144801418813742;0,00109132287701278;3,50925444080999e-05;0,00836469032848571;0,252287299828211;0,000532403184795245
"classe 6";0,795055426224283;0,31874227809781;2,09118026854844;-0,525683127475469;-1,94053670818684;1,77332523969421;0,226756879153715;0,0909081327562888;0,596423212524688;-0,14992950362743;-0,553458329215328;0,505768131144276;0,127342789537633;0,00769995555100692;0,235081747001723;0,00645006371733285;0,0732207764213806;0,0501953748979469;0,00216961437643067;0,00034871215242913;0,0150096540628866;0,000948496677493459;0,0129250271187782;0,0107935554961464;0,00343231973965219;0,401257681128624;0,000552629998467845
"classe 7";1,35577412770033;0,538462431971395;1,71347533956776;0,461867669928286;-3,29324631070377;1,18237424710495;0,32389897358748;0,128640475922626;0,409354989458929;0,110341731094074;-0,786767558116051;0,282473162165411;0,38551950101294;0,0228776710053569;0,164317493438366;0,00518373958188048;0,219548842962644;0,0232321260422479;0,0230396338419963;0,00363422411237066;0,0368007445712976;0,00267384369090861;0,135940642038067;0,0175230948867838;0,0125343231973965;0,393257758108022;0,00193845394350373
"classe 8";1,70708593525824;-0,120854730016302;-2,02138829223946;0,189199967950529;4,36193956051953;0,684110457573865;0,331331990960565;-0,023456955204335;-0,392335613303944;0,0367222298397303;0,846618256987724;0,132780474177244;0,225523612632978;0,000425243694693646;0,0843795414142794;0,000320966532277254;0,142118821105568;0,00286973023989177;0,00274136246423244;1,37398818618577e-05;0,00384375046364544;3,36742406000662e-05;0,017898431785725;0,000440258908064456;0,000940709854571341;0,647399719539992;0,000394276331837614
"classe 9";0,789045865042291;-0,191923911851668;2,04120976336472;-0,0520294302590268;-1,38876641517197;4,49152794553432;0,152045879115529;-0,036982945090542;0,39333269037961;-0,0100258563083527;-0,267609552037419;0,865498883279909;0,0910076322128457;0,00202563325869045;0,162519325046845;4,58466746504092e-05;0,0272108925205282;0,233651673074935;0,0025168399004707;0,000148904995487925;0,0168432683410663;1,09433234129856e-05;0,00779667631418764;0,0815528806670649;0,00404250991559036;0,471060266327807;0,000897023953715528
"classe 10";-0,666851158455934;-0,553569777293986;1,26910676647509;-0,553624201616445;0,233621950352994;-1,20833572083276;-0,326053848897716;-0,27066543145562;0,620523996433427;-0,270692041981202;0,114228392848504;-0,590810269341615;0,249389355466887;0,0646538158538082;0,241030959452268;0,0199152887952127;0,00295432616562936;0,064878781636254;0,00926532691305121;0,0063848054735114;0,0335582454864278;0,00638606098205934;0,00113718263132515;0,0304213271145642;0,020835452049222;0,240493357876356;0,00120506118992621
