"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"devenir";0;16,39;0;4,24;0;0;0;0;0;0,88;0;0;4,46;0;1,49;0,94;1,15;1,77;3,28;0;0;1,11;0,39;0,58;1,11;0,24;0;0,42
"lors";0;0;0;0;0;5;0;0;0;0;1,66;0;0,64;1,52;1,24;0,47;0,46;0;0;1,44;1,3;0;0,39;0,19;0;0,24;0;0,14
"accidentellement";0;0;0;0;0;5;1,49;0;0;0;0;0;0;0;0;0,47;5,29;0;0;0;0;0;0;0;0;0;0;0
"maloney";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,47;0;0;0;0;0;0;0;0;0;0;0;0;0
"évolution";0;0;0;0;0;0;0;0;0;0;0;0;0;3,05;0;0;0;0;0;0;1,3;3,34;0;0;0;0,12;0,12;0
"substance";0;0;0;0;2,31;0;0;0;0;0;0;0;0;1,52;0;0;0;0;0;0;0;0;0;0;0;0,24;0,84;0
"karim";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,56;0,2;2,31;0;0;0;0
"vigi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,69;0;0;0;0
"rythmé";0;0;0;0;0;0;0;0;0;0;0;0;0,64;0;0;0;0;0;0;0;0;0;2,76;0;1,11;2,89;4,9;0
"unir";0;0;0;0;0;0;0;0;0;0;0;0;0,64;0;0,25;0,94;0,23;2,65;0,47;0,72;0,65;0;0;0;0,55;0;1,79;0,84
"leurs";0;0;0;4,24;0;0;2,99;0;8,33;1,75;0;0,71;1,27;0;1,73;1,41;1,15;2,65;4,69;2,16;1,3;2,78;1,18;0,96;1,66;0,96;0,84;1,41
"sortir";0;0;0;0;0;0;1,49;0;0;0,88;1,66;1,43;3,82;0;0,5;0;0,23;0;0;1,44;0;1,11;0,2;0,19;0,55;0,24;0;0,28
"commentaire";0;0;0;0;4,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,79;0;1,11;0,72;0;0,98
"machine";0;0;0;0;0;0;0;0;0;0;4,99;0;0;0;0;0,94;0;0,88;0;0;0;0;0;0,58;0;0;0;0,14
"zorbb";0;0;0;0;0;0;16,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"réalisateur";0;0;0;0;0;0;0;0;0;1,75;0;0,36;0,64;1,52;0;0;0,23;0;0;0;1,3;0,56;0;0;0;0,12;0;0
"sentir";0;0;0;0;0;0;0;0;0;0;0;1,07;0;0;0;0;0,46;0;1,88;4,33;0;0;0,2;0;0;0,12;0;0,28
"peur";0;0;0;0;9,26;0;0;0;0;0;0;0,71;0;0;0;0;0;0;0;0,72;0,65;0;0,2;0,38;0;0;0,12;0
"député";0;0;0;0;0;0;0;0;0;0;0;0;0;1,52;0;0;0;0;0;0;0;0;0,39;4,81;0;0,12;0;0,42
"espèce";0;0;0;0;0;0;0;0;0;0;0;0,36;0;0;0,25;0;0;0;0,47;0;0,65;0;0,39;0;0;0;0,36;0,14
"toute";0;0;0;0;0;0;0;0;0;0;0;0,71;1,91;1,52;0,25;0,94;0;0;0,94;0;0,65;0;0,39;0,19;0;0,48;0,36;0,28
"affaire";0;0;3,14;0;0;0;0;0;0;0;1,66;0,36;0;0;0,25;0,47;0,23;0;0;0;1,3;1,11;0,59;1,35;0;0,36;0;0,28
"chronique";0;0;0;0;0;0;0;0;0;2,63;0;0;0;1,52;0,25;1,41;0,23;3,53;0,94;5,05;3,25;2,78;0;0;1,11;0;0;0
"vigier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,69;0;0;0;0
"ambre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,66;2,77;0,12;3,51
"rick";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,37;0;0;0;0;0;0;0;0
"guerre";0;0;0;0;2,31;0;0;0;0;0;0;0;0;0;0,25;0;0;2,65;0;0;0;0;0,2;0,38;0;0,48;0;0,56
"souvenir";0;0;0;0;0;0;0;0;0;0;1,66;2,86;0,64;0;0;0;0,23;0;0;1,44;1,3;0;0;0;0;0;0,12;0
"demander";0;0;0;0;0;0;2,99;0;0;0;0;2,14;0;0;0;0,94;0,23;0;0,47;1,44;0,65;1,11;0;0;1,11;0,12;0;0,14
"parler";0;0;0;0;0;0;0;0;0;0,88;0;0,71;0,64;3,05;0,25;0,47;0,69;0,88;0,94;0;1,95;2,23;0,39;0,58;0;0;0;0,28
"fry";0;0;0;0;0;5;0;0;0;0;0;0;0;10,67;0;0,94;9,89;0;0;0;0;0;0;0;0;0;0;0
"penser";0;0;0;0;0;0;0;0;0;0;0;0,36;3,18;3,05;0,99;0;0,46;0,88;1,41;0,72;0,65;0,56;0,59;0,38;0;0;0,12;0,42
"suivre";0;0;0;0;0;0;0;0;8,33;0;0;1,43;0,64;0;0,25;0,47;0;0,88;0,47;0;0;0,56;0;0,19;0,55;0,24;0;0,56
"superhéros";0;0;0;0;0;0;0;0;0;0;0;0;0,64;0;0;0;0;0;0;0;0;0;0;0;0,55;1,69;4,9;0
"évoquer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,47;0,47;1,15;0;0,94;0,72;0;0,56;0;1,15;3,32;0,84;0;0,56
"emploi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;5,53;0;0;0
"tête";0;0;0;0;0;0;0;0;0;0,88;0;0,71;1,27;0;0,25;0,47;0,23;0;1,41;0;0;0;5,53;0,19;2,77;4,21;5,02;0,14
"empêcher";0;0;0;0;0;0;1,49;0;8,33;0;0;0,71;0;0;0;0,47;0;0;0;0;0;0;0;0,19;0;0;0,24;0,28
"marcher";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0,46;0;0;0;0,65;0,56;0,99;0;0;0;0;0,14
"possible";0;0;0;0;0;0;1,49;0;0;0;0;0;1,91;0;0,25;0;0;0;0,47;0,72;0,65;0;0;0;0;0,84;0,48;0,14
"hassaine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,32;0;0
"théorie";0;0;0;0;0;0;0;0;0;0;0;0;0;1,52;0;0;0;1,77;0,47;0;3,9;0;0;0;0;0,36;0,24;0,14
"fou";0;0;0;0;0;0;0;0;0;7,01;0;0;1,91;4,57;0;0;0;0;0,47;0;0;1,11;0;0;0,55;0;0,12;0
"expérience";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0,69;0;0,47;0,72;0;0;0,2;0;0,55;0,12;0;0,28
"technologie";0;0;0;0;4,63;0;0;0;0;0;0;0;0;0;0,5;0;0,23;1,77;0;0;2,6;0,56;0;0;0;0,48;0,12;0,7
"observation";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24;0,96;0,14
"sol";0;0;0;0;0;0;0;0;0;0;0;1,07;0;0;0;0;0,46;0;0;0;1,3;0;0;0;0;0;0;0,42
"son";19,87;0;12,58;4,24;6,94;5;11,94;0;16,67;1,75;19,97;15,35;12,73;4,57;8,18;4,22;5,98;8,83;9,85;4,33;12,36;6,68;2,76;2,69;2,21;1,32;1,31;1,97
"ligue";0;0;0;0;0;0;0;0;0;0;0;0;1,91;0;3,47;0;0,23;1,77;0;0;0;1,11;0;0;0;0,12;0;0
"corps";0;0;0;0;0;0;0;0;0;0;0;1,43;0;0;1,24;2,81;0;0;0,47;0,72;1,95;0;0,79;0,19;0;0;0;0
"minute";0;0;0;0;0;0;1,49;0;0;0;0;0;1,27;0;0;0,47;0;0;0;0;0;0,56;0;0;0,55;0,12;0;3,8
"cette";0;16,39;3,14;4,24;0;0;1,49;0;0;0,88;0;4,64;0,64;0;1,73;0;2,3;0,88;1,88;5,77;1,95;2,78;1,97;0,77;1,11;1,32;0,72;0,84
"solère";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,69;0;0;0;0
"égyptien";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,88;0,47;0;0;0;0;0;0;0;1,08;0
"sommaire";0;0;0;0;0;0;0;0;0;0;1,66;0;0;0;0,5;0,47;0,23;0;0;0;0;0,56;0,39;0,38;1,11;0,24;0;0,28
"nadia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,53;0,96;0;0
"daam";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,53;0,96;0;0
"reportage";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,23;1,41;0,46;1,77;1,41;2,88;1,3;2,23;0;0;0,55;0,12;0;0,42
