"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"petit";-31,861;-11,122;-8,87;0,059;-13,545;656,36
"ancien";21,043;-23,73;-6,001;-4,367;46,493;-5,894
"fille";-57,888;-14,629;-26,462;-8,07;29,242;715,056
"monde";0,733;-11,052;-13,626;-7,458;191,961;-8,836
"extraire";-26,672;-0,304;33,493;47,817;-5,984;-4,53
"nouveau";0,507;-0,074;0,221;6,497;-4,716;-3,57
"nombreux";-25,53;-21,404;-21,825;-5,59;-9,331;980,809
"vie";5,481;5,057;-1,422;-1,348;-7,685;-5,817
"terre";82,221;-16,681;-6,777;-4,721;-5,689;-4,307
"provoquer";-43,074;-19,407;-18,688;-6,631;-7,99;1114,194
"incident";-38,707;-26,443;-18,211;-6,462;-7,786;1143,399
"prendre";3,743;0,325;0,024;-2,495;-3,006;-2,276
"prétexte";-51,15;-24,724;-17,027;-6,042;-7,28;1223,05
"homme";25,34;-0,706;-1,229;-4,559;-5,493;-4,158
"présenter";-12,349;60,754;-0,345;-0,99;-5,201;-3,937
"humour";-37,316;-12,295;-2,58;-4,803;500,212;-4,381
"super";-22,156;-15,369;-7,846;-4,397;483,604;-4,011
"planète";1,384;-16,345;-6,78;-3,994;127,086;-3,643
"invité";-8,386;-1,512;0,012;129,214;-4,141;-3,134
"voir";-0,029;23,167;-1,095;-3,914;-4,716;-3,57
"tenter";11,117;-0,822;-1,179;-1,117;-1,346;-1,019
"sauver";-25,511;-13,271;-6,164;-4,478;473,923;-4,084
"tête";-33,22;-10,432;-7,632;-2,36;493,632;-3,937
"film";-4,532;-0,05;18,214;2,648;-3,382;-2,56
"venir";15,7;-1,87;-0,668;-0,017;-4,332;-3,279
"grand";-0,709;-3,408;46,174;-1,852;-4,524;-3,424
"premier";-3,991;11,984;0,985;0,044;-3,571;-2,703
"parler";-6,361;51,647;-0,445;-3,914;-4,716;-3,57
"phénomène";7,216;1,316;-2,546;-1,161;-3,571;-2,703
"passer";18,546;-2,116;-0,325;-1,431;-3,95;-2,99
"parent";-14,688;-0,022;-2,255;-3,436;153,744;-3,134
"année";-2,081;0,93;18,214;-2,807;-3,382;-2,56
"grave";-29,166;-15,69;-10,806;-3,834;562,245;-3,497
"péril";-31,785;-15,364;-10,581;-3,754;575,319;-3,424
"gasnier";-27,753;-4,799;-6,906;463,594;-3,95;-2,99
"bellver";-30,436;-12,131;-10,132;633,828;-4,332;-3,279
"ambre";-29,764;-14,387;-9,908;649,14;-4,236;-3,207
"étrange";23,189;-1,264;-3,728;-2,108;-2,54;-1,923
"reportage";-7,874;52,017;-1,084;-1,5;-4,045;-3,062
"découvrir";21,691;-2,858;-0,193;-3,12;-3,76;-2,846
"émission";-14,784;32,639;0,529;0,094;-3,382;-2,56
"côté";-7,371;-2,116;-3,258;-3,278;162,978;-2,99
"univers";-5,739;-0,516;-9,239;-3,278;162,978;-2,99
"rendre";34,109;-2,78;-7,47;-0,901;-3,194;-2,418
"image";-1,477;15,893;0,414;-2,885;-3,476;-2,631
"enfant";-0,256;16,197;-0,212;-2,651;-3,194;-2,418
"spécialiste";-2,128;-4,981;-6,594;184,608;-2,819;-2,134
"mazaurette";-23,761;-11,485;-7,91;518,228;-3,382;-2,56
"espace";15,601;-5,501;-1,734;0,518;-1,62;-1,226
"propre";-14,083;-0,74;-2,721;-3,042;178,58;-2,775
"livre";-3,647;0,01;0,835;25,266;-2,262;-1,713
"etienne";-25,087;-12,126;-8,351;547,15;-3,571;-2,703
"carbonnier";-25,087;-12,126;-8,351;547,15;-3,571;-2,703
"astronaute";57,66;-11,806;-8,13;-1,095;-3,476;-2,631
"aller";0,169;1,484;-0,408;1,822;-2,819;-2,134
"évoquer";-1,465;10,543;0,257;-0,54;-2,633;-1,993
"recherche";10,682;-5,561;-3,318;10,945;-2,355;-1,783
"quitter";-12,866;-7,047;-2,374;0,066;190,365;-2,631
"scientifique";17,235;-0,88;-1,257;-2,34;-2,819;-2,134
"preuve";34,289;-5,865;-3,522;-2,031;-2,447;-1,853
"humain";35,11;-7,711;-1,558;-2,495;-3,006;-2,276
"histoire";2,233;0,329;-0,974;0,566;-2,633;-1,993
"donner";0,04;16,197;-1,875;-2,651;-3,194;-2,418
"courir";-16,898;-4,573;-0,282;-2,729;203,47;-2,489
"plateau";-19,878;62,211;0,134;-2,729;-3,288;-2,489
"maïa";-22,44;-10,847;-7,47;489,402;-3,194;-2,418
"lointain";-3,263;-10,528;-7,25;-2,573;218,13;-2,347
"expliquer";0,001;14,485;-1,257;-2,34;-2,819;-2,134
"débat";-0,605;-0,113;11,061;-0,11;-1,803;-1,365
"dernier";1,344;4,33;-2,571;-0,008;-2,819;-2,134
"retrouver";16,236;-0,047;-3,728;-2,108;-2,54;-1,923
"posséder";-3,787;-7,401;-4,559;-2,417;178,315;-2,205
"origine";23,397;-0,47;-7,031;-2,495;-3,006;-0,611
"comprendre";6,176;-1,487;-0,003;-0,048;-1,62;-1,226
"terrien";-5,852;-7,711;-7,031;-2,495;226,132;-2,276
"robot";-0,003;0,016;2,338;-0,593;-0,714;-0,54
"naître";-18,571;-0,128;-7,25;-2,573;218,13;-2,347
"inviter";-10,475;-0,725;11,256;33,759;-2,726;-2,064
"frédéric";-16,62;2,721;0,652;50,53;-2,819;-2,134
"voler";-9,307;-5,271;-6,813;-2,417;234,636;-2,205
"vivre";-0,224;28,6;-4,559;-2,417;-2,913;-2,205
"président";-0,882;-0,822;0,961;16,673;-1,346;-1,019
"membre";0,229;-1,209;3,039;-0,295;-0,356;-0,269
"général";-0,065;6,42;-1,25;-0,444;-0,535;-0,405
"trouver";12,188;-0,142;-1,51;-1,878;-2,262;-1,713
"revenir";0,521;2,146;-2,206;2,239;-2,633;-1,993
"luc";-2,281;0,016;6,097;0,402;-0,714;-0,54
"citation";-2,018;-5,501;31,444;0,518;-1,62;-1,226
"cas";-3,932;-0,101;-0,239;67,06;-2,633;-1,993
"américain";8,184;-3,565;0,65;-0,377;-2,355;-1,783
"acteur";-13,309;0,005;-0,88;119,689;-1,894;-1,434
"témoin";0,924;1,878;-0,249;-1,193;-1,437;-1,088
"thierry";-9,46;2,425;-0,158;37,692;-1,346;-1,019
"sujet";-14,038;0,652;28,575;0,783;-2,447;-1,853
"question";6,018;-3,565;3,448;-1,954;-2,355;-1,783
"manquer";-16,62;-1,875;-6,594;-2,34;243,693;-2,134
"grandir";-19,155;-1,664;-6,376;-2,263;253,357;-2,064
"forme";8,184;1,964;-5,508;-1,954;-2,355;-1,783
"député";-3,128;-1,512;13,927;1,359;-0,445;-0,337
"claude";-2,643;14,113;-0,249;-0,009;-1,437;-1,088
"unir";0,234;-1,232;0,795;2,23;-0,984;-0,745
"raconter";-0,472;22,73;-2,028;-2,108;-2,54;-1,923
"porte";0,055;-1,494;2,223;1,827;-1,074;-0,813
"intervenir";-12,45;-6,476;-6,159;-2,185;263,691;-1,993
"figure";-10,475;-9,259;-4,142;-2,263;253,357;-2,064
"édition";-10,739;-2,888;-0,355;153,872;-1,528;-1,157
"visuel";-8,822;-4,264;57,005;0,002;-1,256;-0,95
"site";7,048;-3,843;0,494;0,013;-2,447;-1,853
"retour";-14,601;-7,057;70,522;4,075;-2,078;-1,573
"recevoir";-0,895;-0,332;18,609;-0,429;-2,447;-1,853
"danger";-15,326;-4,407;-6,159;-2,185;263,691;-1,993
"affaire";-1,189;0,109;12,363;-1,42;-1,711;-1,295
"théoricien";44,301;-8,312;-5,724;-2,031;-2,447;-1,853
"ciel";22,896;-1,975;-4,216;-1,496;-1,803;-1,365
"visiteur";40,952;-7,684;-5,292;-1,878;-2,262;-1,713
"témoignage";-2,746;33,955;-2,711;-1,725;-2,078;-1,573
"parole";-1,002;-0,738;4,738;3,353;-0,804;-0,609
"objet";23,374;-1,344;-4,86;-1,725;-2,078;-1,573
"femme";-0,008;17,036;-5,076;-0,277;-2,17;-1,643
"entraîner";-17,196;-8,312;-3,522;-2,031;286,668;-1,853
"créature";5,534;-1,232;0,008;-0,817;-0,984;-0,745
"connaître";0,997;0,338;0,835;-1,878;-2,262;-1,713
"sse";-16,546;-7,998;-5,508;-1,954;299,487;-1,783
"pté";-16,546;-7,998;-5,508;-1,954;299,487;-1,783
"partir";-3,866;-2,487;33,98;0,175;-1,986;-1,503
"mélenchon";-1,874;-0,906;5,177;3,302;-0,267;-0,202
"décontraction";-16,546;-7,998;-5,508;-1,954;299,487;-1,783
"culture";0,257;1,784;0,343;-1,725;-2,078;-1,573
"conquérant";-16,546;-7,998;-5,508;-1,954;299,487;-1,783
"aile";-16,546;-7,998;-5,508;-1,954;299,487;-1,783
"temps";8,407;0,215;-2,512;-1,648;-1,986;-1,503
"rencontre";0,257;8,025;-2,711;-0,231;-2,078;-1,573
"penser";5,039;2,37;-3,114;-1,878;-2,262;-1,713
"mettre";5,039;-0,732;0,143;-0,326;-2,262;-1,713
"jour";-0,627;8,025;0,001;-0,231;-2,078;-1,573
"identifier";21,087;-3,956;-2,725;-0,967;-1,165;-0,882
"découverte";3,259;-1,344;0,343;0,124;-2,078;-1,573
"devenir";-0,129;11,102;-1,185;-0,231;-2,078;-1,573
"voyage";-1,002;-0,004;1,663;3,353;-0,804;-0,609
"vaisseau";17,763;-4,264;-1,002;-1,042;-1,256;-0,95
"sy";-8,822;-0,625;-0,083;92,473;-1,256;-0,95
"pierre";1,277;-0,31;1,604;-0,187;-1,986;-1,503
"photo";0,77;7,193;-2,315;-1,572;-1,894;-1,434
"montrer";-7,524;33,791;-0,88;-0,147;-1,894;-1,434
"humanité";32,627;-6,122;-4,216;-1,496;-1,803;-1,365
"cnews";-5,017;-0,513;27,989;-0,593;-0,714;-0,54
"bernard";-2,417;18,317;-0,666;-0,892;-1,074;-0,813
"avocat";-0,304;1,627;0,173;-0,295;-0,356;-0,269
"affirmer";19,376;-1,344;-2,711;-1,725;-2,078;-1,573
"écrivain";-1,441;-0,056;7,634;0,156;-0,894;-0,677
"françois";-0,001;-4,058;23,983;-1,572;-1,894;-1,434
"famille";-6,926;30,728;-0,068;-1,496;-1,803;-1,365
"extrait";-13,309;-0,202;18,608;15,778;-1,894;-1,434
"entier";21,006;-2,601;-3,362;-1,193;-1,437;-1,088
"disciple";-14,601;-7,057;-4,86;-1,725;264,278;-1,573
"consacrer";-8,128;57,818;-4,645;-1,648;-1,986;-1,503
"équipe";0,022;-1,975;15,393;-1,496;-1,803;-1,365
"volant";22,896;-6,122;-0,736;-1,496;-1,803;-1,365
"semaine";-8,951;9,431;8,428;-1,42;-1,711;-1,295
"laisser";18,674;-0,758;-4,216;-1,496;-1,803;-1,365
"haut";-0,003;0,016;0,346;0,402;-0,714;-0,54
"fois";-0,019;3,9;-0,026;-0,077;-1,711;-1,295
"enquête";7,84;-2,318;0,085;-1,117;-1,346;-1,019
"déclaration";-4,593;-4,881;4,706;47,257;-1,437;-1,088
"anne";-9,581;-0,758;-0,068;107,637;-1,803;-1,365
"ami";4,26;-0,979;0,056;-0,742;-0,894;-0,677
"visite";14,087;-2,888;-1,546;-0,026;-1,528;-1,157
"réalité";8,249;-1,764;-0,03;-0,967;-1,165;-0,882
"rester";4,016;0,234;-1,002;-1,042;-1,256;-0,95
"professeur";-3,478;5,741;3,42;-1,042;-1,256;-0,95
"pari";-5,844;13,473;1,292;-1,042;-1,256;-0,95
"lci";-3,756;-0,142;18,548;-0,444;-0,535;-0,405
"information";-2,17;-0,822;26,139;-1,117;-1,346;-1,019
"ex";-0,287;-0,311;-0,041;14,291;-0,624;-0,473
"désert";5,948;-2,73;0,162;-0,667;-0,804;-0,609
"animal";0,548;0,381;0,489;-1,268;-1,528;-1,157
"agir";13,422;-0,587;-1,925;-1,42;-1,711;-1,295
"permettre";5,048;0,001;-0,355;-1,268;-1,528;-1,157
"partie";0,807;5,741;-2,937;-1,042;-1,256;-0,95
"maison";2,276;-0,431;0,327;-0,048;-1,62;-1,226
"contact";17,131;-1,727;-1,925;-1,42;-1,711;-1,295
"bruno";-3,128;0,802;1,838;1,359;-0,445;-0,337
