"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"476";"1240";"38.39";"****";""
"57";"61";" 93.44";"82.22";"terre";"1.216917e-19"
"37";"38";" 97.37";"57.66";"astronaute";"3.116112e-14"
"27";"27";"100.00";"44.30";"théoricien";"2.816087e-11"
"25";"25";"100.00";"40.95";"visiteur";"1.560391e-10"
"29";"33";" 87.88";"35.11";"humain";"3.115296e-09"
"25";"27";" 92.59";"34.29";"preuve";"4.750684e-09"
"30";"35";" 85.71";"34.11";"rendre";"5.211353e-09"
"20";"20";"100.00";"32.63";"humanité";"1.116481e-08"
"16";"16";"100.00";"26.02";"possible";"3.385351e-07"
"41";"59";" 69.49";"25.34";"homme";"4.805692e-07"
"15";"15";"100.00";"24.37";"spatial";"7.947919e-07"
"17";"18";" 94.44";"24.27";"cacher";"8.382702e-07"
"17";"18";" 94.44";"24.27";"incroyable";"8.382702e-07"
"26";"33";" 78.79";"23.40";"origine";"1.318179e-06"
"20";"23";" 86.96";"23.37";"objet";"1.333881e-06"
"23";"28";" 82.14";"23.19";"étrange";"1.467998e-06"
"18";"20";" 90.00";"22.90";"ciel";"1.710455e-06"
"18";"20";" 90.00";"22.90";"volant";"1.710455e-06"
"30";"41";" 73.17";"21.69";"découvrir";"3.202923e-06"
"13";"13";"100.00";"21.09";"identifier";"4.389836e-06"
"13";"13";"100.00";"21.09";"giorgio";"4.389836e-06"
"13";"13";"100.00";"21.09";"tsoukalos";"4.389836e-06"
"51";"82";" 62.20";"21.04";"ancien";"4.489869e-06"
"15";"16";" 93.75";"21.01";"entier";"4.578743e-06"
"16";"18";" 88.89";"19.70";"décider";"9.078779e-06"
"12";"12";"100.00";"19.45";"légende";"1.033372e-05"
"19";"23";" 82.61";"19.38";"affirmer";"1.073307e-05"
"14";"15";" 93.33";"19.38";"technologie";"1.070179e-05"
"17";"20";" 85.00";"18.67";"laisser";"1.550483e-05"
"30";"43";" 69.77";"18.55";"passer";"1.658372e-05"
"11";"11";"100.00";"17.81";"système";"2.436503e-05"
"11";"11";"100.00";"17.81";"explorer";"2.436503e-05"
"11";"11";"100.00";"17.81";"antique";"2.436503e-05"
"13";"14";" 92.86";"17.76";"vaisseau";"2.501940e-05"
"13";"14";" 92.86";"17.76";"sembler";"2.501940e-05"
"13";"14";" 92.86";"17.76";"secret";"2.501940e-05"
"23";"31";" 74.19";"17.24";"scientifique";"3.302162e-05"
"16";"19";" 84.21";"17.13";"contact";"3.489171e-05"
"14";"16";" 87.50";"16.53";"mars";"4.786557e-05"
"21";"28";" 75.00";"16.24";"retrouver";"5.591087e-05"
"10";"10";"100.00";"16.18";"géant";"5.757134e-05"
"10";"10";"100.00";"16.18";"dieu";"5.757134e-05"
"10";"10";"100.00";"16.18";"cnrs";"5.757134e-05"
"12";"13";" 92.31";"16.15";"suggérer";"5.851815e-05"
"31";"47";" 65.96";"15.70";"venir";"7.421415e-05"
"15";"18";" 83.33";"15.60";"espace";"7.821281e-05"
" 9";" 9";"100.00";"14.55";"servir";"1.364169e-04"
" 9";" 9";"100.00";"14.55";"militaire";"1.364169e-04"
" 9";" 9";"100.00";"14.55";"disparaître";"1.364169e-04"
"11";"12";" 91.67";"14.54";"théorie";"1.369601e-04"
"11";"12";" 91.67";"14.54";"véritable";"1.369601e-04"
"14";"17";" 82.35";"14.09";"visite";"1.745474e-04"
"15";"19";" 78.95";"13.42";"agir";"2.487430e-04"
"12";"14";" 85.71";"13.41";"ville";"2.503072e-04"
" 8";" 8";"100.00";"12.92";"effet";"3.244453e-04"
" 8";" 8";"100.00";"12.92";"intelligent";"3.244453e-04"
" 8";" 8";"100.00";"12.92";"connaissance";"3.244453e-04"
"18";"25";" 72.00";"12.19";"trouver";"4.809208e-04"
"11";"13";" 84.62";"11.87";"mystérieux";"5.702161e-04"
"11";"13";" 84.62";"11.87";"envoyer";"5.702161e-04"
" 7";" 7";"100.00";"11.30";"endroit";"7.754554e-04"
" 7";" 7";"100.00";"11.30";"cerveau";"7.754554e-04"
" 7";" 7";"100.00";"11.30";"écraser";"7.754554e-04"
" 7";" 7";"100.00";"11.30";"visiter";"7.754554e-04"
" 7";" 7";"100.00";"11.30";"représenter";"7.754554e-04"
" 7";" 7";"100.00";"11.30";"disparition";"7.754554e-04"
" 7";" 7";"100.00";"11.30";"apparence";"7.754554e-04"
"12";"15";" 80.00";"11.12";"tenter";"8.555380e-04"
"18";"26";" 69.23";"10.68";"recherche";"1.081845e-03"
" 8";" 9";" 88.89";" 9.78";"lune";"1.768011e-03"
" 8";" 9";" 88.89";" 9.78";"force";"1.768011e-03"
" 8";" 9";" 88.89";" 9.78";"base";"1.768011e-03"
" 8";" 9";" 88.89";" 9.78";"puissant";"1.768011e-03"
" 6";" 6";"100.00";" 9.68";"astrophysicien";"1.865813e-03"
" 6";" 6";"100.00";" 9.68";"civilisation";"1.865813e-03"
" 6";" 6";"100.00";" 9.68";"train";"1.865813e-03"
" 6";" 6";"100.00";" 9.68";"prétendre";"1.865813e-03"
" 6";" 6";"100.00";" 9.68";"tradition";"1.865813e-03"
" 6";" 6";"100.00";" 9.68";"savant";"1.865813e-03"
" 6";" 6";"100.00";" 9.68";"présent";"1.865813e-03"
" 6";" 6";"100.00";" 9.68";"modifier";"1.865813e-03"
" 6";" 6";"100.00";" 9.68";"menace";"1.865813e-03"
"11";"14";" 78.57";" 9.67";"révéler";"1.875527e-03"
"12";"16";" 75.00";" 9.19";"gouvernement";"2.437459e-03"
" 9";"11";" 81.82";" 8.85";"explication";"2.928807e-03"
" 9";"11";" 81.82";" 8.85";"extra_terrestre";"2.928807e-03"
" 9";"11";" 81.82";" 8.85";"apporter";"2.928807e-03"
"15";"22";" 68.18";" 8.41";"temps";"3.738675e-03"
"10";"13";" 76.92";" 8.25";"réalité";"4.077657e-03"
"10";"13";" 76.92";" 8.25";"millier";"4.077657e-03"
" 7";" 8";" 87.50";" 8.21";"structure";"4.162020e-03"
" 7";" 8";" 87.50";" 8.21";"mythe";"4.162020e-03"
" 7";" 8";" 87.50";" 8.21";"mystère";"4.162020e-03"
" 7";" 8";" 87.50";" 8.21";"signe";"4.162020e-03"
" 7";" 8";" 87.50";" 8.21";"intervention";"4.162020e-03"
" 7";" 8";" 87.50";" 8.21";"oeil";"4.162020e-03"
" 7";" 8";" 87.50";" 8.21";"invasion";"4.162020e-03"
"17";"26";" 65.38";" 8.18";"américain";"4.226082e-03"
"17";"26";" 65.38";" 8.18";"forme";"4.226082e-03"
" 5";" 5";"100.00";" 8.06";"pyramide";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"elbaz";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"tuer";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"vieux";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"solaire";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"satellite";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"inexplicable";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"indiquer";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"code";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"capacité";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"émettre";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"statue";"4.531065e-03"
" 5";" 5";"100.00";" 8.06";"lier";"4.531065e-03"
