"";"x"
"1";2
"2";2
"3";2
"4";3
"5";0
"6";2
"7";1
"8";1
"9";2
"10";1
"11";1
"12";1
"13";3
"14";2
"15";0
"16";2
"17";2
"18";2
"19";1
"20";1
"21";1
"22";1
"23";2
"24";2
"25";2
"26";2
"27";1
"28";3
"29";2
"30";3
"31";2
"32";1
"33";1
"34";3
"35";2
"36";2
"37";2
"38";2
"39";3
"40";2
"41";2
"42";2
"43";2
"44";2
"45";1
"46";2
"47";1
"48";1
"49";0
"50";0
"51";0
"52";0
"53";0
"54";0
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";0
"65";0
"66";0
"67";1
"68";0
"69";0
"70";0
"71";1
"72";0
"73";0
"74";0
"75";0
"76";0
"77";0
"78";1
"79";1
"80";0
"81";0
"82";1
"83";0
"84";0
"85";0
"86";0
"87";3
"88";2
"89";3
"90";3
"91";3
"92";2
"93";2
"94";2
"95";2
"96";1
"97";0
"98";0
"99";0
"100";0
"101";0
"102";0
"103";0
"104";0
"105";0
"106";0
"107";0
"108";3
"109";0
"110";0
"111";0
"112";0
"113";0
"114";0
"115";0
"116";0
"117";1
"118";1
"119";1
"120";1
"121";1
"122";1
"123";1
"124";1
"125";1
"126";1
"127";1
"128";1
"129";1
"130";1
"131";1
"132";1
"133";1
"134";1
"135";1
"136";1
"137";1
"138";1
"139";1
"140";3
"141";3
"142";1
"143";2
"144";1
"145";3
"146";2
"147";1
"148";1
"149";1
"150";1
"151";1
"152";1
"153";3
"154";1
"155";2
"156";1
"157";1
"158";2
"159";2
"160";3
"161";1
"162";1
"163";1
"164";1
"165";1
"166";1
"167";1
"168";1
"169";2
"170";1
"171";1
"172";1
"173";1
"174";6
"175";1
"176";1
"177";1
"178";0
"179";2
"180";2
"181";2
"182";0
"183";2
"184";2
"185";3
"186";3
"187";2
"188";3
"189";2
"190";1
"191";2
"192";2
"193";2
"194";2
"195";2
"196";2
"197";1
"198";2
"199";2
"200";1
"201";1
"202";1
"203";5
"204";5
"205";5
"206";5
"207";5
"208";5
"209";5
"210";5
"211";5
"212";5
"213";5
"214";5
