"";"classe 1";"classe 2"
"petit";0,588;-0,588
"ancien";-28,26;28,26
"fille";1,354;-1,354
"monde";-17,187;17,187
"extraire";39,993;-39,993
"nouveau";-0,64;0,64
"nombreux";-6,733;6,733
"vie";-0,668;0,668
"terre";-53,261;53,261
"provoquer";-0,263;0,263
"incident";-5,554;5,554
"prendre";-0,67;0,67
"homme";-16,21;16,21
"présenter";24,229;-24,229
"humour";3,827;-3,827
"super";-1,338;1,338
"planète";-22,584;22,584
"invité";0,575;-0,575
"voir";2,625;-2,625
"tenter";-7,422;7,422
"sauver";0,227;-0,227
"tête";1,011;-1,011
"film";11,032;-11,032
"venir";-12,163;12,163
"grand";3,367;-3,367
"premier";3,74;-3,74
"parler";14,412;-14,412
"phénomène";-2,683;2,683
"passer";-10,038;10,038
"parent";4,132;-4,132
"année";7,077;-7,077
"gasnier";4,542;-4,542
"étrange";-15,893;15,893
"reportage";15,789;-15,789
"découvrir";-13,017;13,017
"émission";24,748;-24,748
"côté";-0,205;0,205
"univers";-0,206;0,206
"rendre";-20,23;20,23
"image";6,03;-6,03
"enfant";3,996;-3,996
"spécialiste";-2,943;2,943
"espace";-28,756;28,756
"propre";2,035;-2,035
"livre";1,114;-1,114
"astronaute";-42,344;42,344
"aller";-0,007;0,007
"évoquer";4,956;-4,956
"recherche";-18,087;18,087
"quitter";0,034;-0,034
"scientifique";-9,542;9,542
"preuve";-20,131;20,131
"humain";-20,112;20,112
"histoire";-0,722;0,722
"donner";1,104;-1,104
"courir";1,821;-1,821
"plateau";29,84;-29,84
"lointain";-8,911;8,911
"expliquer";0,623;-0,623
"débat";1,963;-1,963
"dernier";-0,083;0,083
"retrouver";-10,531;10,531
"posséder";-0,572;0,572
"origine";-15,067;15,067
"comprendre";-3,695;3,695
"terrien";-5,174;5,174
"robot";0,322;-0,322
"naître";3,956;-3,956
"inviter";7,733;-7,733
"frédéric";12,375;-12,375
"voler";-1,619;1,619
"vivre";2,273;-2,273
"président";0,975;-0,975
"membre";-0,01;0,01
"général";0,485;-0,485
"trouver";-7,421;7,421
"revenir";-0,073;0,073
"luc";4,816;-4,816
"citation";2,263;-2,263
"cas";1,03;-1,03
"américain";-2,658;2,658
"acteur";6,371;-6,371
"témoin";-0,041;0,041
"thierry";7,288;-7,288
"sujet";19,403;-19,403
"question";-3,883;3,883
"manquer";1,522;-1,522
"grandir";3,631;-3,631
"forme";-3,42;3,42
"député";3,631;-3,631
"claude";4,608;-4,608
"unir";-0,026;0,026
"raconter";3,783;-3,783
"porte";0,165;-0,165
"intervenir";-0,01;0,01
"figure";-1,219;1,219
"édition";0,061;-0,061
"visuel";11,898;-11,898
"site";-4,316;4,316
"retour";15,674;-15,674
"recevoir";3,541;-3,541
"environnement";-0,01;0,01
"danger";0,242;-0,242
"affaire";4,132;-4,132
"théoricien";-30,611;30,611
"ciel";-14,764;14,764
"visiteur";-28,29;28,29
"témoignage";7,752;-7,752
"parole";2,323;-2,323
"objet";-14,676;14,676
"femme";1,354;-1,354
"créature";-2,838;2,838
"connaître";0,019;-0,019
"partir";4,814;-4,814
