petit;30;22
ancien;13;51
fille;16;9
monde;20;50
extraire;56;5
nouveau;22;25
nombreux;4;14
vie;39;42
terre;5;58
provoquer;3;4
incident;0;5
prendre;16;19
homme;18;46
présenter;48;9
humour;9;2
super;3;6
planète;2;25
invité;15;10
voir;33;19
tenter;3;13
sauver;6;4
tête;5;2
film;30;8
venir;13;34
grand;32;17
premier;27;13
parler;40;11
phénomène;15;23
passer;12;30
parent;15;5
année;28;10
gasnier;5;0
étrange;5;25
reportage;36;8
découvrir;11;32
émission;35;3
côté;9;10
univers;8;9
rendre;6;31
image;28;11
enfant;26;12
spécialiste;5;11
espace;1;28
propre;10;4
livre;14;8
astronaute;0;37
aller;15;14
évoquer;23;9
recherche;2;21
quitter;5;4
scientifique;9;25
preuve;3;25
humain;5;29
histoire;12;15
donner;22;14
courir;8;3
plateau;35;1
lointain;0;8
expliquer;19;13
débat;13;6
dernier;16;16
retrouver;7;23
posséder;5;7
origine;6;26
comprendre;5;12
terrien;1;7
robot;5;3
naître;7;1
inviter;18;4
frédéric;19;2
voler;2;5
vivre;21;11
président;8;4
membre;2;2
général;4;2
trouver;8;21
revenir;14;14
luc;8;1
citation;12;5
cas;11;6
américain;10;17
acteur;7;0
témoin;8;8
thierry;8;0
sujet;24;1
question;10;19
manquer;4;1
grandir;4;0
forme;9;17
député;4;0
claude;12;3
unir;5;5
raconter;21;9
porte;7;5
intervenir;2;2
figure;1;3
édition;4;3
visuel;13;0
site;8;17
retour;20;1
recevoir;19;8
environnement;2;2
danger;2;1
affaire;15;5
théoricien;0;27
ciel;2;18
visiteur;0;25
témoignage;20;5
parole;7;2
objet;3;20
femme;16;9
créature;3;8
connaître;14;12
partir;16;5
mélenchon;3;0
culture;13;10
temps;9;15
rencontre;13;10
penser;10;15
mettre;9;15
jour;15;7
identifier;0;13
découverte;9;13
devenir;15;9
voyage;5;7
vaisseau;1;21
sy;4;0
pierre;12;11
photo;11;10
montrer;18;3
humanité;1;20
cnews;10;0
bernard;10;2
avocat;6;1
affirmer;4;19
écrivain;8;2
françois;14;8
famille;18;2
extrait;17;0
entier;2;15
consacrer;20;2
équipe;12;10
volant;2;19
semaine;19;1
laisser;3;18
haut;4;3
fois;12;8
enquête;6;15
déclaration;6;2
anne;7;1
ami;4;15
visite;4;14
réalité;4;10
rester;5;9
professeur;16;2
pari;20;1
lci;8;0
information;13;3
ex;3;2
désert;3;8
animal;9;8
agir;5;15
permettre;7;11
partie;10;7
maison;8;10
contact;3;16
bruno;4;0
état;4;1
vidéo;9;3
utiliser;9;10
système;2;11
spatial;0;18
réputation;5;1
possible;1;17
médecin;6;2
mystérieux;2;13
giorgio;0;13
gens;7;3
expérience;10;7
décider;2;16
cours;11;7
commentaire;8;2
cacher;1;17
yves;16;1
tsoukalos;0;13
troisième;5;0
tomber;9;9
suite;6;3
sortir;14;3
seul;4;11
sentir;7;7
révéler;3;11
olivier;9;8
jacques;15;3
incroyable;1;17
gouvernement;3;12
étude;5;8
voix;12;2
université;8;2
présentation;10;0
frère;14;1
corps;8;6
commenter;12;3
école;5;2
technologie;1;14
sembler;1;14
secret;1;13
scientologie;9;1
père;10;3
persuader;6;10
mars;1;14
lune;2;13
lopez;3;0
info;10;0
exister;2;8
continuer;4;4
chercher;6;7
blanc;8;6
arriver;3;12
apparition;7;4
époque;7;7
yacine;1;5
soucoupe;4;10
nes;13;0
mort;9;4
millier;3;10
marier;13;2
lieu;3;9
etats;5;4
déguiser;9;0
discussion;3;2
créer;7;3
construire;4;9
commencer;7;8
claviere;0;4
belhousse;1;5
bande;13;1
ville;2;12
travailler;7;4
théorie;1;11
star;10;1
réaliser;7;5
rencontrer;4;9
quotidien;12;0
public;13;1
présidentiel;9;0
près_de;6;3
plan;7;7
part;6;7
nasa;0;7
moment;8;6
italie;3;5
géant;0;10
groupe;7;2
dieu;0;10
actuel;2;4
élection;7;0
âge;3;3
travers;9;4
suggérer;1;12
richard;10;0
rappeler;4;9
portrait;13;0
omar;3;0
nouvelle;5;8
média;10;0
long;5;8
jouer;11;2
humoriste;5;1
heure;10;2
explorer;0;11
envoyer;2;11
entrer;3;6
coeur;8;2
antique;0;11
alain;9;3
évolution;3;3
écrire;8;4
véritable;1;11
visage;6;4
toulouse;2;3
théâtre;9;2
science;4;5
répondre;6;5
pyramide;0;5
philippe;8;1
mois;11;0
mauvais;1;4
matin;11;0
magazine;10;2
légende;0;12
ligne;2;8
laure;3;8
internet;10;1
héros;6;5
he;11;0
guerre;1;8
explication;1;9
décrire;7;4
débarquer;1;4
dossier;7;3
différent;7;4
damien;12;0
courant;10;0
conseil;6;4
chef;6;6
bord;1;11
beau;10;1
archive;10;0
élément;2;8
zorbb;0;9
zone;2;4
victime;6;5
travail;7;3
transformer;5;6
the;9;1
structure;1;7
siècle;2;7
servir;0;10
représentant;1;2
poser;2;9
observation;0;3
nuit;5;6
notamment;9;2
mythe;1;7
mystère;1;9
mot;6;5
mener;4;6
meilleur;3;2
marine;5;2
main;3;7
leçon;2;1
justice;8;0
important;2;8
handicapé;8;0
garçon;4;7
gagner;7;2
force;0;8
fils;6;0
fantôme;2;7
face;7;3
extra_terrestre;2;9
expert;8;3
effet;0;8
convaincre;5;5
cnrs;0;10
chose;3;7
chine;3;7
carrière;9;1
base;1;10
avenir;2;9
association;7;4
apporter;2;9
annonce;10;1
aimer;10;1
également;6;2
xavier;2;4
vendre;4;6
trace;1;9
tourner;6;2
suivre;3;5
sud;6;3
substance;0;3
secte;10;0
réseau;6;1
récit;2;7
rouge;6;3
revue;8;1
rapport;4;4
préparer;8;2
porter;9;0
nucléaire;4;5
nombre;3;4
nom;2;7
mère;6;3
moyen;1;4
message;4;6
loi;7;1
jerry;1;6
galley;10;0
fou;4;4
façon;8;2
enlever;5;4
diffuser;9;0
davant;8;1
clair;7;3
christian;7;1
chien;4;2
chercheur;1;4
chaîne;5;1
capable;2;8
bout;2;2
astrophysicien;0;9
appeler;5;4
aider;4;2
agnès;4;0
étranger;6;2
église;5;3
virtuel;2;2
village;3;6
thème;6;2
spectacle;8;0
signe;1;7
scooby;0;8
says;4;1
roswell;2;6
relation;4;4
puissant;1;8
prouver;4;4
procès;5;1
plaindre;6;1
place;2;7
pilote;2;5
perdre;4;4
pays;2;4
participer;3;5
musk;1;7
monter;8;1
militaire;0;9
maître;2;1
manifestation;8;0
mai;8;0
machine;6;3
intérieur;5;1
intéresser;8;1
intervention;2;7
international;6;1
intelligent;0;8
garder;4;5
fait;3;5
existence;3;5
entourer;8;0
elon;1;7
elisabeth;8;0
elbaz;0;8
droite;6;0
doo;0;8
disparaître;0;9
dessin;2;6
demander;4;4
curieux;7;1
compilation;8;0
cercle;7;0
centre;2;6
centrale;3;5
cadre;8;1
attaque;4;5
appel;8;0
apparaître;6;3
analyse;3;6
aide;3;6
accompagner;6;3
événement;3;5
étoile;3;4
énergie;2;6
yann;6;0
vrai;5;3
vol;1;6
user;8;0
ukraine;2;1
témoigner;8;0
télévision;6;0
tuer;0;7
transmettre;3;4
thevenot;7;1
technique;6;1
séquence;7;0
surveillance;2;4
stylo;3;0
soirée;5;2
réponse;4;2
robert;5;2
publier;4;4
présence;3;5
problème;7;0
physique;8;0
peuple;1;6
personnalité;6;1
partager;2;5
oeil;1;7
nicolas;6;0
mouvement;5;1
mission;3;5
michael;3;0
lisa;7;1
lancer;8;0
isabelle;8;0
invasion;0;7
génération;6;1
génie;0;6
filmer;7;1
festival;4;0
essayer;6;2
endroit;0;7
désormais;4;1
début;7;1
duplex;7;0
docteur;5;1
didier;7;0
connaissance;0;8
confiance;7;1
concours;7;1
compagnie;8;0
civilisation;0;6
choisir;7;0
chiffre;1;5
changer;1;6
cerveau;0;7
bientôt;1;7
avion;2;3
artiste;5;2
armée;1;6
apprendre;5;3
amour;8;0
air;4;4
agent;4;1
agence;4;3
adepte;6;0
actu;8;0
écriture;5;0
écraser;0;7
vérité;1;6
voiture;2;4
visiter;0;7
téléspectateur;5;1
troublant;1;6
train;0;6
texte;3;4
style;6;0
société;4;3
situer;4;3
situation;1;5
science_fiction;3;4
salle;6;0
réussir;4;2
robbie;2;2
représenter;0;7
reprise;4;3
rentrer;4;3
refuser;5;2
rapporter;2;5
raison;1;6
prétendre;0;6
peur;1;5
personnage;4;2
particulier;6;1
parisien;6;0
paraître;1;5
ordre;2;1
off;5;2
oeuf;4;1
occasion;4;3
observer;3;4
nommer;1;4
new;3;1
musée;2;2
militant;2;1
maudit;1;6
liste;4;3
laurence;6;0
journée;6;1
janvier;6;0
jamy;7;0
h;4;3
gérard;5;1
gourmaud;7;0
glace;1;4
exercice;6;0
enlèvement;6;1
emmener;3;4
défense;1;4
don;2;4
domaine;0;5
disparition;0;7
cuisine;6;1
crise;7;0
contacter;6;0
compte;1;4
civil;4;2
cinéma;7;0
cicatrice;4;1
christelle;7;0
chambre;4;1
carburant;1;6
bourret;6;0
bien_être;5;0
ballestrero;7;0
atterrir;0;7
atr;6;1
artificiel;2;4
arrêter;2;4
argent;6;0
apparence;0;7
apercevoir;3;4
andré;1;6
accueillir;6;1
accepter;5;1
éviter;2;4
élève;5;0
zeitoun;6;0
vraiment;6;0
vieux;1;5
ven;6;0
valérie;4;1
traiter;3;2
tradition;0;6
tour;2;4
top;4;2
thouanel;6;0
tester;5;1
tenir;4;1
surprise;1;3
succès;5;1
stéphane;5;0
spirou;2;3
solaire;0;5
soeur;5;1
show;6;0
semoun;5;0
savant;0;6
satellite;0;5
sang;4;1
saint;5;0
région;5;1
réel;2;4
réalisateur;5;1
réagir;0;3
roi;2;4
responsable;6;0
remplacer;1;4
remonter;2;4
recueillir;1;5
présent;0;6
projet;0;5
profiter;1;5
produire;1;4
pratiquer;3;0
populaire;5;0
plume;3;0
pen;3;0
parcours;3;1
noix;0;5
nde;4;2
médium;4;2
musique;6;0
monstre;1;3
mondial;4;2
modifier;0;6
ministère;2;2
milieu;4;1
menace;0;6
mathématique;3;2
lumière;2;4
louis;5;0
julia;4;2
installer;5;1
inspirer;2;4
inexplicable;0;5
indiquer;1;5
inde;2;4
imaginer;3;3
hypothèse;2;3
homosexuel;5;0
habitant;2;4
futur;3;3
fred;4;2
fr;3;0
fondateur;4;0
fameux;4;2
exposer;4;2
euro;5;0
espèce;1;5
entendre;3;3
enfance;3;3
eau;3;2
détruire;2;4
droit;1;2
dominique;5;1
célèbre;4;2
couple;6;0
coup;4;1
contenir;1;4
conséquence;5;0
code;0;5
coach;6;0
château;5;1
choix;6;0
chemin;2;4
chat;4;0
capacité;0;5
canular;6;0
bois;4;2
bermudes;0;4
bender;0;3
bandit;1;5
ballon;1;4
aérien;2;4
avouer;4;1
attirer;1;5
atout;4;2
art;3;3
armstrong;1;5
application;4;1
antenne;4;0
animer;5;0
afrique;5;1
activité;1;5
étonnant;2;3
émettre;0;5
éloigner;3;2
électrique;0;4
zarzavatdjian;5;0
xxe;0;4
www;5;0
voyager;2;3
volcanique;1;4
vitesse;2;3
vendredi;4;0
téléphone;5;0
triangle;0;4
toucher;4;1
totalement;5;0
thomas;4;0
tesla;0;4
surveiller;1;3
suivant;5;0
statue;0;5
spécialiser;5;0
souvenir;3;2
sorte;4;1
soleil;1;3
sol;0;4
soir;4;0
social;4;0
simon;2;1
service;3;1
scène;1;4
santé;5;0
sandrine;4;0
sammy;0;5
sacré;2;2
résultat;4;1
récent;1;4
rumeur;3;2
ruine;0;4
roulant;5;0
reporter;3;1
reine;1;4
reconnaître;4;1
ray;4;1
rapidement;3;2
randonneur;0;5
ramener;1;3
radio;1;4
psychiatre;3;2
pratique;4;1
pléiade;0;4
plante;4;1
plage;5;0
pièce;4;0
piste;2;3
pianiste;4;1
payer;4;0
passionner;3;1
partisan;0;4
participation;5;0
paranormal;3;2
parallèle;1;4
panne;1;4
original;5;0
one;4;0
onclusive;3;0
océan;0;4
numéro;4;0
novembre;3;1
nouvel;5;0
nature;1;4
national;4;1
méthode;5;0
montagne;2;2
mexique;1;4
marseille;3;2
marquer;4;1
marin;3;2
manu;4;0
maladie;5;0
lutte;3;2
lunaire;2;3
lugg;0;5
lier;0;5
lecluyse;4;0
lavoine;4;1
kid;2;2
khomeiny;4;0
juillet;2;2
jeter;1;4
japon;2;3
intituler;5;0
interroger;4;1
interpréter;1;4
intelligence;0;4
inexpliqué;0;5
imminent;2;3
immense;1;3
illustration;5;0
hôpital;2;3
habiter;0;5
gueule;5;0
gladieux;0;4
george;2;3
gardien;2;3
gabriel;3;1
fête;4;0
février;5;0
freddy;0;4
fragile;5;0
fournir;1;4
fink;4;0
finir;4;1
fillon;4;0
fbi;2;3
fauteuil;5;0
facebook;3;2
extrême;4;0
extraordinaire;1;3
explorateur;1;4
exemple;5;0
esprit;2;3
enregistrer;2;2
enquêteur;0;5
enquêter;0;4
enfermer;0;4
empêcher;1;3
emploi;4;0
egypte;0;4
démonstration;4;1
défier;0;5
doux;5;0
doigt;4;0
documentaire;5;0
divin;0;5
distance;4;1
dimension;0;5
différence;2;2
deuxième;5;0
dangereux;3;2
célibat;1;2
céleste;0;4
coulisse;5;0
continent;0;4
constater;4;1
confronter;1;4
composer;4;1
complètement;3;2
communication;1;3
commandant;1;2
co;2;2
classe;5;0
chantal;4;1
champ;4;1
centaine;0;3
cause;1;3
castaner;4;0
carte;4;1
carrer;5;0
campagne;3;1
bébé;1;3
but;0;5
bureau;4;1
bruit;3;2
blues;5;0
berry;3;0
bergueswood;5;0
belge;3;2
ayatollah;3;0
avril;4;0
avis;3;1
avancé;0;5
astronomie;0;5
assurer;4;1
arabe;3;0
appareil;1;3
anthropologue;3;2
anonyme;2;3
animateur;4;0
anglais;5;0
analyser;1;4
amoureux;4;1
amateur;3;1
adresse;3;2
aborder;5;0
éternel;0;3
équilibre;4;0
énorme;1;3
élite;3;1
électricité;1;2
échapper;1;3
yeti;2;1
week_end;4;0
voisin;0;4
vision;2;2
virus;0;3
version;3;1
vague;1;2
us;1;3
télérama;0;4
télé;3;1
type;4;0
twitter;2;1
trou;2;1
tracer;3;1
terrible;0;4
terrestre;1;3
technologique;0;4
taille;0;4
séance;2;2
sylvie;3;1
surprenant;1;2
supercherie;2;2
succession;2;1
stellaire;0;3
soutenir;3;1
souhaiter;2;2
sketch;4;0
siège;2;1
simplement;1;3
simple;3;1
signaler;0;3
seulement;0;4
septembre;3;0
scully;3;0
schi;2;2
sceptique;1;3
saveur;4;0
sauvage;0;3
samedi;3;1
rôle;4;0
révélation;0;4
récupérer;3;1
récemment;2;2
russie;0;3
rue;3;1
rtbf;3;0
rouch;0;4
roman;0;4
rock;4;0
rmc;4;0
ressentir;3;1
ressembler;2;2
repère;1;2
religion;0;4
rejoindre;2;2
regarder;3;1
regard;1;3
radar;1;3
quartier;2;2
pêcheur;3;0
prêtre;1;2
prêt;1;3
proximité;1;3
projeter;1;3
produit;2;2
producteur;4;0
prochain;1;2
printemps;4;0
poste;3;1
population;0;3
planet;0;3
placer;1;3
physicien;1;3
passage;3;1
pascal;4;0
particulièrement;2;1
palais;3;1
paix;1;3
oublier;3;1
oser;2;2
oliver;1;2
officiel;4;0
oeuvre;3;1
obtenir;4;0
obliger;2;2
numérique;0;4
nourriture;0;3
normal;1;3
niveau;0;4
nikos;4;0
net;3;1
ness;2;1
neil;0;4
nazca;0;4
mêler;3;0
méchant;4;0
mr;4;0
mourir;2;1
morley;3;0
morceau;1;2
mont;2;2
minus;0;4
mimosa;4;0
mercier;3;1
max;2;1
matériel;4;0
matinal;4;0
mathieu;2;2
marque;3;1
manipuler;0;4
manifester;1;2
manger;1;3
maitre;3;0
luxe;4;0
lourd;3;1
louise;4;0
louange;1;3
lascar;1;3
lapsus;4;0
langue;2;2
kidnapper;1;3
katché;3;0
joël;3;1
john;1;3
jan;4;0
invisible;0;4
inhabituel;0;4
ingénieur;1;3
indice;0;4
impossible;1;3
immortel;0;3
imion;4;0
imaginaire;2;2
illustrer;4;0
identique;0;4
humoristique;3;0
hommage;1;3
heureux;3;1
henry;0;4
henri;4;0
heavy;4;0
hasard;0;3
hanter;1;3
géoglyphes;0;4
guider;1;3
gros;2;2
globe;0;4
gigantesque;0;4
genre;2;2
fruit;3;1
former;1;3
foot;1;3
fonds;1;2
fond;2;2
faux;1;3
faciliter;1;3
exploser;2;1
evanno;3;0
etc;3;1
entrée;2;2
entreprise;4;0
enseigner;0;3
endoctriner;4;0
enceinte;3;1
empreinte;1;3
