"";"";"";"";"merci";""
"1";"merci";"0.390106548686922";"0.221065280364404";"0.855673771312552";"87"
"2";"quelques";"0.336955306926449";"0.190306680896144";"0.849528440444938";"96"
"3";"48";"0.440838089437655";"0.346865259520924";"0.847203619508248";"101"
"4";"avant";"0.351259635986591";"0.200875816503941";"0.839656080208539";"110"
"5";"mon";"0.333345365757495";"0.197195478160281";"0.839656080208539";"111"
"6";"57";"0.411654637055642";"0.288607552072894";"0.837217456848375";"117"
"7";"beaucoup";"0.333748567045838";"0.188557821371416";"0.836465547978991";"118"
"8";"13";"0.392312519982638";"0.260715900467903";"0.836363938672317";"119"
"9";"ma";"0.347535661489852";"0.203162928711312";"0.83614852694217";"120"
"10";"lequel";"0.326532458793157";"0.18816539313256";"0.83614852694217";"121"
"11";"46";"0.431731166897089";"0.343834859549893";"0.834177306392703";"122"
"12";"37";"0.438544073861428";"0.352864944577613";"0.834177306392703";"123"
"13";"différents";"0.318057489534929";"0.167054728477533";"0.832596265580864";"126"
"14";"toutes";"0.303538897788514";"0.157688856164003";"0.832445883806987";"127"
"15";"alerte";"0.364156343615174";"0.201345215409339";"0.831189992776502";"129"
"16";"plusieurs";"0.313094805465706";"0.166074316575649";"0.830933937323685";"130"
"17";"28";"0.400417256443658";"0.274951302167773";"0.830096676636695";"131"
"18";"certains";"0.32894382640816";"0.189972290932942";"0.829783719972141";"132"
"19";"15";"0.403740215603454";"0.288719335346256";"0.829576436986527";"133"
"20";"quand";"0.346396916552447";"0.188812687949971";"0.829316317161442";"134"
"21";"non";"0.321240917510303";"0.171014227184682";"0.828978974263286";"135"
"22";"tout";"0.324572829255631";"0.176943537411127";"0.827727147605069";"137"
"23";"36";"0.407512404309836";"0.277935027443288";"0.825369811690243";"140"
"24";"vite";"0.369103345990227";"0.206067744785653";"0.825369811690243";"141"
"25";"moindre";"0.299280830935802";"0.152045053021677";"0.825247880522235";"142"
"26";"autrefois";"0.299280830935802";"0.152045053021677";"0.825247880522235";"143"
