"";"";"";"";"gasnier";""
"1";"gasnier";"0.504709843882769";"0.504709843882769";"1.82625911723793";"19"
"2";"entraîner";"-1.33498676104126";"-1.33498676104126";"1.31985548170992";"25"
"3";"intervenir";"-1.22472525396221";"-1.22472525396221";"1.25408992812521";"27"
"4";"manquer";"-1.12310571285702";"-1.12310571285702";"1.19685097001115";"31"
"5";"voler";"-1.08078516678985";"-1.08078516678985";"1.17092771550374";"32"
"6";"lointain";"-1.00160861014843";"-1.00160861014843";"1.12368367896855";"34"
"7";"posséder";"-0.919083891025661";"-0.919083891025661";"1.00972382711779";"41"
"8";"univers";"-0.722991836931423";"-0.722991836931423";"0.965825742279532";"43"
"9";"parent";"-0.666708760057832";"-0.666708760057832";"0.939395872331273";"45"
"10";"astrobiologiste";"0.525390657355525";"0.525390657355525";"0.812507308919294";"52"
"11";"anne";"0.467114300354395";"0.467114300354395";"0.807426843340113";"54"
"12";"omar";"0.486530319191496";"0.486530319191496";"0.788487440107751";"55"
"13";"planétologie";"0.525390657355525";"0.525390657355525";"0.77314014070743";"57"
"14";"république";"0.511935789251499";"0.511935789251499";"0.772833881655614";"58"
"15";"autrement";"0.504052291622407";"0.504052291622407";"0.772833881655614";"59"
"16";"leçon";"0.490670293419931";"0.490670293419931";"0.741131776441523";"61"
"17";"traducteur";"0.497126929053062";"0.497126929053062";"0.734093542718027";"63"
"18";"bertrand";"0.525390657355525";"0.525390657355525";"0.733835941646406";"64"
"19";"michaël";"0.525390657355525";"0.525390657355525";"0.733835941646406";"66"
"20";"coronavirus";"0.525390657355525";"0.525390657355525";"0.733835941646406";"68"
"21";"caville";"0.525390657355525";"0.525390657355525";"0.733835941646406";"69"
"22";"armin";"0.525390657355525";"0.525390657355525";"0.733835941646406";"70"
"23";"pucine";"0.486812475204866";"0.486812475204866";"0.703765309885911";"71"
"24";"retour";"0.425356637973415";"0.425356637973415";"0.701195023637965";"72"
"25";"beaugé";"0.525390657355525";"0.525390657355525";"0.694594711736223";"73"
"26";"souffle";"0.525390657355525";"0.525390657355525";"0.694594711736223";"74"
"27";"orient";"0.525390657355525";"0.525390657355525";"0.694594711736223";"75"
"28";"multiplication";"0.525390657355525";"0.525390657355525";"0.694594711736223";"76"
"29";"lola";"0.525390657355525";"0.525390657355525";"0.694594711736223";"77"
"30";"iris";"0.525390657355525";"0.525390657355525";"0.694594711736223";"78"
"31";"dubini";"0.525390657355525";"0.525390657355525";"0.694594711736223";"79"
"32";"azem";"0.525390657355525";"0.525390657355525";"0.694594711736223";"80"
"33";"arefi";"0.525390657355525";"0.525390657355525";"0.694594711736223";"81"
"34";"abstention";"0.525390657355525";"0.525390657355525";"0.694594711736223";"82"
"35";"présenter";"0.344865394312745";"0.344865394312745";"0.673236720664758";"85"
"36";"consacrer";"0.330248589864583";"0.330248589864583";"0.664833201261673";"86"
"37";"astronaute";"0.305231089525819";"0.305231089525819";"0.664380968269273";"87"
"38";"visuel";"0.412946402486161";"0.412946402486161";"0.662506204914701";"88"
"39";"maître";"0.493383108755847";"0.493383108755847";"0.65742573933552";"89"
"40";"horizon";"0.505208355199485";"0.505208355199485";"0.65742573933552";"90"
"41";"manon";"0.487705686285575";"0.487705686285575";"0.65742573933552";"91"
"42";"islamique";"0.505208355199485";"0.505208355199485";"0.65742573933552";"92"
"43";"fondation";"0.493383108755847";"0.493383108755847";"0.65742573933552";"93"
"44";"uzeel";"0.525390657355525";"0.525390657355525";"0.65541931321101";"94"
"45";"focus";"0.525390657355525";"0.525390657355525";"0.65541931321101";"95"
"46";"youuse";"0.525390657355525";"0.525390657355525";"0.65541931321101";"96"
"47";"desagnat";"0.525390657355525";"0.525390657355525";"0.65541931321101";"97"
"48";"allemagne";"0.525390657355525";"0.525390657355525";"0.65541931321101";"98"
"49";"parler";"0.335736551396573";"0.335736551396573";"0.647170354450897";"100"
"50";"frédéric";"0.422607924305457";"0.422607924305457";"0.643973238928674";"101"
"51";"extraire";"0.415738084150828";"0.415738084150828";"0.636207997736382";"102"
"52";"déclaration";"0.451716749201973";"0.451716749201973";"0.634605146624077";"103"
"53";"stratégique";"0.46078784980704";"0.46078784980704";"0.630932900236421";"106"
"54";"humoriste";"0.439591826144125";"0.439591826144125";"0.629393018274956";"107"
"55";"agnès";"0.462762836448664";"0.462762836448664";"0.626985879372369";"108"
"56";"théoricien";"0.299280830935827";"0.299280830935827";"0.626144382538409";"109"
"57";"visiteur";"0.299280830935827";"0.299280830935827";"0.616558760439999";"110"
"58";"morning";"0.525390657355525";"0.525390657355525";"0.616306883836637";"111"
"59";"com";"0.525390657355525";"0.525390657355525";"0.616306883836637";"112"
"60";"bout";"0.444857539300842";"0.444857539300842";"0.611109066658162";"113"
"61";"thierry";"0.432426698991466";"0.432426698991466";"0.60722787717908";"114"
"62";"internet";"0.397201696553104";"0.397201696553104";"0.60690444472249";"115"
"63";"humain";"0.309859999883464";"0.309859999883464";"0.599837588657702";"116"
"64";"partir";"0.389761417810877";"0.389761417810877";"0.596603264091801";"119"
"65";"vincent";"0.467523384129536";"0.467523384129536";"0.596033679500107";"123"
"66";"inviter";"0.422334600939382";"0.422334600939382";"0.595970710349266";"124"
"67";"moyen";"0.424897401168993";"0.424897401168993";"0.595733144916549";"125"
"68";"galley";"0.333345365757458";"0.333345365757458";"0.595160698090726";"126"
"69";"émission";"0.361495476558105";"0.361495476558105";"0.592765008124656";"127"
"70";"humanité";"0.299280830935827";"0.299280830935827";"0.592730661315107";"128"
"71";"présidentiel";"0.426313901316785";"0.426313901316785";"0.592641932057104";"129"
"72";"heure";"0.38520302378593";"0.38520302378593";"0.592641932057104";"130"
"73";"citation";"0.3944148206381";"0.3944148206381";"0.589344638340362";"131"
"74";"famille";"0.340581634074569";"0.340581634074569";"0.587295278703915";"132"
"75";"chercheur";"0.415742197627839";"0.415742197627839";"0.583471333907416";"133"
"76";"media";"0.495117204121466";"0.495117204121466";"0.582881713676818";"134"
"77";"kantar";"0.495117204121466";"0.495117204121466";"0.582881713676818";"135"
"78";"déguiser";"0.404296844419287";"0.404296844419287";"0.58254969451784";"136"
"79";"didier";"0.404296844419287";"0.404296844419287";"0.58254969451784";"137"
"80";"courant";"0.35080402863001";"0.35080402863001";"0.581347556183611";"138"
"81";"vivre";"0.323852915620705";"0.323852915620705";"0.581204444477156";"139"
"82";"sujet";"0.392839570198199";"0.392839570198199";"0.581132888623928";"140"
"83";"cnews";"0.395427909586558";"0.395427909586558";"0.579455619424266";"141"
"84";"annonce";"0.391169842733854";"0.391169842733854";"0.579455619424266";"142"
"85";"façon";"0.383293641722595";"0.383293641722595";"0.579392650273425";"144"
"86";"ukraine";"0.458491021313786";"0.458491021313786";"0.57914936037245";"145"
"87";"témoigner";"0.333345365757458";"0.333345365757458";"0.575872102294612";"146"
"88";"physique";"0.333345365757458";"0.333345365757458";"0.575872102294612";"147"
"89";"compagnie";"0.333345365757458";"0.333345365757458";"0.575872102294612";"148"
"90";"amour";"0.333345365757458";"0.333345365757458";"0.575872102294612";"149"
"91";"information";"0.373833444567684";"0.373833444567684";"0.574160486285401";"150"
"92";"commentaire";"0.429272037307743";"0.429272037307743";"0.574120415007593";"151"
"93";"possible";"0.299280830935827";"0.299280830935827";"0.573808431487519";"152"
"94";"nasa";"0.402058024762963";"0.402058024762963";"0.573470687860284";"153"
"95";"homme";"0.318091372926033";"0.318091372926033";"0.571873561216237";"154"
"96";"livre";"0.405015306983352";"0.405015306983352";"0.571661755890682";"155"
"97";"spatial";"0.299280830935827";"0.299280830935827";"0.569097194110994";"156"
"98";"cacher";"0.301173305092584";"0.301173305092584";"0.568805246229824";"157"
"99";"crise";"0.404296844419286";"0.404296844419286";"0.568627787713819";"159"
"100";"www";"0.404296844419286";"0.404296844419286";"0.568627787713819";"160"
"101";"participation";"0.404296844419286";"0.404296844419286";"0.568627787713819";"161"
"102";"info";"0.40240510402043";"0.40240510402043";"0.568247110574647";"162"
"103";"beau";"0.381849665255003";"0.381849665255003";"0.568247110574647";"163"
"104";"notamment";"0.378752889362128";"0.378752889362128";"0.568247110574647";"164"
"105";"françois";"0.360912102203596";"0.360912102203596";"0.567989509503026";"165"
"106";"says";"0.464843750887406";"0.464843750887406";"0.566535494565435";"166"
"107";"problème";"0.333345365757458";"0.333345365757458";"0.566252133386653";"168"
"108";"jamy";"0.333345365757458";"0.333345365757458";"0.566252133386653";"169"
"109";"gourmaud";"0.333345365757458";"0.333345365757458";"0.566252133386653";"170"
"110";"christelle";"0.333345365757458";"0.333345365757458";"0.566252133386653";"171"
"111";"ballestrero";"0.333345365757458";"0.333345365757458";"0.566252133386653";"172"
"112";"portrait";"0.394160918896168";"0.394160918896168";"0.56587145624748";"174"
"113";"réseau";"0.389294556778792";"0.389294556778792";"0.56587145624748";"175"
"114";"étrange";"0.307897764963327";"0.307897764963327";"0.565716895604508";"176"
"115";"voir";"0.329001889490007";"0.329001889490007";"0.565653926453667";"177"
"116";"volant";"0.309782432284173";"0.309782432284173";"0.564878261004677";"180"
"117";"raconter";"0.327464013754922";"0.327464013754922";"0.564403130139244";"181"
"118";"explosion";"0.441759633751972";"0.441759633751972";"0.562906181689716";"182"
"119";"brigade";"0.434946726787646";"0.434946726787646";"0.562906181689716";"183"
"120";"richard";"0.34122886338655";"0.34122886338655";"0.562393841780604";"184"
"121";"yves";"0.348036035158969";"0.348036035158969";"0.561769874740457";"186"
"122";"découvrir";"0.318803239594581";"0.318803239594581";"0.561429268879092";"187"
"123";"identifier";"0.299280830935827";"0.299280830935827";"0.559700479465106";"188"
"124";"giorgio";"0.299280830935827";"0.299280830935827";"0.559700479465106";"189"
"125";"tsoukalos";"0.299280830935827";"0.299280830935827";"0.559700479465106";"190"
"126";"exercice";"0.333345365757458";"0.333345365757458";"0.556646475649339";"192"
"127";"contacter";"0.333345365757458";"0.333345365757458";"0.556646475649339";"193"
"128";"argent";"0.333345365757458";"0.333345365757458";"0.556646475649339";"194"
"129";"zeitoun";"0.333345365757458";"0.333345365757458";"0.556646475649339";"195"
"130";"thouanel";"0.333345365757458";"0.333345365757458";"0.556646475649339";"196"
"131";"décider";"0.307007528063888";"0.307007528063888";"0.555719111791505";"197"
"132";"légende";"0.299280830935827";"0.299280830935827";"0.555012139961613";"198"
"133";"technologie";"0.301551799923936";"0.301551799923936";"0.554820370274963";"199"
"134";"affirmer";"0.308289944759669";"0.308289944759669";"0.554803196870188";"200"
"135";"chat";"0.404296844419286";"0.404296844419286";"0.554725916548702";"201"
"136";"original";"0.404296844419286";"0.404296844419286";"0.554725916548702";"202"
"137";"khomeiny";"0.404296844419286";"0.404296844419286";"0.554725916548702";"203"
"138";"gueule";"0.404296844419286";"0.404296844419286";"0.554725916548702";"204"
"139";"février";"0.404296844419286";"0.404296844419286";"0.554725916548702";"205"
"140";"fillon";"0.404296844419286";"0.404296844419286";"0.554725916548702";"206"
"141";"extrême";"0.404296844419286";"0.404296844419286";"0.554725916548702";"207"
"142";"doigt";"0.404296844419286";"0.404296844419286";"0.554725916548702";"208"
"143";"castaner";"0.404296844419286";"0.404296844419286";"0.554725916548702";"209"
