"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"petit";0;0,003;0,001;0,808;0;0
"ancien";0;0,014;0;0,037;0;0,015
"fille";0;0;0;0,005;0;0
"monde";0,392;0;0,001;0,006;0;0,003
"extraire";0;0;0,581;0;0,014;0,033
"nouveau";0,476;0,638;0,785;0,011;0,03;0,059
"nombreux";0;0;0;0,018;0,002;0
"vie";0,019;0,233;0,025;0,246;0,006;0,016
"terre";0;0,009;0;0,03;0,017;0,038
"provoquer";0;0;0;0,01;0,005;0
"incident";0;0;0;0,011;0,005;0
"prendre";0,053;0,877;0,569;0,114;0,083;0,131
"prétexte";0;0;0;0,014;0,007;0
"homme";0;0,268;0,401;0,033;0,019;0,041
"présenter";0;0,557;0;0,32;0,023;0,047
"humour";0;0,108;0;0,028;0;0,036
"super";0;0,005;0;0,036;0;0,045
"planète";0,239;0,009;0;0,046;0;0,056
"invité";0,004;0,913;0,219;0;0,042;0,077
"voir";0,865;0,295;0;0,048;0,03;0,059
"tenter";0,001;0,278;0,365;0,29;0,246;0,313
"sauver";0;0,013;0;0,034;0;0,043
"tête";0;0,006;0,001;0,124;0;0,047
"film";0,033;0;0,823;0,104;0,066;0,11
"venir";0;0,414;0,171;0,896;0,037;0,07
"grand";0,4;0;0,065;0,174;0,033;0,064
"premier";0,046;0,321;0,001;0,833;0,059;0,1
"parler";0,012;0,504;0;0,048;0,03;0,059
"phénomène";0,007;0,111;0,251;0,281;0,059;0,1
"passer";0;0,568;0,146;0,232;0,047;0,084
"parent";0;0,133;0,881;0,064;0;0,077
"année";0,149;0;0,335;0,094;0,066;0,11
"grave";0;0,001;0;0,05;0;0,061
"péril";0;0,001;0;0,053;0;0,064
"gasnier";0;0,009;0,028;0;0,047;0,084
"bellver";0;0,001;0;0;0,037;0,07
"ambre";0;0,002;0;0;0,04;0,073
"étrange";0;0,054;0,261;0,147;0,111;0,166
"reportage";0,005;0,298;0;0,221;0,044;0,08
"découvrir";0;0,661;0,091;0,077;0,052;0,092
"émission";0;0,467;0;0,759;0,066;0,11
"côté";0,007;0,071;0,146;0,07;0;0,084
"univers";0,017;0,002;0,472;0,07;0;0,084
"rendre";0;0,006;0,095;0,342;0,074;0,12
"image";0,224;0,52;0;0,089;0,062;0,105
"enfant";0,613;0,645;0;0,104;0,074;0,12
"spécialiste";0,145;0,01;0,026;0;0,093;0,144
"mazaurette";0;0,005;0,001;0;0,066;0,11
"espace";0;0,188;0,019;0,472;0,203;0,268
"propre";0;0,099;0,39;0,081;0;0,096
"livre";0,056;0,361;0,918;0;0,133;0,191
"etienne";0;0,004;0;0;0,059;0,1
"carbonnier";0;0,004;0;0;0,059;0,1
"astronaute";0;0,004;0,001;0,295;0,062;0,105
"aller";0,681;0,523;0,223;0,177;0,093;0,144
"évoquer";0,226;0,612;0,001;0,463;0,105;0,158
"recherche";0,001;0,069;0,018;0,001;0,125;0,182
"quitter";0;0,123;0,008;0,797;0;0,105
"scientifique";0;0,262;0,348;0,126;0,093;0,144
"preuve";0;0,061;0,015;0,154;0,118;0,173
"humain";0;0,212;0,005;0,114;0,083;0,131
"histoire";0,135;0,324;0,566;0,452;0,105;0,158
"donner";0,842;0,171;0;0,104;0,074;0,12
"courir";0;0,596;0,032;0,099;0;0,115
"plateau";0;0,714;0;0,099;0,07;0,115
"maïa";0;0,006;0,001;0;0,074;0,12
"lointain";0,071;0,007;0,001;0,109;0;0,126
"expliquer";0,97;0,262;0;0,126;0,093;0,144
"débat";0,437;0,001;0,737;0,741;0,179;0,243
"dernier";0,246;0,109;0,037;0,928;0,093;0,144
"retrouver";0;0,054;0,828;0,147;0,111;0,166
"posséder";0,052;0,033;0,007;0,12;0;0,138
"origine";0;0,008;0,493;0,114;0,083;0,434
"comprendre";0,013;0,954;0,223;0,826;0,203;0,268
