"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,00796276723758947;-0,427650906857721;0,527442178063045;-0,397520782740377;0,592139996015617;-0,802520698627111;0,00626807702748332;-0,336635336068012;0,415188351109402;-0,31291770962232;0,466116739989394;-0,631722792473242;3,32816378798483e-06;0,00836923760462316;0,0100312114492031;0,00416884919535772;0,0057493057446373;0,00851439794725228;1,79338806626699e-07;0,000517279215157833;0,000786857241494177;0,000446957173035713;0,00099173359810749;0,0018216239132376;0,0028284352018964;2,85030699003379;0,0229789145120471
"classe 2";-0,263117117608169;0,185307617239761;0,49278803947537;0,483734786020588;0,682280370086689;-0,101264211828573;-0,256024906375828;0,180312728361481;0,479505145148689;0,470695918332785;0,663889789692979;-0,0985346775926654;0,0125217596903227;0,00541482164806817;0,0301727225697472;0,0212716733689835;0,0263016427477903;0,000467136650949373;0,00179403211244917;0,000889853576295253;0,00629292163563505;0,00606382480307468;0,0120630675396982;0,000265732075925061;0,0259138539449937;1,53548784512701;0,0610976874572786
"classe 3";-1,08241288139752;2,8835654282957;-1,52499610366855;-1,22812182417447;0,0205926192138798;0,0986874914050002;-0,296461066311463;0,789777077068488;-0,417679777083482;-0,33636915433329;0,0056400934940931;0,0270294260502106;0,108672694758037;0,672395202998818;0,14818321878417;0,0703132688465733;1,22870513386192e-05;0,000227522086422571;0,0816468186764034;0,579446018951895;0,162065596304729;0,105108118342814;2,9551296615825e-05;0,000678699583089556;0,0696872558791046;2,14418718587182;0,320389854968705
"classe 4";-0,0726596227283008;0,0261264324865553;0,683089391403478;0,51673537969359;1,4678127440712;4,57887286707975;-0,0148749888447481;0,00534864312802446;0,139843102614058;0,105786855477781;0,300492864873272;0,937393840785829;0,000819337196346362;9,23564161075417e-05;0,0497460382293499;0,0208272844291339;0,10444981263863;0,819517770834327;0,000210192708172241;2,71763790984931e-05;0,0185774649248635;0,0106308444625387;0,0857773602335547;0,834734838542019;0,039813592651456;1,65764590561516;0,10939938969747
"classe 5";-0,0787634039243892;-0,202000966293612;0,503299428563134;-0,292456199956297;0,914237694646446;-0,523822640498609;-0,0643944679128676;-0,165149601137723;0,411481694395608;-0,239102939254425;0,747451823554503;-0,428260823364141;0,00689432972801193;0,0395348817700772;0,19338509347445;0,047773231614461;0,290169196019722;0,0768026910905799;0,00113585569063251;0,0074710406334889;0,0463796085887744;0,015660148279635;0,153035593352846;0,0502392023456257;0,183094038736094;0,619453076493278;0,0702572316003981
"classe 6";-0,0282834718649537;-0,285193371712901;0,462625166564874;-0,331828495569597;0,618589324184486;-0,559669578804662;-0,02694091411834;-0,271655833877934;0,440665309439988;-0,316077285131173;0,589226171983024;-0,533103224710797;0,000567099979007432;0,0502693769330571;0,104226877133077;0,0392320866194335;0,0847401048131346;0,0559271135511732;6,53358536538108e-05;0,0066430112357171;0,0174801292904449;0,00899318417776173;0,0312529467997979;0,0255828859067485;0,0816744336395227;0,775591187664501;0,0491305768725789
"classe 7";-0,117700169798692;-1,31843720617609;-2,07258141918849;0,397097946972645;-0,14172090522184;0,0983749658711265;-0,0471360121059711;-0,528001550189517;-0,830017688441477;0,159027923815;-0,0567557235952271;0,0393967450527624;0,003032049509142;0,331689301853524;0,645850996524609;0,0173459164980009;0,00137321932895779;0,000533477502419412;0,00191214241223942;0,239930222229051;0,592910656991176;0,0217651336935645;0,00277225956796661;0,00133578094861904;0,138027637852544;1,39585050364062;0,268932860288892
"classe 8";-0,100172777397901;-0,0954139470969409;0,437213681740791;-0,0471968101764223;0,513591014394967;-0,242534485922901;-0,136937986784088;-0,130432580247619;0,597678959566288;-0,0645188876267041;0,702088145787181;-0,331549000544051;0,00490213441545988;0,00387739426148136;0,0641505370114318;0,000546928983087421;0,0402541426587406;0,00723765027716535;0,000388970942331869;0,000352891707340168;0,00740977833791518;8,63461590901401e-05;0,0102247468029732;0,00228015687590587;0,0387630310050373;0,934301551417301;0,03383700133996
"classe 9";0,00452266579808261;-0,383049372711557;0,567891881814325;-0,408306612013961;0,530044829518418;-0,220474883070521;0,00460271392928897;-0,389829087997689;0,577943184717532;-0,415533363383645;0,539426265147938;-0,224377139650085;3,31087473827536e-06;0,0207058813733675;0,0358601499264525;0,0135627089022539;0,0142059055938893;0,00198169497762597;2,92577179757257e-07;0,00209875124443969;0,00461299279658586;0,00238464799932666;0,004018617401877;0,000695295946677095;0,0143038008781618;1,62312917522725;0,0376840545656503
"classe 10";0,0248681741557246;-0,284702242169746;0,655145187607154;-0,254637092589811;1,06915618703723;-0,072206210317788;0,0189395874560412;-0,216829067576063;0,498958206557108;-0,193931466558697;0,814268750964887;-0,0549922091834891;3,35805273250215e-05;0,00383717795107099;0,0160103875820159;0,00176955026506099;0,0193897398023039;7,13039560183442e-05;6,99671244383722e-07;9,17039409867789e-05;0,000485602971405386;7,33583507461374e-05;0,00129326800085553;5,8986866889847e-06;0,00113137408075856;2,80239988656194;0,00888518425818228
"classe 11";0,0713769342605084;-0,305978072054541;0,435952083903638;-0,242031874231107;0,809516024879135;-0,586912113476158;0,061496821012313;-0,263624081445617;0,375606875687854;-0,208529422047484;0,697461478338321;-0,505670768383945;0,00197158408119997;0,0315871602491271;0,0505247370075863;0,011393692860636;0,0792210118986554;0,0335745714907951;0,000129826650330786;0,00238577057961346;0,0048431239826816;0,00149277103208405;0,0166993271026363;0,00877797252867541;0,0254828542951809;1,0497362662047;0,0280807351841652
"classe 12";-0,472280521862496;0,871956841702257;0,501363981755468;2,64698116313692;-0,88167266241686;-0,351489477518489;-0,156198361534973;0,288384177831404;0,165817197317434;0,875441822299631;-0,291597512293311;-0,116248877401631;0,0457359219243196;0,135918258770758;0,0354071241785355;0,722069379740525;0,0497922878636401;0,00638038426587683;0,0215820816652727;0,0735670331540721;0,0243220134468792;0,677945783653856;0,0752156153242576;0,0119541284723741;0,0967594213829701;1,44211959521914;0,201231432413295
"classe 13";4,76160057829908;1,21462603613166;-0,521698265093035;0,103487614186138;-0,21790186628524;-0,00708903446329274;0,962409651533928;0,245498924354356;-0,105445099238751;0,0209168066638921;-0,044042093777442;-0,00143282811637399;0,938130518712748;0,0532197666820972;0,00773611912111014;0,000222717297263371;0,000613718482362327;5,23716582680667e-07;0,889250737761708;0,0578633378104355;0,0106747348056562;0,000420044264691733;0,00186225954716321;1,97102659831563e-06;0,0392209681329634;3,21034194050167;0,404222882469587
"classe 14";-0,0875805780760364;-0,33889929052771;0,549909562610097;-0,412355018860933;0,686004776859021;-0,56012498980424;-0,0745723781610093;-0,288563133595543;0,468232395334416;-0,351108602827337;0,584113610163383;-0,476930541847408;0,00130022915293089;0,0169736818542989;0,0352138777181313;0,0144866081273673;0,0249200280525036;0,0133948851006261;6,77713900065062e-05;0,00101478046363227;0,00267185768586615;0,00150235770272269;0,00415800548636892;0,00277204755484873;0,00883549282116208;1,58608997531048;0,0222272850364455
"classe 15";-0,136930669930674;-0,411607983452779;0,776170423827099;-1,0285494772081;-1,29369586424058;0,128378050994651;-0,0727916533821966;-0,218808727628433;0,412608281879724;-0,546771713519531;-0,687722195323071;0,0682451242998795;0,00115411384383613;0,00909170253477681;0,0254734863769849;0,032727845660026;0,0321811475762715;0,000255501556922229;0,000144452290848036;0,00130524051838564;0,00464127335268288;0,00815029528164769;0,0128939905421924;0,000126970995271798;0,00770411874040352;2,63212415144514;0,0533747320772985
"classe 16";-0,0913075026244749;-0,41642532188993;0,563295511005135;-0,856369200231046;-1,74025783520532;0,430345128589264;-0,0433028313814881;-0,197490841151842;0,267144427674514;-0,406135421646771;-0,825322010044877;0,204092347326457;0,00164645630673917;0,0298567131281137;0,0430464047896647;0,0727912568016329;0,186833366546243;0,00921161702375035;0,000124641551591002;0,00259253231243914;0,00474375770166171;0,010964074965464;0,045276944746152;0,00276874972345401;0,014950300352881;1,46947202249503;0,03228290153859
"classe 17";-0,0948534310114423;-0,420284487954884;0,741411099815211;-1,01271649600142;-2,06970034779039;0,458929553576688;-0,0379256070962439;-0,168043940939787;0,296441212179175;-0,404918277785878;-0,827536140340445;0,183495544106406;0,00356608066359042;0,0610382747117175;0,14966845105171;0,204305801835911;0,530383471090463;0,0210252871032374;0,00108771688994411;0,0213548490170504;0,0664550440469319;0,123989683466181;0,517874739892809;0,0254625464573361;0,120895401772486;1,03725951132797;0,130072244558776
"classe 18";-0,0718404728046855;-0,160296883384321;0,526448421773065;-0,21672547312107;0,524892919844395;-0,585902173742625;-0,07280168708602;-0,162441630593618;0,533492219254327;-0,21962522602859;0,531915904953325;-0,593741453119272;0,00414724818921601;0,0180012338379449;0,152989047985978;0,0189697426898775;0,0691596926511926;0,0694763014945758;0,000457533797819338;0,00227790167544629;0,0245695087447451;0,00416394262134592;0,0244245317432166;0,0304323181459777;0,0886512404708671;0,728482513201487;0,0470460406428577
"classe 19";0,0178135291397452;-0,274585891899448;0,184563030744198;-0,264651288641687;0,244656635465246;-0,167098530871364;0,0344357124988081;-0,530807834623917;0,356782724790647;-0,511603041520305;0,472950951701613;-0,323021728199886;1,37062105069919e-05;0,0028392547026359;0,00101072710056938;0,00152049621997747;0,000807646697014691;0,000303757866600614;7,18019365747765e-07;0,000170605355454518;7,70771498712019e-05;0,000158483570419828;0,000135441020911097;6,31802709271056e-05;0,00226274816151712;3,14210889501464;0,0223397693581588
