"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"devenir";-0,195166948290159;-0,177487079765983;0,625433662693516;-0,484689843817255;1,04583504992238;-1,13105759419653;-0,111410425232186;-0,101317929102159;0,357026796420536;-0,276683639717109;0,597011577295084;-0,645660592818125;0,0137151995640429;0,00988902626345345;0,0967562698725052;0,0425145205688097;0,123028558766039;0,116017589733828;2,5651306268953e-05;2,12143842657223e-05;0,000263426491952581;0,000158206667496966;0,000736585776773252;0,000861522022324197;0,000673436952832476;1,08826626864367;0,00079756718979313
"lors";0,123707870300742;0,16109463371536;0,401785175867095;0,189281598303891;1,10600117910962;-0,472960727002941;0,0952884168886976;0,124086305735304;0,309482923314805;0,145797868839651;0,8519191315652;-0,364307289561086;0,00313136485560477;0,0046294736202678;0,0226910114095339;0,00368447538604701;0,0781880091357322;0,0115280003876846;8,2448278287559e-06;1,39813490353075e-05;8,69710570517213e-05;1,93020625792504e-05;0,000659019264710218;0,00012051388588592;0,000538749562265981;1,44364515038888;0,0011228140614936
"commenter";-0,249442667746356;0,0773938211456824;0,913639320950767;0,897632651444814;1,01408181812196;-1,4657216015062;-0,112855032015749;0,0350151890297236;0,413356687323405;0,406114809997924;0,458799759819419;-0,66313457821241;0,0235880553076901;0,00197967402697044;0,217383832205777;0,153521001147663;0,121782982910895;0,205124926914751;2,84936011736961e-05;2,74295343522905e-06;0,000382256976790276;0,000368980265818425;0,00047092511045374;0,000983804563830306;0,000457937127926084;1,06060735943821;0,00051512796663002
"accidentellement";6,72476493366809;1,82246181000391;-0,808325455280997;0,221703121813086;-0,33122997127002;0,451720390121464;0,955236386857013;0,25887623608331;-0,114820650970471;0,0314923854029996;-0,0470504060878959;0,0641657749505754;0,928037276125365;0,0594235415291314;0,0092110839253735;0,000506961150651427;0,000703332071232792;0,00105466711300105;0,0316726570789105;0,00232620055685131;0,000457617678609919;3,44249960876915e-05;7,68403857596637e-05;0,00014291232072135;0,000700374430945775;4,55852520166331;0,0145538871419117
"évolution";-0,0944726012702696;-0,527839056798837;1,04340382583564;-1,20561941872174;-0,338468180829702;-0,830694803880419;-0,0495554810618303;-0,276877295969205;0,547316130135089;-0,632406110014052;-0,177543047397985;-0,435739887209093;0,000540663866279374;0,0147146215447779;0,0453051394597065;0,0442543458502689;0,00216791003432974;0,0105284247236629;2,88502730623215e-06;9,0061924914135e-05;0,000351919255588757;0,000469849370837143;3,70317192363229e-05;0,000223059728101908;0,000323249737359588;2,65321328532117;0,00227552969449821
"chine";-0,157060199571014;-0,463858079802907;1,22035157273984;-1,27001427439278;-2,79105638305878;1,9106560047355;-0,0408498355834229;-0,120644990556144;0,317401615664281;-0,330318403002463;-0,725926712581717;0,496943107567076;0,00329705468161333;0,0250723225181028;0,136738500811452;0,108350500755287;0,325252798996039;0,122892018428732;7,30940304345427e-06;6,37558252345672e-05;0,000441285391050689;0,000477932786379758;0,00230827123528662;0,00108171942064892;0,000296312259246289;1,78621212229438;0,000945400188674009
"substance";-0,142788400307343;-0,653484557829202;1,32583327671924;-2,03192115084669;-4,85309489277807;1,10047147081604;-0,0256053043172869;-0,117185086000322;0,237752957882504;-0,364371050478712;-0,870273575043778;0,197340308050835;0,00151087617105488;0,0275895189593176;0,0894845110046936;0,153771756704645;0,545218451027794;0,0226029644512993;5,49215506891413e-06;0,000115034363419235;0,000473516116061762;0,00111216861871566;0,00634445762419756;0,000326222950214157;0,00026937478113299;2,39887961914986;0,00155015042619739
"karim";-1,55009764348844;4,38019171098608;-2,5586187606747;-2,47057944545997;0,152901625054938;0,22675723454135;-0,264620542663741;0,747752060911382;-0,436787377726516;-0,421757994599762;0,0261021692189336;0,0387102210685406;0,0890642226771786;0,620014522140985;0,166695299356256;0,113711051576722;0,000270706905811919;0,000480034314839629;0,000906156233625459;0,00723554432427004;0,00246885810615175;0,00230187967428845;8,81676311780216e-06;1,93913155681322e-05;0,000377124693586186;3,39185577647563;0,00433870103487744
"unir";-0,159965563390243;-0,418240331743447;1,18653880530897;-0,977957497553427;-2,60944233478724;0,764903838088804;-0,0506894297254871;-0,132530798847966;0,375987019415837;-0,30989237180889;-0,826872615884381;0,242380538197278;0,00459542557606842;0,0273876653077073;0,173685535996391;0,0863241988678061;0,3819953777553;0,0264637403969419;2,06790788493046e-05;0,000141361130644238;0,00113773752377559;0,00077289082268752;0,00550267163099416;0,000472815678843022;0,000808124343398971;1,54096790659685;0,00191895759165057
"leurs";-0,167768298294553;-0,232373443530651;0,886190683714541;-0,394387980208326;0,538350238034783;0,450376595917929;-0,136271869348129;-0,188748195330606;0,7198193120887;-0,320346500845246;0,437281620227246;0,365823944453609;0,0210829795381419;0,0352627054948382;0,40410439350735;0,0585570766865335;0,0678159687459171;0,0382673709876171;4,24585110876927e-05;8,14550377519164e-05;0,00118467526769218;0,000234634733729412;0,000437194591287288;0,000305982500779431;0,00150849877434475;0,754525406931133;0,000858801309793313
