"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-1,03055741092859;0,599832443746506;-0,74824035380434;-0,791937058946963;-0,257281399143036;-5,5534573441311;-0,178010809101764;0,103610587342817;-0,129245464028331;-0,136793307316858;-0,0444408720393543;-0,959262846162203;0,20449381707673;0,0126739090431257;0,0116001584973648;0,0108904557341772;0,000619395163139464;0,117673228573103;0,00290556630327089;0,000984342673405143;0,00153168218865702;0,00171580425912504;0,000181093635109327;0,0843749035895351;0,002735812999135;0,709132014939835;0,00137575339838904
"classe 2";0,893103644085181;-0,802467416409068;-0,295126747251214;0,845951518621332;-1,86685605885307;-1,13405146074274;0,337187231035379;-0,302967934267304;-0,111423765168989;0,319385159878371;-0,704823039739215;-0,42815598663373;0,603361039198482;0,0891134456336466;0,00708984192953906;0,0488195093486305;0,128118085231008;0,0192776483221258;0,0247901815287535;0,0200138572860189;0,00270703036102798;0,022241646446867;0,108317256466699;0,0399706774279671;0,0310796403210557;0,357773543732456;0,00397825327953751
"classe 3";1,70314292516059;0,507436913694167;-0,43287322561044;0,566203729774166;-1,977554821948;1,55493340766128;0,538724000244833;0,160508222756137;-0,136922857297929;0,179096853089251;-0,62552368837914;0,491843598745909;0,885657090209857;0,0143827658283903;0,00615645532841067;0,00882750123802748;0,0580277471189373;0,0146285739463312;0,17832122541673;0,0158294186102801;0,0115191994769846;0,0197081701030496;0,240412981303187;0,148636147116534;0,0614753273923277;0,563135992287185;0,0194951877369825
"classe 4";0,77169209766848;-0,753374190373807;-0,113951303894108;0,068632864439869;-1,33894241614954;0,658464577282695;0,41807133735029;-0,408147441507272;-0,0617341737148191;0,0371824896344655;-0,725384448338805;0,35672928005106;0,666731603675261;0,116251694693613;0,00156439854482625;0,000475615617182822;0,0975443158195171;0,00961928422584646;0,0249531212161712;0,0237825405466125;0,00054409579348727;0,000197379034402532;0,0751208632176211;0,0181677691825481;0,0419021946852809;0,29407866961141;0,00362379665961715
"classe 5";-0,221398211946326;-0,976739976701495;-0,0811474606859372;-0,387689809203313;-0,428700804696839;-0,210841401904327;-0,187911593591161;-0,829007442890585;-0,0688738563844738;-0,329051482512014;-0,363859539226658;-0,178951507686257;0,179786559894815;0,640150092023393;0,00259899080141836;0,0497172039345928;0,0327591657630924;0,00323099125900166;0,00989000819894782;0,192489196562752;0,00132861240105873;0,0303261447817549;0,0370814775577962;0,00896933456322601;0,201766208686206;0,162476475880436;0,00532634648873881
"classe 6";-0,379139925842773;-0,965620066606898;0,243720507551008;-0,153188478959971;0,71412388057848;0,326312632758947;-0,284538210525282;-0,724681804979752;0,182908188666037;-0,114965406451115;0,535938098899757;0,24489220540579;0,333527887026157;0,395786117238094;0,0148307504745419;0,00491037024864059;0,0575036556793095;0,00489571213194201;0,0132264319632581;0,0857938634309731;0,00546547369502551;0,00215921490080026;0,0469235404940602;0,00979741343926691;0,0920118283679668;0,204281217492772;0,00383972866291537
"classe 7";-1,20611222250282;1,79403377110182;-1,25023220089372;-1,01701902182955;-0,488826787432382;-0,0574517639805689;-0,440030933582019;0,654524794995814;-0,456127408618714;-0,371043275490299;-0,178340707954535;-0,0209603657674935;0,625445121515186;0,253156965809369;0,0723171001109949;0,0401052146600333;0,0049927405473995;2,81213066344732e-05;0,156382944797701;0,345999266286872;0,168033282212668;0,1111916312172;0,0256876244820595;0,000354830289188626;0,107501357848364;0,474556697066949;0,0242097421065551
"classe 8";0,0552560156250707;-0,713832602990903;-0,556294171016125;0,826854658967552;0,134356297118503;-2,87916719759549;0,0176388160003881;-0,227869523287194;-0,177580131568332;0,263948404958372;0,0428891945348929;-0,919087267843062;0,00756252067972029;0,230895295656775;0,0824825980596568;0,152719579817666;0,00217289493561601;0,406870500791221;0,000130025187891187;0,0217000691485062;0,013178845816091;0,0291156650133428;0,000768748728774556;0,353022291693382;0,0425861479350647;0,197715752035471;0,00166475719423164
"classe 9";-0,469114369652943;-1,86663809382344;0,608536880951553;-1,20660929387011;1,26418975872936;2,86476164038574;-0,119791896667851;-0,476660132617552;0,155394487735379;-0,308116794539231;0,322820401042712;0,731538517263915;0,138334184854897;0,400688772561208;0,0250490766101899;0,0825342665825033;0,0488215777515704;0,102226623568109;0,00345302383004979;0,054671671525095;0,00581053218951602;0,0228441727320294;0,0250764837146594;0,128771302525718;0,0156906922009213;0,39247226469155;0,00241690759129064
"classe 10";-0,320788470578724;-1,73708055793567;1,14428801818738;-0,852948781644638;2,30396849526095;-4,41698872469579;-0,0585917887884467;-0,317276543559899;0,209003402628;-0,155790495747325;0,420818227057935;-0,806759887509159;0,0246179289667055;0,132059245877043;0,0337078135481448;0,0156959945750629;0,0617138039541665;0,0924871894141913;0,000136624610820777;0,00400618826967942;0,00173844972994781;0,000965911512365447;0,00704765292575549;0,0259026392550929;0,00132767395546257;0,636191682143293;0,000537362566117532
"classe 11";-0,669910259220493;-0,536511293186054;-0,42960494905716;-1,24358636778366;1,10277651949597;0,95681100759768;-0,312371208807925;-0,250168853044047;-0,20031969267496;-0,579869574491444;0,514211612225172;0,446149625162918;0,453856516817866;0,0532546991726621;0,0200849030426082;0,141047744196109;0,0597689423814004;0,0183464749635121;0,0124041637450823;0,00795594860779344;0,0051012050941955;0,0427450804124789;0,0336131531327385;0,0253038473588011;0,0276397578000845;0,309422815601614;0,00264629892562163
"classe 12";2,15031230758611;0,989451142625213;-0,0513918115581662;-0,278534076876225;1,56090274422761;-0,344725743698446;0,749172611363869;0,344726528198886;-0,0179049980469916;-0,0970417650454852;0,543821276961743;-0,120103058843965;0,936700146940765;0,0362828252687876;5,75746399046401e-05;0,00141736955580148;0,0239863644006763;0,000477045638735745;0,45781729084527;0,0969343758976402;0,000261503173324262;0,00768149552034585;0,241235266425647;0,0117662086147833;0,0990122910422241;0,691347249376062;0,0473240155418335
"classe 13";-0,360986827613527;1,48564689590114;4,78129175235308;-1,53867843976592;-1,15335829438496;-0,666315449653152;-0,0666440920283143;0,274274795860459;0,882704916588204;-0,284065289084527;-0,212928867296239;-0,123012765978579;0,0396736881849844;0,12293228308114;0,748955864428094;0,0650046649437877;0,0196817442562824;0,0026785183183949;0,0041339184340171;0,0700181115808812;0,725219851640595;0,0751060514726674;0,0421995364243797;0,0140844197684638;0,0317233610267345;0,563942804540622;0,010089027673408
"classe 14";-0,758199928118466;-0,240986423906135;-0,698429329426041;-1,42160818548457;0,755746508016259;1,56390534210545;-0,305520499036244;-0,0971066993839894;-0,281435633734923;-0,572844214508278;0,30453188098687;0,630183574075528;0,383000868777651;0,00707835462471258;0,0349722108549597;0,121428612721994;0,0184926781614441;0,0322900112184829;0,00522701098773871;0,000528045188010592;0,00443538039362584;0,0183757792949771;0,00519323808692651;0,0222385702041361;0,00909255496771338;0,381222787124731;0,00132142840955247
"classe 15";-1,11820862814216;-0,144128676953534;-0,423948207869943;0,493019736261625;2,46641026188497;2,54838012017404;-0,295998682672293;-0,0381520026226473;-0,112222449275207;0,130506230047019;0,652878336004544;0,67457640688485;0,487411711650088;0,00148137824994578;0,00753913915742329;0,00854491631312029;0,115238116554324;0,0501641765593548;0,00855208670631316;0,000142078125101645;0,00122928342228252;0,00166247463371857;0,041606104427123;0,044417573988562;0,0068395324978375;0,498390610308027;0,00169889336667318
"classe 16";-0,882542616447223;0,369522043946129;1,76712734331014;2,7553712712995;0,520215871092677;1,38641365496357;-0,237374710998838;0,0993891816154103;0,475298682011548;0,741103542231417;0,139920826208643;0,372899319011526;0,359805679800933;0,0115396391235194;0,155230911097643;0,31629025844617;0,00607545866469554;0,017595324698992;0,0110617432300885;0,00193924600026675;0,0443494149688577;0,107823258734446;0,00384343372877067;0,0272984416488227;0,014202088069039;0,457822013773064;0,00297677180874309
"classe 17";-0,86339411001359;0,646490303037119;0,24569965476665;2,05918175635565;0,425645093186436;0,222344958677371;-0,361807167793941;0,270913158701564;0,102960971343286;0,862904565365016;0,178367496216471;0,0931741354722173;0,604402172339697;0,0619935869201388;0,00526699390296823;0,310046004025224;0,00713868711885448;0,000794286928788166;0,0856702210885877;0,0480325622941567;0,00693778467891519;0,487305247653627;0,0208212590212554;0,00568154300555449;0,114924262235722;0,345574004891749;0,0137244154692442
"classe 18";-0,0254590959221004;-0,302206077921505;0,0587634114519888;-0,363178307376436;0,602794723653383;-0,100783049834264;-0,0328443769546695;-0,389871281039081;0,0758097476350695;-0,468530589842185;0,777655938393751;-0,130018618474364;0,00657174984262496;0,169401144185235;0,00376751455861364;0,120604577173567;0,179039635487816;0,00204072765640438;6,212928563172e-05;0,00875420665412705;0,000330997265673429;0,0126430019764457;0,0348296643959821;0,000973610835288229;0,0958540363299873;0,0977231502047677;0,000915388226338662
"classe 19";-0,57862136432068;0,401597357529282;-0,324432721408214;1,53285659712076;-1,95195996991463;-3,38911164612724;-0,135455354101398;0,0940140057465387;-0,0759497520663171;0,358841974999357;-0,45695414172437;-0,793391579404095;0,187973277449196;0,0165654698505815;0,00635919807559893;0,118970465179204;0,103959511420078;0,127789133062487;0,000882282623675457;0,000425011311827558;0,000277375498066113;0,00619187030035802;0,0100406218314566;0,0302684754931284;0,00263523163887268;0,415280368179974;0,000454466209282372
