"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,0968255528969181;65,5917285419158;65,5917285419158
"facteur 2";0,0177135198016324;11,9995223119197;77,5912508538355
"facteur 3";0,0104192355260029;7,05821601621469;84,6494668700502
"facteur 4";0,00873210414685641;5,91531664590757;90,5647835159578
"facteur 5";0,0047054939292616;3,18760359460424;93,752387110562
"facteur 6";0,00191869071514928;1,29976268431896;95,052149794881
"facteur 7";0,00169362997479529;1,14730165987785;96,1994514547588
"facteur 8";0,00134924177687578;0,91400562887016;97,113457083629
"facteur 9";0,00107314062077286;0,726968720333297;97,8404258039623
"facteur 10";0,000857832741000943;0,581114495075529;98,4215402990378
"facteur 11";0,000750878264480736;0,508661214093753;98,9302015131315
"facteur 12";0,000495554931268266;0,335699653209937;99,2659011663415
"facteur 13";0,000469287247992038;0,317905355120944;99,5838065214624
"facteur 14";0,000297410648578387;0,201472420692468;99,7852789421549
"facteur 15";0,000149301826591057;0,101140293936649;99,8864192360915
"facteur 16";0,00011336851966893;0,0767982928560174;99,9632175289476
"facteur 17";4,07002317187307e-05;0,0275712192764874;99,990788748224
"facteur 18";1,35975155085154e-05;0,00921125177594951;100
