"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"pre";-0,203903669796089;0,244835272445039;0,342441110168713;-0,594766703771388;-0,323750006581452;-1,57339812900035;-0,114833306673053;0,13788493337652;0,192854032792983;-0,334957322550408;-0,18232768359858;-0,88609739121905;0,262912706262546;0,069346467479875;0,0797956384078224;0,201736140656485;0,0322104131191375;0,310208531917722;0,00635639938500485;0,0091645060612862;0,0179280430064817;0,0540822047948064;0,0160243589424337;0,378476005507791;0,152883667598721;0,123741178294641;0,00234093625080304
"ver_sup";-0,966941852780013;-0,28386118836357;-1,56069313595086;1,34502672034071;1,3056643120935;1,98274973440689;-0,292925685768623;-0,0859930026044826;-0,472796896533547;0,407462841017972;0,395538380000828;0,6006548625327;0,486652928140012;0,00767265266641067;0,136426750270403;0,0849198795245052;0,0431218041714699;0,0405479976766402;0,0094605460153446;0,00081531891638403;0,0246462316488478;0,0183053193428123;0,0172495810952288;0,0397787641401937;0,010118484842389;0,431306179867726;0,00188229135318987
"adj_dem";-0,641198243662424;-2,39719795641945;0,40940841545649;4,11558927965095;1,9627455664053;0,120834383999477;-0,123101852416528;-0,460231312173886;0,0786011734058072;0,790140442707398;0,376822016334195;0,0231986544769405;0,100312149985957;0,256502480736534;0,00440076614687351;0,372702122827545;0,0456785313884124;7,05935372525284e-05;0,00114960051270208;0,0160683061671332;0,000468679363518669;0,0473615988716806;0,0107718503354121;4,08266142615942e-05;0,00279616181529239;0,629956479837605;0,00110964330112097
"ono";-0,577784531530764;-4,0996192953983;-0,0842323671877247;-0,468271657719054;4,99552131921161;-2,6503668265986;-0,0822501256505353;-0,583598528109636;-0,0119908415801254;-0,0666604946725299;0,711134053911939;-0,377291174497526;0,0494912392213201;0,455825319992945;0,000113188000589059;0,00293171111605489;0,179793245572823;0,0206359025990935;0,000490232593107449;0,0246806968438726;1,04190559994665e-05;0,000322007588177173;0,036646457067871;0,0103153111994127;0,00146848785982982;0,808158861480339;0,000959099885607038
"pro_per";-0,804025323203399;1,00029963862276;-0,0870756762099992;-1,6369856519339;-0,84356980417118;1,283840467867;-0,310756231070547;0,386616362282164;-0,0336547969025763;-0,632695857743342;-0,326040194784809;0,496205049239809;0,518832071227728;0,146913756865105;0,000654827546553242;0,1939572537268;0,0277552179748328;0,0262134672908419;0,026593791980055;0,041162432974069;0,000311913753038392;0,110237805322436;0,0292740536233777;0,0678051895853612;0,0411377763472873;0,347337211357155;0,00496299044506107
"num";3,96834504376939;2,46948077367434;0,0229816814483572;-0,160876342098481;2,47602468087793;-0,181597373186308;0,749462633271652;0,466386753933498;0,00434032608186099;-0,0303831460345275;0,467622637877708;-0,0342965251262901;0,917199485786433;0,0649787166251259;3,31020141663886e-06;0,000135943434121281;0,0173528223222445;3,80609007410184e-05;0,497354447640608;0,192600961713286;1,66805648859249e-05;0,000817394137952775;0,193623065436163;0,00104151679384085;0,0315825471223673;1,28935502779586;0,0525039755525509
"adv";-0,295254656237418;-2,38497576615672;5,18359976199537;-1,42832128357121;2,16479085849396;1,32723946347473;-0,0460364349025527;-0,371868078227872;0,808232649215525;-0,222705445627866;0,337536602147813;0,206944655637271;0,0139404424146988;0,166404807404669;0,462372332149837;0,0294214303765097;0,0364191804666203;0,0055820870804855;0,000441917857848942;0,028834736177084;0,136210618095084;0,0103418886293543;0,0237563618550582;0,00892990037492669;0,00506930055722074;0,778132347613006;0,00306941054296304
"ver";-0,595605628895552;-0,546116510061193;0,907680101969627;-1,04979107661849;1,49631563308184;0,358693812192554;-0,267798012921996;-0,245546564913223;0,40811388590642;-0,472010254206269;0,672777982280798;0,161277001916022;0,484151112273429;0,0744644251072194;0,120997068023456;0,135643198489668;0,148499504828193;0,00347957422221659;0,0308211111319054;0,0259120227841476;0,0715807648303708;0,0957494875247324;0,194525764646945;0,0111783698308157;0,0868821789945887;0,26635651215433;0,00616392496183858
"adj_ind";-0,556543219958852;-1,45315622594686;0,898793917675296;4,78080089082607;3,63222751039617;5,83966101948655;-0,064969573733595;-0,169638111079796;0,104923131953758;0,558099685420883;0,424017874247617;0,68170857819952;0,0591726047309874;0,0738010243329276;0,0166069169427717;0,393779523374554;0,122485368467039;0,129096110721291;0,000884776618995145;0,00603198785812303;0,00230757643008419;0,0652885702640605;0,037686163818744;0,0974116995593835;0,00285651063144978;0,71192385537406;0,0014477812108144
"adj_pos";-0,785214095920774;-1,55955191186779;-1,4168230399653;-2,58455991907292;1,41105553687968;0,146775597855795;-0,211766338485365;-0,420599426028915;-0,382106522302458;-0,697036379633875;0,380551070079949;0,0395842752930637;0,27281429120016;0,196881765246004;0,095580221612975;0,266558830059141;0,0428148462205521;0,000188892035517738;0,00804949012300715;0,0317535194546678;0,0262073686859681;0,0872098234587024;0,0259944367559507;0,00028125478074724;0,0130554605620486;0,467788479202966;0,00285687501292451
