"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"devenir";-0,0308;-0,2852;-0,3261;-0,4413;1,5541;-0,4169;-0,9137;0,5976;0,5192;-0,0123;0,3227;-0,5394;-0,4346;1,6899;-0,084;-0,1636;-0,3942;0,7538;-0,0246
"lors";-0,0246;-0,2281;-0,2298;0,2546;0,2907;-0,2963;-0,6668;0,2624;-0,1252;-0,0098;-0,2243;0,2295;0,259;-0,0771;-0,0672;-0,1309;-1,1195;2,9303;1,3535
"commenter";-0,0209;-0,1939;-0,5334;-0,3;1,6189;0,8039;-1,0969;0,3103;-0,1064;-0,0084;-0,1906;1,1252;-0,2955;-0,0655;-0,0571;-0,1112;-0,9515;0,3445;-0,0167
"accidentellement";-0,032;-0,2966;-0,8159;-0,1411;-2,2844;-0,4421;-1,6778;-0,4466;-0,1627;-0,0128;-0,2916;-1,1495;31,356;-0,1002;-0,0874;-0,1701;-1,4555;-1,0486;-0,0256
"évolution";-0,0148;-0,1369;-0,3765;-0,2118;-0,487;4,8797;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;2,4307;-0,0785;0,3611;-0,4839;-0,0118
"chine";-0,0135;0,6005;-0,3451;0,4432;-0,9663;0,2159;-0,7097;0,4526;-0,0688;-0,0054;-0,1233;-0,4862;-0,1912;-0,0424;-0,037;-0,072;4,0998;-0,4435;-0,0108
"substance";-0,0123;-0,114;-0,3137;-0,1765;-0,3676;-0,3701;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;7,3113;-0,4032;-0,0098
"karim";-0,0172;-0,1597;13,934;-0,2471;-1,2298;-0,5181;-0,9033;0,3715;-0,0876;-0,0069;-0,157;-0,6189;-0,2433;-0,054;-0,047;-0,0916;-0,7836;-0,5645;-0,0138
"unir";-0,0369;0,2634;-0,9415;-0,1783;-1,1644;-0,5458;-1,936;-0,5153;2,0521;-0,0148;0,2683;-0,3619;-0,5215;-0,1157;-0,1008;0,4393;7,2588;-0,3046;-0,0295
"leurs";-0,0689;-0,2425;-1,042;1,1452;1,1217;0,5138;-2,616;-0,4488;1,3355;-0,0276;0,3773;-0,7065;-0,9738;1,0564;0,4538;-0,3666;0,6366;0,4232;-0,0551
"sortir";-0,0221;4,126;-0,5648;0,285;-0,2403;0,3576;-0,5721;0,8158;-0,1127;-0,0089;0,4298;-0,7957;-0,3128;-0,0694;-0,0605;-0,1178;-0,4664;0,3164;-0,0177
"commentaire";-0,0234;1,0665;1,4062;1,4213;-1,6692;-0,2734;-1,2259;-0,3263;-0,1189;-0,0093;-0,2131;4,5601;-0,3302;-0,0732;-0,0638;-0,1243;-1,0635;-0,7662;-0,0187
"zorbb";-0,0135;-0,1254;-0,3451;-0,1941;-0,9663;11,9743;-0,7097;-0,1889;-0,0688;-0,0054;-0,1233;-0,4862;-0,1912;-0,0424;-0,037;-0,072;-0,6156;-0,4435;-0,0108
"consacrer";-0,0283;-0,2623;-0,7218;0,6334;10,4018;-0,8513;-1,4841;-0,395;-0,144;-0,0113;-0,2579;-0,4771;-0,3998;-0,0887;-0,0773;-0,1505;-1,2875;-0,4172;-0,0226
"sentir";-0,0221;-0,2053;-0,1939;-0,3177;3,3621;0,7502;-1,1614;-0,3091;-0,1127;-0,0089;-0,2018;-0,7957;-0,3128;1,9647;-0,0605;-0,1178;-1,0075;0,3164;-0,0177
"député";-0,0381;-0,3536;25,0481;-0,5472;-1,8232;-1,1476;-2,0006;-0,1801;-0,194;-0,0152;-0,3477;0,2305;-0,5389;-0,1195;-0,1042;-0,2029;-1,7355;-1,2503;-0,0305
"toute";-0,0197;-0,1825;0,5116;-0,2824;-0,3794;2,1331;-0,4805;-0,2748;0,6863;-0,0079;-0,1794;-0,2736;-0,2781;-0,0617;-0,0538;-0,1047;0,5172;-0,2374;-0,0157
"affaire";-0,0357;0,2732;3,9735;-0,1688;-0,7082;2,1216;-1,8715;-0,4981;-0,1815;-0,0143;0,7742;-0,339;-0,5041;-0,1118;-0,0974;-0,1898;-1,6235;0,5968;-0,0285
"guerre";-0,0148;-0,1369;-0,3765;0,4135;-0,2085;-0,4441;-0,3085;-0,2061;-0,0751;-0,0059;-0,1345;0,9885;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;0,5398;5,6157
"parler";-0,064;-0,5934;-0,2964;-0,1822;9,5616;0,6038;-3,3568;-0,8934;-0,3256;-0,0256;-0,2101;-0,9607;-0,9042;0,432;-0,1748;-0,3404;-2,912;0,7587;-0,0512
"fry";-0,0566;-0,5248;-1,444;-0,3483;-4,0428;-1,7032;-2,9692;-0,7903;-0,288;-0,0226;-0,516;-2,0343;61,9322;-0,1774;-0,1546;-0,3011;-2,5758;-1,8557;-0,0453
"penser";-0,0308;-0,2852;-0,7845;-0,4413;0,3067;-0,4169;-0,9137;0,2021;0,5192;-0,0123;1,6021;-1,1053;-0,4346;-0,0964;-0,084;0,5032;0,4464;2,9868;-0,0246
"suivre";-0,0123;0,6365;0,2887;-0,1765;0,2433;0,2415;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;0,5997;-0,1738;-0,0385;-0,0336;-0,0654;0,4619;0,2184;-0,0098
"évoquer";-0,048;-0,1356;1,2892;3,8978;-0,591;0,4024;-2,5171;-0,2593;-0,2441;-0,0192;-0,4374;0,2763;-0,678;-0,1504;-0,1311;0,9384;0,2867;-0,2666;-0,0384
"tête";-0,0714;0,3511;-1,0925;-1,0242;-3,11;-1,3578;32,7635;-0,9966;-0,3632;-0,0285;-0,6507;-1,1463;-1,0086;-0,2237;-0,195;-0,3797;-3,2483;-1,5173;-0,0571
"possible";-0,0234;-0,2167;-0,5962;-0,3353;0,3287;-0,2734;-1,2259;-0,3263;-0,1189;-0,0093;-0,2131;-0,3576;-0,3302;-0,0732;-0,0638;0,6039;5,6256;-0,3115;-0,0187
"poser";-0,0135;-0,1254;-0,3451;-0,1941;0,9006;0,6477;-0,7097;0,4526;0,8339;-0,0054;1,5138;-0,4862;-0,1912;-0,0424;-0,037;-0,072;-0,2154;-0,4435;-0,0108
"théorie";-0,0172;-0,1597;-0,4393;0,3627;-0,6129;-0,5181;-0,9033;-0,2404;-0,0876;-0,0069;-0,157;-0,6189;-0,2433;-0,054;9,2474;-0,0916;2,4054;-0,5645;-0,0138
"fou";-0,0123;-0,114;-0,3137;-0,1765;0,5657;0,2415;-0,6452;1,26;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;-0,1839;1,284;-0,0098
"expérience";-0,0234;0,4058;-0,5962;-0,3353;1,3509;-0,7032;-0,6191;-0,3263;-0,1189;-0,0093;-0,2131;-0,8399;0,2737;0,8091;-0,0638;0,6039;0,3892;1,0885;-0,0187
"son";-0,2615;-0,7036;-3,76;-0,8297;2,038;3,2617;-10,9278;1,4261;1,4733;0,6698;8,1913;-1,6061;-1,5026;1,3903;-0,7141;-0,7639;-4,6895;5,4028;-0,2092
"corps";-0,0209;-0,1939;-0,5334;-0,3;1,1282;-0,6292;-1,0969;0,8562;-0,1064;-0,0084;0,4494;-0,7515;-0,2955;-0,0655;2,1277;-0,1112;-0,9515;2,5965;-0,0167
"cette";-0,08;0,6244;-0,7957;-0,2854;3,9616;-0,2521;-3,1388;0,6118;-0,4071;-0,032;-0,2975;-0,4087;-1,1305;0,3579;1,0471;0,5956;-1,0308;0,6655;-0,064
"reportage";-0,0579;-0,5363;-1,4754;0,2493;7,8459;-0,6018;-3,0338;0,2608;-0,2943;-0,0231;-0,5272;-0,2859;-0,8172;-0,1813;-0,158;-0,3077;-2,6318;2,6456;-0,0463
"explorer";-0,016;-0,1483;-0,4079;0,3868;-1,142;-0,4811;-0,3498;-0,2232;-0,0814;-0,0064;-0,1458;0,4404;-0,2259;-0,0501;-0,0437;-0,0851;5,6064;-0,5242;-0,0128
"convaincre";-0,0135;-0,1254;-0,3451;-0,1941;-0,1717;0,2159;-0,7097;-0,1889;-0,0688;-0,0054;2,6316;-0,4862;-0,1912;-0,0424;-0,037;-0,072;-0,6156;2,7966;-0,0108
"sy";-0,0295;-0,2737;6,7067;-0,4236;-2,1086;-0,8884;-1,5487;-0,4122;-0,1502;-0,0118;-0,2691;7,2443;-0,4172;-0,0925;-0,0806;-0,1571;-1,3435;-0,9679;-0,0236
"si";-0,0332;-0,308;-0,8473;-0,4766;0,4289;-0,9995;-1,7423;0,5502;-0,169;-0,0133;-0,3028;-0,6033;-0,4693;0,6713;1,7379;0,4759;4,5411;-0,2467;-0,0266
"sa";0,5619;0,4731;-3,5505;0,5302;3,7833;-0,7575;-5,0398;-0,2569;-0,2857;-0,0556;2,073;0,3848;-0,265;1,7407;-0,3801;0,2964;-5,1137;3,0533;-0,1113
"se";0,8715;-0,3309;-4,9013;-0,4967;0,3147;0,5219;-4,0848;-0,4588;2,257;-0,1114;1,5068;-1,6275;17,9509;-0,3927;-0,7614;-0,2502;-0,4401;-0,255;0,3962
"internet";-0,0148;1,4286;-0,3765;0,4135;-0,487;-0,4441;-0,7742;-0,2061;0,7992;-0,0059;1,4419;0,9885;-0,2085;0,9955;-0,0403;-0,0785;-0,2482;-0,4839;-0,0118
"million";-0,0271;-0,2509;-0,6904;-0,3883;-0,6885;0,2625;-1,4196;0,2358;-0,1377;-0,0108;-0,2467;-0,1936;-0,3824;-0,0848;-0,0739;0,5495;5,7168;0,2272;-0,0217
"2";-0,0258;-0,2395;0,361;0,2411;0,7638;0,6139;-1,355;1,3379;-0,1314;-0,0103;-0,2355;1,9079;-0,365;-0,081;-0,0706;-0,1374;-1,1755;-0,8469;-0,0207
"plein";-0,0455;-0,4221;-1,1613;-0,2491;-0,7774;-0,1923;14,1301;-0,2388;-0,2316;-0,0182;-0,415;-0,9399;-0,6432;0,5528;-0,1243;-0,2422;-2,0716;-1,4924;-0,0364
"aller";-0,0492;-0,4563;-0,6535;1,1323;0,5176;-0,4498;-1,1431;-0,2697;0,9518;-0,0197;1,7325;1,4516;0,3291;-0,1543;1,4194;-0,2618;-2,2396;-0,2829;-0,0394
"affirmer";-0,0295;-0,2737;-0,7531;0,2055;-0,4742;-0,392;-1,5487;0,2126;-0,1502;-0,0118;0,3355;-0,5081;-0,4172;0,7169;4,4886;2,2737;0,4829;0,8;-0,0236
"semaine";-0,0271;2,6462;-0,2673;-0,3883;1,4533;-0,3433;-1,4196;1,2865;-0,1377;-0,0108;0,9698;-0,4465;-0,3824;-0,0848;1,9086;-0,144;-1,2315;-0,8872;-0,0217
"différent";-0,0148;-0,1369;0,2367;0,4135;1,8987;-0,4441;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,1714;-0,2085;-0,0463;-0,0403;1,875;-0,2482;-0,4839;-0,0118
"extra_terrestre";-0,0135;-0,1254;-0,3451;0,4432;2,1273;0,2159;-0,7097;-0,1889;-0,0688;-0,0054;1,5138;-0,4862;-0,1912;-0,0424;-0,037;-0,072;-0,6156;0,1939;-0,0108
"monde";-0,1614;-0,8434;-2,3465;-0,9895;-2,5676;-1,8214;11,4686;-0,6052;0,9239;-0,0645;-0,4585;-3,0457;-2,2804;-0,5058;-0,4408;2,4374;4,5528;-0,7715;-0,1291
"visiteur";-0,0332;-0,308;-0,8473;-0,4766;-2,3723;-0,9995;-1,7423;-0,4637;-0,169;-0,0133;-0,3028;-1,1937;-0,4693;-0,1041;-0,0907;-0,1767;10,3318;3,4474;-0,0266
"naulleau";-0,0148;-0,1369;13,8925;-0,2118;-1,0541;-0,4441;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;-0,4839;-0,0118
"fille";-0,1651;-0,8701;-4,2115;-1,0262;-2,7153;-1,8969;61,8544;-1,4971;-0,8399;-0,066;-1,5049;-4,7457;-0,6483;-0,1752;-0,4509;-0,8782;-7,5129;-1,7511;-0,1321
"désert";-0,0258;-0,2395;-0,659;-0,3706;-0,6335;0,2832;-1,355;0,7103;-0,1314;-0,0103;0,3783;-0,9284;-0,365;-0,081;-0,0706;-0,1374;8,1508;-0,8469;-0,0207
"humoriste";-0,016;-0,1483;-0,4079;-0,2294;0,6935;-0,4811;-0,8387;-0,2232;-0,0814;-0,0064;-0,1458;6,4361;-0,2259;-0,0501;-0,0437;-0,0851;-0,7276;-0,5242;-0,0128
"apparition";-0,0197;-0,1825;-0,502;-0,2824;-0,744;-0,5922;-1,0323;-0,2748;-0,1001;-0,0079;-0,1794;-0,7073;-0,2781;-0,0617;-0,0538;0,6692;0,9259;6,843;-0,0157
"s";-0,1385;-0,3941;6,9765;-0,8433;-4,2767;-1,4574;48,1979;-1,2463;-0,9684;-0,1788;-1,006;-4,2303;-5,1195;-0,4226;-1,2219;-0,6812;-9,8668;-2,4543;0,2508
"autour";-0,0221;5,3728;2,9926;0,7973;-0,8792;-0,6662;-1,1614;0,2931;-0,1127;-0,0089;-0,2018;-0,7957;-0,3128;-0,0694;-0,0605;-0,1178;-0,2032;-0,7259;-0,0177
"venir";-0,0677;-0,2357;-1,7267;-0,2045;-0,9933;0,7976;-0,969;-0,437;2,9452;-0,0271;0,3866;0,552;-0,9564;-0,2121;3,0636;0,2491;-0,304;1,2882;-0,0541
"tomber";2,9292;-0,2053;-0,5648;-0,3177;0,3716;1,2686;-1,1614;0,8158;-0,1127;-0,0089;0,4298;-0,329;-0,3128;-0,0694;-0,0605;-0,1178;-0,4664;0,6771;-0,0177
"vouloir";-0,0369;-0,3422;-0,1862;-0,1783;0,5175;0,3484;-1,172;-0,1707;1,1656;-0,0148;1,3957;0,482;-0,5215;0,6311;-0,1008;-0,1963;-1,6795;0,9147;-0,0295
"laisser";-0,0271;-0,2509;-0,6904;-0,3883;-0,3898;0,5752;-1,4196;0,2358;-0,1377;-0,0108;1,7519;-0,4465;-0,3824;-0,0848;-0,0739;-0,144;3,9708;-0,3901;-0,0217
"époque";-0,0185;-0,1711;-0,4707;0,3407;0,5386;1,5347;-0,9678;0,3493;-0,0939;-0,0074;-0,1682;-0,6631;-0,2607;-0,0578;-0,0504;-0,0981;0,5699;0,41;-0,0148
"intervenir";-0,0369;-0,3422;-0,9415;-0,5295;-1,1644;-1,1106;18,1934;-0,1707;-0,1878;-0,0148;-0,3364;-1,3264;-0,5215;-0,1157;-0,1008;-0,1963;-1,6795;-0,6166;-0,0295
"origine";-0,0431;0,221;-1,0985;0,3886;-0,4425;0,4954;-2,2588;-0,6012;-0,2191;-0,0172;-0,3926;-0,8706;-0,2228;-0,135;3,825;2,7467;3,2632;-0,7675;-0,0344
"image";-0,0529;-0,4906;-1,3497;0,2881;1,7486;2,6913;-2,7755;0,3005;0,3354;-0,0212;-0,4823;-1,1525;-0,7476;0,4984;-0,1445;-0,2815;0,3758;0,7504;-0,0423
