"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"pre";1,047;-0,3707;-7,9729;-1,174;1,3569;-0,5807;7,8402;1,3569;-1,5532;0,9079;-1,3809;-2,8006;10,3648;-0,5591;-0,688;-1,9832;-1,2309;0,3025;0,5718
"ver_sup";1,3017;-2,3508;-1,4682;-0,667;0,7331;0,5178;1,2829;-0,3649;0,7672;0,3106;1,8585;-5,9065;-7,0787;0,7528;1,6305;-0,2388;6,0997;-1,6425;-0,2097
"adj_dem";-0,1656;-0,2476;-1,5911;-0,5181;2,0159;0,5268;-4,6776;0,8549;-0,2025;-0,0803;-0,9987;-1,8967;-1,9488;0,874;0,609;1,8309;2,6635;0,3332;-0,1595
"ono";-0,0869;-1,0017;-2,013;-0,1981;0,5296;1,8203;-2,6169;1,4474;0,9692;1,0339;0,8434;-1,2155;-1,0228;0,3126;-0,2177;-0,4538;-0,2716;1,3543;-0,0837
"pro_per";1,6004;-3,604;-1,5785;-4,0217;0,5703;-0,7925;25,2901;-6,6961;0,4911;0,2892;0,3069;-15,7329;4,0046;3,5227;1,1486;0,3429;-0,7255;0,9272;-0,4317
"num";-1,8981;3,3172;60,7758;3,421;-48,2115;-22,9371;-71,076;-0,8432;-10,9587;-0,4214;-12,2472;255,0139;-0,6551;-3,5024;-4,7552;-7,4389;-44,9977;0,3366;-1,8282
"adv";-0,3006;0,7852;-3,3613;-1,7387;-0,3147;9,3607;-7,8733;0,2925;3,6985;-0,1458;-0,3444;-1,0872;6,2303;0,3956;0,2879;1,5446;-2,3706;-0,5358;-0,2895
"ver";0,6938;-8,7839;-38,7648;-2,0761;4,0214;3,577;0,4061;-2,2492;7,246;0,9332;6,2918;-11,2592;6,2741;0,8289;1,8737;0,421;0,3808;3,5982;-0,3896
"adj_ind";-0,1692;-0,7479;-0,3111;-1,2207;0,3751;2,2671;-4,8087;-1,2524;-0,2114;-0,082;-1,0279;-1,2916;-1,9909;-0,2011;1,7771;1,7895;4,2385;0,8706;-0,163
"adj_pos";-0,3295;-1,0296;-9,4684;-0,7492;4,598;1,8862;1,6047;-0,46;0,3564;0,2364;6,3427;-6,3259;-3,3742;1,7747;0,34;-1,3377;-4,4533;2,6893;-0,3113
"aux";-0,3745;-2,7503;-5,4169;-2,5301;-6,5229;-1,2689;12,6774;-1,1753;-2,3076;-0,5404;0,3702;-3,3229;6,3547;0,895;0,5339;6,1289;15,0098;-2,3283;-0,3414
"nr";-2,3212;12,6582;64,5425;21,0191;1,7039;-3,2963;-111,9653;-0,6667;0,7447;-0,8433;-2,0616;78,7459;-2,36;-1,7442;-9,2029;-10,5149;-80,5275;-0,8337;-0,8075
"pro_ind";0,2158;-1,7411;-3,0759;-1,614;2,4909;0,6654;3,0469;-0,674;0,5384;-0,1974;-0,4001;-5,1788;-1,8069;-0,2044;1,0645;0,4483;1,5183;-0,3741;0,2258
"adj";-0,2677;0,4556;0,5978;-2,2726;-8,0797;-2,4457;11,4526;0,3483;-1,4188;-1,0941;-0,5416;-9,3074;0,5588;-0,477;-2,6475;1,9555;23,1012;-1,2945;1,5076
"pro_dem";0,2766;0,3184;-2,7512;-0,3982;2,602;1,3409;-7,9934;2,451;0,5818;-0,1585;0,4595;-0,3375;-3,8469;1,8778;-0,8189;0,4563;0,4638;-0,3485;-0,3149
"nom";-0,6517;3,6751;5,3138;1,7898;3,0903;1,4167;-23,7244;1,8714;-1,3276;0,6251;-1,4793;-0,4916;-2,9168;-1,3408;-0,3684;1,0048;-0,3295;-0,415;0,3383
"art_ind";0,3097;-6,0532;-5,5746;-1,4973;-2,3403;-0,5532;6,3565;-2,7482;-0,5294;-0,2206;0,8053;-24,4036;25,4971;-0,636;0,9797;4,1233;14,729;-0,7218;0,519
"adj_int";1,5682;0,5674;-0,2756;-0,1859;0,9066;-0,4192;-0,494;0,4524;-0,0687;-0,0058;-0,1217;-0,4529;-0,14;-0,0397;-0,0298;0,8752;-0,1688;0,1973;-0,0115
"pro_pos";-0,0024;-0,0274;-0,0551;-0,0372;-0,1957;-0,0838;-0,0988;-0,0378;-0,0137;-0,0012;-0,0243;0,7253;-0,028;-0,0079;-0,006;-0,0124;0,6643;-0,0875;-0,0023
"nom_sup";-0,1377;0,5631;0,6653;-0,3993;-2,0415;-0,5052;19,5114;-0,898;-0,7914;-0,216;0,4718;0,8938;-4,1178;0,3561;0,3277;-1,0034;-3,7779;-1,9327;-0,4291
"adv_sup";1,8143;-4,0332;-1,5777;-5,888;-1,5169;1,1125;16,7164;1,2174;-1,6246;-0,2686;2,1356;-3,519;-7,0804;0,3051;0,9675;-1,8391;1,4121;-0,3127;1,4496
"adj_sup";-0,0548;0,376;-1,2681;0,2368;3,0614;0,6095;-1,4571;0,8814;0,2865;-0,0266;0,4384;-0,2871;-0,6443;0,4645;-0,1372;-0,2859;-1,5963;-0,4617;-0,0527
"art_def";-0,4493;3,8904;-0,8466;1,6299;0,5912;0,6344;-3,3576;3,4883;0,7436;0,4402;-1,0031;-1,557;-33,8322;-0,9556;2,0371;0,9021;2,9466;0,6687;0,7354
"adj_num";-0,1394;0,5239;-1,1804;0,2629;-0,7638;3,8337;-2,4543;0,6349;1,9764;0,8413;0,974;-1,0132;-0,9549;-0,4647;-0,3491;0,3041;0,3198;0,4811;-0,1342
