"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"pre";174,41;144,53;144,26;163,87;147,98;149,29;187,5
"ver_sup";10,75;14,35;12,02;8,4;8,17;15,16;15,62
"adj_dem";0,2;4,66;8,74;4,2;2,95;2,3;7,81
"ono";1,32;1,32;1,09;0;1,66;0;15,62
"pro_per";61,14;40,88;67,76;42,02;32,53;50,99;23,44
"num";6,59;7,89;6,56;0;51,25;1,84;39,06
"adv";5,88;4,42;5,46;12,61;4,89;4,59;0
"ver";102,41;87,39;130,05;102,94;76,47;125,4;93,75
"adj_ind";0,81;5,74;5,46;2,1;2,7;2,3;0
"adj_pos";14,4;11,72;21,86;8,4;11,98;22,97;15,62
"aux";48,87;54,99;37,16;31,51;28,39;34,45;23,44
"nr";48,77;35,15;57,92;65,13;123,87;73,04;140,62
"pro_ind";7,91;9,32;8,74;10,5;5,65;6,89;0
"adj";71,28;82,25;60,11;67,23;53,22;45,02;23,44
"pro_dem";1,72;6,58;5,46;0;6,37;8,73;7,81
"nom";178,46;220,56;187,98;224,79;227,62;197,52;218,75
"art_ind";66,92;65,63;44,81;54,62;36,06;55,58;78,12
"adj_int";0;0,24;0;0;0,25;0,46;0
"pro_pos";0;0,12;0;0;0,04;0;0
"nom_sup";12,37;4,66;4,37;4,2;6,84;6,89;7,81
"adv_sup";29,91;26,54;37,16;29,41;19,22;31,24;7,81
"adj_sup";0,91;0,24;1,09;0;1,22;0;0
"art_def";85,18;114,05;89,62;117,65;105,87;95,08;62,5
"adj_num";2,53;2,99;2,19;0;2,05;3,67;0
"pro_rel";25,55;22,59;19,67;14,71;12,56;21,13;7,81
"con";41,68;31,2;40,44;35,71;30,19;45,48;23,44
