"";"V1";"V2";"V3";"V4";"V5"
"1";"témoignage";"-0.761099621312339";"0.472591324252445";"0.9";"215"
"2";"université";"-0.546337534945852";"0.505610295618642";"0.9";"225"
"3";"voix";"-0.625774191380795";"0.735250498096584";"0.9";"247"
"4";"omar";"-0.817363268338329";"1.04674288200933";"0.9";"255"
"5";"quotidien";"-0.817363268338328";"1.04674288200933";"0.9";"256"
"6";"vivre";"-0.725052735020105";"0.121704821432244";"0.9";"260"
"7";"comportement";"-0.775162544607264";"0.924746524442921";"0.9";"261"
"8";"école";"-0.7822004812548";"0.482153284577106";"0.9";"266"
"9";"voyage";"-0.650597154665031";"0.776162601699936";"0.9";"268"
"10";"magazine";"-0.817363268338329";"1.04674288200933";"0.9";"275"
"11";"extraire";"-0.817363268338328";"1.04674288200933";"0.9";"296"
"12";"delage";"-0.817363268338329";"1.04674288200933";"0.9";"305"
"13";"ex_membre";"-0.817363268338328";"1.04674288200933";"0.9";"311"
"14";"citation";"-0.817363268338329";"1.04674288200933";"0.9";"313"
"15";"film";"-0.637857103668642";"0.682406661312761";"0.9";"314"
"16";"public";"-0.79727024714774";"0.724120254905201";"0.9";"318"
"17";"etienne";"-0.817363268338329";"1.04674288200933";"0.9";"323"
"18";"président";"-0.779853687337314";"0.713852722009993";"0.9";"326"
"19";"troisième";"-0.817363268338328";"1.04674288200933";"0.9";"327"
"20";"gasnier";"-0.817363268338329";"1.04674288200933";"0.9";"332"
"21";"recevoir";"-0.550058275593859";"0.302738870526178";"0.9";"333"
"22";"moment";"-0.58471938917561";"0.668502130115281";"0.9";"337"
"23";"jimmy";"-0.817363268338329";"1.04674288200933";"0.9";"339"
"24";"dewalle";"-0.817363268338328";"1.04674288200933";"0.9";"340"
"25";"conseil";"-0.76109563669691";"0.884081071920785";"0.9";"342"
"26";"travailler";"-0.769133869788541";"0.907318473362006";"0.9";"343"
"27";"extrait";"-0.817363268338328";"1.04674288200933";"0.9";"350"
"28";"expliquer";"-0.644231981674776";"0.878019985521118";"0.9";"353"
"29";"mélenchon";"-0.817363268338329";"1.04674288200933";"0.9";"357"
"30";"annonce";"-0.817363268338328";"1.04674288200933";"0.9";"362"
"31";"moyen";"-0.817363268338329";"1.04674288200933";"0.9";"364"
"32";"membre";"-0.727190177077424";"1.02314731391663";"0.9";"367"
"33";"parole";"-0.786701009002959";"0.781399395094164";"0.9";"368"
"34";"philippe";"-0.817363268338329";"1.04674288200933";"0.9";"369"
"35";"mois";"-0.770479552226956";"0.293956752099699";"0.9";"370"
"36";"mettre";"-0.323633013565849";"0.0711631176097634";"0.9";"374"
"37";"émission";"-0.781102702648056";"0.859618432640821";"0.9";"376"
"38";"claude";"-0.529391138182538";"0.971389293584275";"0.9";"378"
"39";"présidentiel";"-0.817363268338328";"1.04674288200933";"0.9";"379"
"40";"bande";"-0.731903336424461";"0.637396317921719";"0.9";"382"
"41";"entrepreneur";"-0.817363268338328";"1.04674288200933";"0.9";"386"
"42";"retour";"-0.612141750296271";"0.993042623591474";"0.9";"390"
"43";"cnews";"-0.817363268338328";"1.04674288200933";"0.9";"391"
"44";"groupe";"-0.700811450048166";"0.445271437610558";"0.9";"393"
"45";"frédéric";"-0.797504104229593";"0.989332831389842";"0.9";"396"
"46";"boucher";"-0.817363268338328";"1.04674288200933";"0.9";"397"
"47";"haut";"-0.817363268338329";"1.04674288200933";"0.9";"399"
"48";"revue";"-0.817363268338329";"1.04674288200933";"0.9";"402"
"49";"cnrs";"-0.817363268338328";"1.04674288200933";"0.9";"403"
"50";"chercheur";"-0.762705397799655";"0.781987145284164";"0.9";"405"
"51";"bellver";"-0.817363268338329";"1.04674288200933";"0.9";"407"
"52";"christian";"-0.817363268338329";"1.04674288200933";"0.9";"415"
"53";"enfant";"-0.35237431014493";"0.222785368547426";"0.9";"416"
"54";"affrontement";"-0.817363268338329";"1.04674288200933";"0.9";"419"
"55";"blanc";"-0.764619087713035";"0.199858485860996";"0.9";"420"
"56";"professeur";"-0.54445526689358";"-0.474597436639715";"0.9";"422"
"57";"maison";"-0.375914452717661";"0.0224751382167914";"0.9";"423"
"58";"tourner";"-0.682320952398924";"0.656354537796827";"0.9";"425"
"59";"vincent";"-0.76109563669691";"0.884081071920785";"0.9";"426"
"60";"matin";"-0.817363268338329";"1.04674288200933";"0.9";"427"
"61";"raconter";"-0.661912408617687";"0.117444401215811";"0.9";"428"
"62";"plateau";"-0.817363268338328";"1.04674288200933";"0.9";"430"
"63";"anne";"-0.817363268338329";"1.04674288200933";"0.9";"432"
"64";"question";"-0.771991930166033";"0.318240175645171";"0.9";"433"
"65";"présentation";"-0.767721686573346";"0.249675215046192";"0.9";"435"
"66";"nasa";"-0.564626367985022";"0.345879503011155";"0.9";"436"
"67";"olivier";"-0.62079012361909";"0.501626920566304";"0.9";"440"
"68";"claviere";"-0.817363268338328";"1.04674288200933";"0.9";"441"
"69";"patron";"-0.392261552394067";"0.935506632429488";"0.9";"443"
"70";"fédération";"-0.817363268338328";"1.04674288200933";"0.9";"444"
"71";"polémiste";"-0.817363268338328";"1.04674288200933";"0.9";"448"
"72";"galley";"-0.817363268338329";"1.04674288200933";"0.9";"449"
"73";"pomart";"-0.817363268338328";"1.04674288200933";"0.9";"450"
"74";"xavier";"-0.57232227248799";"0.150572942954582";"0.9";"451"
"75";"préparer";"-0.689173370467527";"0.432723035877915";"0.9";"458"
"76";"courant";"-0.817363268338329";"1.04674288200933";"0.9";"464"
