"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"devenir";-0,9872;-0,2149;-0,1759;-0,0802;0,4882;1,4114;-0,0215
"commenter";-2,09;-1,3207;-0,1196;-0,0545;4,6328;-0,2274;-0,0146
"accidentellement";15,8577;-2,0208;-0,183;-0,0834;-8,6428;-0,348;-0,0223
"évolution";0,8236;0,9253;-0,0844;-0,0385;-1,3459;-0,1605;-0,0103
"chine";-0,6892;3,2542;-0,0774;-0,0353;-1,1259;-0,1471;-0,0094
"substance";-0,5983;6,1502;-0,0703;-0,0321;-3,3206;-0,1337;-0,0086
"karim";-1,7209;-1,0875;-0,0985;-0,0449;3,8146;-0,1873;-0,012
"unir";-0,9771;7,1097;-0,2111;-0,0963;-2,5704;-0,4016;-0,0258
"sortir";-0,8456;0,2334;-0,1266;-0,0577;0,468;0,9916;-0,0155
"commentaire";-2,3361;-1,4762;-0,1337;-0,061;5,1785;-0,2542;-0,0163
"zorbb";6,6991;-0,8543;-0,0774;-0,0353;-3,6529;-0,1471;-0,0094
"consacrer";-2,8286;-1,7873;-0,1618;-0,0738;6,2703;-0,3078;-0,0197
"sentir";-2,2131;-1,3984;-0,1266;-0,0577;4,9057;-0,2408;-0,0155
"député";-3,814;-2,41;-0,2182;-0,0995;8,4555;-0,415;-0,0266
"affaire";-3,5676;-1,4287;-0,2041;-0,0931;3,0184;1,9655;-0,0249
"guerre";-0,3959;-0,932;-0,0844;4,0947;-0,5255;1,3056;-0,0103
"parler";-5,1469;-2,9962;-0,3663;-0,1671;9,9958;-0,2763;-0,0447
"fry";28,1113;-3,5787;-0,324;-0,1478;-15,3118;-0,6162;-0,0395
"penser";-0,9872;0,6672;0,4775;-0,0802;-0,4385;1,4114;-0,0215
"suivre";-0,5983;0,2966;0,8254;-0,0321;0,3339;-0,1337;-0,0086
"évoquer";-2,1802;0,3369;-0,2746;-0,1252;2,2233;-0,5223;-0,0335
"tête";20,9894;-3,4208;-0,4087;-0,1864;-9,4667;-0,7774;-0,0499
"possible";-1,4773;5,2363;0,5769;-0,061;-1,8087;-0,2542;-0,0163
"poser";0,558;-0,3553;-0,0774;-0,0353;-0,3894;0,5416;-0,0094
"théorie";-1,7209;7,6276;-0,0985;-0,0449;-2,5121;-0,1873;-0,012
"fou";0,3339;-0,3055;-0,0703;-0,0321;0,3339;-0,1337;-0,0086
"expérience";-0,9284;0,7249;-0,1337;-0,061;0,5702;-0,2542;-0,0163
"corps";-2,09;0,8808;0,6186;-0,0545;-1,3963;5,1596;-0,0146
"reportage";-4,5712;-3,6567;-0,331;-0,151;11,2062;-0,6297;-0,0404
"explorer";-1,5979;4,5018;-0,0914;-0,0417;-1,0623;-0,1739;-0,0112
"convaincre";-0,3312;-0,8543;3,2143;-0,0353;-1,1259;2,4201;-0,0094
"sy";-2,9517;-1,8651;-0,1689;-0,077;6,5433;-0,3212;-0,0206
"internet";-1,4749;-0,4068;-0,0844;-0,0385;0,5741;2,305;-0,0103
"aller";0,268;-1,5203;0,3213;-0,1285;0,7953;0,4645;-0,0344
"affirmer";-2,9517;3,8565;2,1921;-0,077;-1,4195;0,2818;-0,0206
"semaine";-1,1868;-0,298;-0,1548;-0,0706;1,7197;-0,2944;-0,0189
"différent";-1,4749;0,5059;-0,0844;-0,0385;0,9507;-0,1605;-0,0103
"extra_terrestre";-0,3312;-0,8543;0,7874;-0,0353;0,7863;-0,1471;-0,0094
"monde";5,4251;5,1996;-0,4261;-0,4224;-13,3805;0,248;-0,113
"visiteur";-3,3212;8,1593;6,7812;-0,0867;-6,2782;-0,3614;-0,0232
"naulleau";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"fille";40,786;-6,1028;-0,9475;-0,4322;-19,1006;-0,6519;-0,1156
"désert";-1,0992;7,5067;-0,1477;1,9894;-5,5773;0,322;-0,018
"humoriste";-1,5979;-1,0097;-0,0914;-0,0417;3,5419;-0,1739;-0,0112
"apparition";-1,967;0,9724;-0,1125;-0,0513;0,785;-0,214;-0,0137
"venir";0,4273;0,5489;1,2353;1,2093;-2,0984;1,0713;-0,0473
"tomber";-0,2732;-0,3811;0,5971;2,1207;-1,1544;1,7941;-0,0155
"laisser";-0,7652;3,5758;0,5232;-0,0706;-1,9274;0,3078;-0,0189
"époque";-1,8439;1,075;-0,1055;-0,0481;0,6534;-0,2007;-0,0129
"intervenir";11,8862;-2,3321;-0,2111;-0,0963;-5,2328;-0,4016;-0,0258
"origine";-3,2105;7,3365;-0,2464;-0,1124;-1,1127;-0,4686;-0,0301
"image";-5,2937;0,5793;-0,3028;-0,1381;2,4153;-0,205;1,0885
"mythe";-1,3519;-0,3553;-0,0774;-0,0353;1,9711;-0,1471;-0,0094
"italie";-1,7209;0,389;-0,0985;-0,0449;1,3025;-0,1873;-0,012
"édition";-3,5676;-1,4287;-0,2041;-0,0931;6,4874;-0,3882;-0,0249
"répondre";-1,4749;-0,932;-0,0844;-0,0385;2,2093;0,5101;-0,0103
"présenter";-4,6502;-1,8487;-0,4511;-0,2057;9,0252;-0,8581;-0,0551
"chaîne";-1,229;0,2966;-0,0703;-0,0321;1,0804;-0,1337;-0,0086
"spatial";-0,561;-0,8017;1,436;2,0745;-0,2507;0,3535;-0,0163
"écrivain";-2,8286;-1,046;-0,1618;-0,0738;4,9455;-0,3078;-0,0197
"terre";-1,0909;14,8534;0,8064;0,3304;-9,6504;-0,2827;0,8094
"richard";-1,5979;-1,0097;-0,0914;-0,0417;3,5419;-0,1739;-0,0112
"gagner";-1,3519;-0,8543;-0,0774;2,5506;1,2762;-0,1471;-0,0094
"espace";0,9554;-1,5792;-0,2887;3,6503;-0,3485;-0,5491;-0,0352
"vie";-11,7271;2,0481;-0,2618;-0,3058;2,694;0,4877;-0,0818
"mort";-1,8439;0,655;-0,1055;-0,0481;-0,2243;2,0186;-0,0129
"damien";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"science";-1,4749;0,216;-0,0844;-0,0385;1,4782;-0,1605;-0,0103
"information";-2,5823;-0,5115;1,3558;-0,0674;2,0649;-0,281;-0,018
"débat";-4,4303;-2,7994;-0,2534;-0,1156;9,8224;-0,482;-0,0309
"créature";-3,3212;12,7969;0,4506;-0,0867;-7,469;1,3261;-0,0232
"visuel";-3,5676;-2,2543;-0,2041;-0,0931;7,909;-0,3882;-0,0249
"boucherie";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"astrophysicien";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"comprendre";-1,8189;-1,8252;0,966;-0,1124;0,7668;4,1458;-0,0301
"dernier";-3,3225;0,4268;0,3545;-0,1156;1,1215;1,0236;-0,0309
"leçon";-0,3312;-0,8543;-0,0774;-0,0353;1,2762;-0,1471;-0,0094
