"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"pre";10,4858;-1,9955;-0,6049;0,5693;-3,4823;-0,4821;0,7795
"ver_sup";0,5877;4,4929;0,4898;-0,3262;-6,1512;1,8343;0,4293
"adj_dem";-10,5724;3,1987;2,3612;0,4147;0,5875;-0,3689;0,5207
"ono";-0,401;-0,3809;-0,2145;-0,3053;0,8735;-1,4208;1,814
"pro_per";25,9256;-0,3339;3,9895;0,3066;-26,7925;1,9139;-0,651
"num";-75,5898;-54,9928;-6,7511;-6,6666;207,4875;-24,9113;0,4207
"adv";0,9267;-0,6872;0,3051;1,4522;-0,5394;-0,3443;-0,2829
"ver";8,968;0,3611;5,1782;0,9111;-19,8703;9,4057;0,3608
"adj_ind";-5,8605;6,1824;0,9122;-0,2182;-0,5929;-0,3907;-0,1592
"adj_pos";0,9819;-0,8919;1,7279;-0,5947;-1,9986;4,0163;0,3016
"aux";10,3484;18,2707;-0,2745;-0,5259;-31,7695;-0,5991;-0,5359
"nr";-64,8269;-99,7999;-3,7346;-1,5313;204,6026;-2,6934;1,4122
"pro_ind";1,0392;2,6196;0,5323;0,6383;-3,8139;0,2757;-0,3831
"adj";5,2919;16,3577;-0,3333;0,4852;-17,4408;-3,4124;-1,3837
"pro_dem";-9,8602;1,0498;-0,2159;-1,1481;2,689;1,4733;0,2945
"nom";-22,7136;1,1291;-1,6019;0,5092;15,128;-1,6122;0,3108
"art_ind";19,5482;14,1308;-0,4735;0,5332;-46,6816;1,1869;1,0313
"adj_int";-0,9604;0,2831;-0,0807;-0,0418;0,5445;0,4425;-0,0112
"pro_pos";-0,1921;0,5111;-0,0161;-0,0084;-0,1627;-0,0389;-0,0022
"nom_sup";8,5352;-3,4844;-0,7399;-0,5151;-1,5226;-0,366;0,2082
"adv_sup";5,5331;1,5947;2,1847;0,6325;-11,9868;1,9488;-0,7119
"adj_sup";-0,2446;-1,9603;0,2406;-0,1923;2,0398;-0,895;-0,0515
"art_def";-10,1034;4,1358;-0,9668;0,8184;2,7127;-0,8767;-1,0802
"adj_num";0,4266;0,9256;-0,1974;-0,4895;-1,1501;0,8486;-0,1312
"pro_rel";10,7257;4,2501;0,4864;-0,3811;-19,4303;1,0039;-0,4598
"con";6,2306;-0,9915;0,8503;0,3664;-5,715;2,8339;-0,4268
