"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"pre";-0,343356165393704;0,321941073714106;-0,599264824648207;-0,279021284168935;-0,423119875285225;0,39672992853619;-0,73847766087797;-0,343839612794231;0,88976235535404;0,0623045904172851;0,0408557074566961;0,00707734677198346;0,0180239839871537;0,0158457890120065;0,0549033274015994;0,0119024333718199;0,152883667598721;0,0629348414726467;0,000605540754783097
"ver_sup";-0,578054713795754;0,841974218439009;3,5458358931713;-0,913302040202712;-0,152066275863722;0,221494403065325;0,932787236623056;-0,240258295067614;0,566173559506548;0,0956736226170192;0,321129193531434;0,0170236243450005;0,00338106390591961;0,00717320218888249;0,127219226070585;0,00844003681618019;0,010118484842389;0,132824277212706;0,000178513229956955
"adj_dem";1,83882933174077;-3,36738900882093;1,23307104319562;-0,200424476329655;0,455719627843451;-0,834544696136236;0,305593709655303;-0,0496714764046113;0,784911295213544;0,209655980528154;0,005320405904285;0,000112318354017429;0,00945464324327733;0,0317065421014502;0,00425146393075753;0,000112321738226354;0,00279616181529239;0,35885123025156;0,000360073516082459
"ono";0,525300449025469;0,53269586131605;3,23504411915758;13,256217388531;0,0384392178371259;0,0389803821642465;0,236726554945287;0,970032728582977;0,107246415870943;0,00878433379720406;0,0613138368575585;0,822655413474293;0,000405215364959148;0,000416705282300037;0,0153684750469999;0,258053405885927;0,00146848785982982;0,277331809073745;0,000112945707381876
"pro_per";-1,59538293088733;-0,198455140547067;0,677578438737382;1,15779566878204;-0,761935228789615;-0,0947797296747458;0,32360311292483;0,552948944548643;0,989809629545766;0,00121991463034435;0,00269135993489585;0,00627909588899368;0,104705789335575;0,00162018839986204;0,0188868690151567;0,0551448111641318;0,0411377763472873;0,277250545977864;0,0031621730487432
"num";2,89013799399214;-3,53411465603855;0,48841620383088;0,203790150726587;0,628841719888153;-0,768959386439336;0,10627052627823;0,0443410484708922;0,893184831918918;0,106377160273577;0,000384516644106993;5,3491163399187e-05;0,263805782828298;0,394464952448785;0,00753402887526648;0,00131163662141315;0,0315825471223673;0,528726667833073;0,00882896071626495
"adv";-0,584134746841095;-1,89906913780861;-1,75337753454828;-1,55302082025186;-0,190181289479374;-0,618294698940712;-0,570860751338372;-0,505629058673615;0,484774242106284;0,408110669139059;0,0658408100279516;0,0412742787267054;0,0017297132912577;0,0182822478872812;0,015584716867936;0,0122265125298266;0,00506930055722074;0,145052954408766;0,000106659906556764
"ver";-0,900182246008451;0,0672961443058461;1,2945747527533;-0,114769114043001;-0,568875712778891;0,042528212735824;0,818114485687355;-0,0725290482518594;0,969163903827949;0,00043141938023698;0,0302149197574583;0,00018975703435591;0,0704030689458766;0,000393469495986668;0,145607910744581;0,00114440767748692;0,0868821789945887;0,15809390762839;0,00217150569480748
"adj_ind";1,86238742884641;-2,5757431477771;1,87275165178033;-0,648712397631707;0,497194415416852;-0,687636250539047;0,499961312187667;-0,173184256035247;0,855391247579784;0,130320514969834;0,0130381493621915;0,00125008808819097;0,00990776980522962;0,018951384852277;0,0100183505138284;0,00120209901284289;0,00285651063144978;0,348153637111369;0,000346240381702445
"adj_pos";-0,926848716622617;1,20827284358919;2,27933515680641;3,71844690768638;-0,200631702010966;0,26155059909484;0,493399714281205;0,804919204770602;0,704027208355651;0,0952982024524638;0,0641828431080193;0,136491746083866;0,0112152743806148;0,0190599706040166;0,0678279319130141;0,180515860997129;0,0130554605620486;0,190984198897111;0,000476197456985637
