"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"devenir";2,51;1,8;0;0;0
"commenter";2,25;0;0;0;0
"accidentellement";0;7,79;0;0;0
"évolution";0,92;1,5;0;0;0
"chine";1,32;0;0;0;5,1
"substance";1,19;0,3;0;0;0
"karim";1,85;0;0;0;0
"unir";3,43;1,2;0;0;0
"sortir";1,72;1,2;0;0;5,1
"commentaire";2,51;0;0;0;0
"zorbb";0;3,3;0;0;0
"consacrer";2,91;0;0;0;5,1
"sentir";2,38;0;0;0;0
"député";4,09;0;0;0;0
"affaire";3,17;1,2;0;0;5,1
"guerre";0,66;2,1;0;0;0
"parler";6,21;0,6;32,26;0;10,2
"fry";0;13,78;0;0;0
"penser";2,38;2,1;0;0;0
"suivre";1,06;0,6;0;0;0
"évoquer";4,36;0;32,26;0;25,51
"tête";1,19;14,68;0;0;0
"possible";2,25;0,6;0;0;0
"poser";0,66;1,5;0;0;5,1
"théorie";1,72;0;32,26;0;0
"fou";0,92;0,9;0;0;0
"expérience";2,25;0,6;0;0;0
"corps";1,32;2,1;0;0;0
"reportage";5,55;0,3;32,26;0;15,31
"explorer";1,72;0;0;0;0
"convaincre";0,26;2,4;0;0;5,1
"sy";3,17;0;0;0;0
"internet";1,19;0,9;0;0;0
"aller";3,57;3,9;0;0;0
"affirmer";2,64;1,2;0;0;0
"semaine";2,64;0,6;0;0;0
"différent";1,45;0;32,26;0;0
"extra_terrestre";1,06;0,9;0;0;0
"monde";9,25;18,28;0;0;0
"visiteur";2,64;2,1;0;0;0
"naulleau";1,58;0;0;0;0
"fille";3,17;32,66;32,26;0;0
"désert";2,11;1,5;0;0;0
"humoriste";1,72;0;0;0;0
"apparition";2,11;0;0;0;0
"venir";4,09;7,19;0;0;0
"tomber";0,92;3;0;0;5,1
"laisser";2,11;1,5;0;0;5,1
"époque";1,98;0;0;0;0
"intervenir";0,53;7,79;0;0;0
"origine";4,36;0,3;32,26;0;0
"image";5,02;0,6;64,52;0;5,1
"mythe";1,45;0;0;0;0
"italie";1,85;0;0;0;0
"édition";3,83;0;0;0;0
"répondre";1,32;0,3;0;0;5,1
"présenter";6,87;0,9;0;66,67;40,82
"chaîne";1,32;0;0;0;0
"spatial";1,45;2,4;0;0;0
"écrivain";3,04;0;0;0;0
"terre";8,19;6,29;0;66,67;5,1
"richard";1,72;0;0;0;0
"gagner";1,19;0,6;0;0;0
"espace";3,04;5,39;0;0;0
"vie";11,76;1,5;0;0;5,1
"mort";1,58;0,9;0;0;0
"damien";1,58;0;0;0;0
"science";1,45;0;0;0;5,1
"information";2,51;0,6;0;0;0
"débat";4,62;0;0;0;5,1
"créature";3,04;1,2;0;0;0
"visuel";3,83;0;0;0;0
"boucherie";1,32;0;0;0;0
"astrophysicien";1,32;0;0;0;0
"comprendre";3,04;3,6;0;0;0
"dernier";3,83;1,5;0;0;10,2
"leçon";1,19;0,3;0;0;5,1
"grandir";0,66;7,79;0;0;0
"plan";1,32;1,2;0;0;0
"secte";1,32;0;0;0;0
"notamment";1,45;0;0;0;0
"incident";0,4;23,67;0;0;0
"recherche";3,96;2,7;0;0;0
"garçon";0,79;1,5;0;0;0
"environnement";0,26;8,09;0;0;0
"nucléaire";1,32;0;0;0;0
"belhousse";1,98;0;0;0;0
"témoin";3,7;0,9;0;0;0
"mystère";1,19;0,6;0;0;0
"kelly";1,58;0;0;0;0
"retrouver";1,32;7,19;0;66,67;0
"victime";0,66;1,5;0;0;5,1
"technologie";1,85;0,6;0;0;0
"alexandre";2,11;0;0;0;0
"frère";1,45;1,5;32,26;0;0
"millénaire";0,26;12,89;0;0;0
"meilleur";1,19;0,6;0;0;0
"observation";1,45;0;0;0;0
"tirailleur";1,32;0;0;0;0
"décontraction";0;7,79;0;0;0
"astronaute";5,15;0,3;0;0;0
"découverte";2,91;0,9;0;0;0
"millier";1,98;0;0;0;0
"continuer";1,85;0,6;0;0;0
"ambre";6,34;0;0;0;0
"laëtitia";1,98;0;0;0;0
"animal";2,38;0,9;0;0;0
"pyramide";1,58;0;0;0;0
"robot";0,53;8,69;0;0;5,1
"temps";2,11;2,4;0;0;5,1
"façon";1,19;0;0;0;5,1
"face";0,66;1,5;0;66,67;0
"rouge";1,19;0;0;0;5,1
"montrer";2,51;1,2;0;0;5,1
"tenter";0,66;15,88;0;0;5,1
"quitter";1,58;8,09;0;0;0
"inviter";3,96;0,3;0;0;15,31
"site";3,43;0,9;0;0;0
"alliance";2,11;0;0;0;0
"lune";1,32;1,8;0;0;0
"seul";1,58;1,8;0;0;0
"mauvais";1,19;0,9;0;0;0
"chef";1,58;0;0;0;0
"appeler";1,19;0,3;0;0;0
"françois";2,51;0,6;0;0;10,2
"soucoupe";0,66;2,7;0;0;5,1
"nombre";1,06;0,3;0;0;5,1
"pizza";0;12,89;0;0;0
"alexis";1,72;0;0;0;0
"enlever";0,26;2,4;0;0;0
"prendre";2,91;16,78;0;0;10,2
"livreur";0;12,89;0;0;0
"état";2,51;0;0;0;0
"grave";0,13;14,68;0;0;0
"déage";1,32;0;0;0;0
"yacine";1,98;0;0;0;0
"thierry";3,96;0;0;0;5,1
"carbonnier";5,28;0;0;0;0
"jerry";0,13;2,7;0;0;0
"raid";1,98;0;0;0;0
"déclaration";2,91;0;0;0;0
"contact";2,64;0;0;0;0
"the";1,06;0;0;0;15,31
"photo";2,91;0,3;0;0;5,1
"transformer";0,92;1,2;0;0;0
"lci";2,77;0;0;0;0
"bord";0,53;2,4;0;0;0
"jacques";1,98;0,6;0;0;5,1
"connaître";3,17;0,6;0;0;5,1
"peupler";0,13;7,49;0;0;0
"commencer";1,58;0,6;0;0;5,1
"archive";1,45;0;32,26;0;0
"sujet";3,83;0,3;0;0;5,1
"zone";1,45;0;0;0;0
"donner";3,43;2,7;32,26;0;10,2
"urgentiste";1,58;0;0;0;0
"ciel";3,43;0,6;0;0;0
"cas";4,09;0,3;0;0;0
"discussion";1,98;0;0;0;0
"cours";2,25;0,6;0;0;0
"découvrir";3,17;5,99;0;0;10,2
"forme";3,57;1,2;0;0;0
"nom";1,19;0,3;0;0;0
"ex";2,38;0,9;0;0;0
"marine";1,19;0,6;0;0;0
"toulouse";1,58;0;0;0;0
"message";1,32;0;0;0;0
"incroyable";2,38;0;0;0;0
"premier";5,55;1,5;0;0;30,61
"déguiser";1,19;1,5;0;0;5,1
"ligne";1,58;0;0;0;0
"étrange";5,02;2,7;0;0;0
"secrétaire";3,83;0;0;0;0
"bruno";2,51;0;0;0;5,1
"près_de";0,79;2,1;0;0;5,1
"maïa";4,89;0;0;0;0
"prétexte";0;23,07;0;0;0
"explication";1,58;0;0;0;0
"ami";0,66;4,79;0;0;5,1
"héros";0,92;1,2;0;66,67;0
"vendre";0,53;1,8;0;0;0
"loi";1,32;0;0;0;0
"giorgio";2,51;0;0;0;0
"aile";0;7,79;0;0;0
"aimer";1,32;0,3;0;0;0
"vidéo";2,38;0,3;0;0;0
"réalité";1,72;2,4;0;0;0
"visage";1,45;0;0;0;5,1
"posséder";1,58;6,89;0;0;0
"diffuser";1,32;0;0;0;0
"base";1,06;0,9;0;0;0
"véritable";0,92;1,5;0;0;0
"jour";2,77;0,9;0;0;5,1
"justice";1,32;0,3;0;0;0
"voler";0,26;9,29;0;0;0
"culture";3,17;0,3;0;0;5,1
"portrait";1,45;0,3;0;0;5,1
"effet";0,79;1,5;0;0;0
"planète";2,51;12,59;0;0;0
"grand";5,68;3,3;32,26;0;0
"pierre";2,91;0;0;0;10,2
"jouer";1,19;0,9;0;0;5,1
"hapsatou";1,45;0;0;0;0
"univers";1,85;7,79;32,26;133,33;0
"info";1,85;0;64,52;0;0
"cryogénisé";0;12,89;0;0;0
"rester";2,11;1,5;0;0;0
"visite";2,38;0,9;0;0;0
"structure";1,45;0;0;0;0
"utiliser";1,98;0,9;0;0;5,1
"rencontre";2,91;0,6;0;0;5,1
"suite";2,38;0;0;0;0
"scientologie";2,11;0;0;0;0
"élection";1,72;0;0;0;0
"témoignage";3,3;0,3;0;0;5,1
"gens";2,38;0;0;0;5,1
"danger";0,26;8,09;0;0;0
"volant";1,45;3,3;0;0;0
"entrer";1,32;0,9;0;0;0
"heure";1,58;0,3;0;0;0
"également";1,06;0,3;0;0;5,1
"rencontrer";1,19;1,5;0;0;0
"représentant";1,45;0;0;0;0
"avocat";3,17;0;0;0;0
"université";1,85;0,9;0;0;0
"médecin";2,38;0,3;0;0;0
"réaliser";1,06;1,8;0;0;0
"trouver";2,91;3;0;0;0
"mohammed";1,45;0;0;0;0
"média";1,72;0;0;0;0
"preuve";4,75;0,3;0;0;5,1
"luc";4,23;0;0;0;0
"carrière";1,32;0;32,26;0;0
"examiner";1,98;0,3;0;0;0
"femme";2,51;2,1;0;0;5,1
"persuader";0,4;3,9;0;0;0
"général";4,36;0;0;0;0
"he";1,19;0,3;0;0;10,2
"étude";1,98;0,6;0;0;0
"laporte";1,58;0;0;0;0
"chercher";0,92;2,7;0;0;0
"homme";8,06;3;0;0;5,1
"star";1,58;0,6;0;0;0
"fois";2,64;0;0;0;10,2
"aider";0,26;2,4;0;0;0
"siècle";1,32;0,3;0;0;0
"voix";1,98;0,3;0;0;5,1
"réputation";2,25;0,6;0;0;0
"voir";5,02;4,2;0;0;35,71
"légende";1,58;0;0;0;0
"force";0,92;1,2;0;0;0
"histoire";4,89;0;0;0;5,1
"propre";1,72;8,09;0;0;0
"nes";1,45;0,9;0;0;5,1
"omar";1,72;0;0;0;0
"quotidien";1,72;0;0;0;5,1
"géant";1,58;0,6;0;0;0
"suggérer";1,72;0;0;0;0
"famille";1,98;1,5;64,52;0;5,1
"vivre";3,96;0,9;0;0;0
"comportement";1,98;0,3;0;0;0
"créer";1,19;1,5;32,26;0;0
"acteur";4,23;0;0;0;0
"sauver";0,26;16,78;0;66,67;0
"entraîner";0,13;7,79;0;0;0
"école";1,98;0;0;0;5,1
"cabrol";1,45;0;0;0;0
"voyage";2,64;1,2;0;0;0
"scientifique";4,36;1,2;0;0;5,1
"servir";1,06;0,9;0;0;0
"théoricien";3,7;0;0;0;0
"livre";4,36;0,6;32,26;0;20,41
"revel";1,58;0;0;0;0
"super";0,4;17,68;0;0;0
"magazine";1,45;0;0;0;5,1
"lieu";0,92;2,4;0;0;0
"mystérieux";1,98;1,2;0;0;0
"petit";6,6;51,54;32,26;0;15,31
"décider";0,53;4,5;0;0;0
"handicapé";1,45;0;0;0;0
"corbière";1,72;0;0;0;0
"dieu";1,58;0,6;0;0;0
"mazaurette";5,42;0;0;0;0
"laure";0,13;3,3;0;0;0
"ville";0,66;2,7;0;0;0
"etats";1,58;0,9;0;0;0
"père";1,32;1,8;0;0;0
"margot";1,45;0;0;0;0
"équipe";1,72;2,4;0;0;5,1
"clair";0,79;0,6;32,26;0;5,1
"spécialiste";5,28;0,3;0;0;5,1
"main";1,06;0,9;0;0;0
"ancien";17,43;7,49;0;0;0
"agir";1,72;2,4;0;0;0
"trace";1,19;0,3;0;0;0
"extraire";14,13;0;0;0;25,51
