"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"pre";-8,4479;7,7737;0,9814;-0,2644;0,6445
"ver_sup";-1,985;1,7387;-0,8452;-0,1494;0,9586
"adj_dem";5,2416;-4,1136;-0,2327;-0,129;-1,0027
"ono";0,5571;-0,6499;-0,1221;0,8405;-0,1738
"pro_per";-29,7667;33,6735;-0,9883;0,8325;-0,7922
"num";130,5275;-114,2055;-1,2408;-1,479;-9,3117
"adv";-0,7819;1,2909;0,2063;-0,2342;-1,1019
"ver";-22,6596;24,7775;-1,9022;0,3552;0,4096
"adj_ind";5,0884;-4,345;-0,2377;-0,1318;-0,6143
"adj_pos";-4,8022;4,0878;-0,5436;1,2962;0,8547
"aux";-5,2613;8,655;-0,5562;-0,6237;-3,2199
"nr";58,4282;-86,0919;1,2181;-0,424;8,4034
"pro_ind";-1,0511;1,4565;-0,2058;-0,3172;-0,5701
"adj";-1,6315;2,9584;0,5408;-0,2835;-2,8779
"pro_dem";4,8961;-5,2271;-0,4594;-0,2547;0,4557
"nom";20,0272;-25,9983;1,6309;0,5969;1,2401
"art_ind";-16,7048;20,7753;-1,3672;-0,969;-0,837
"adj_int";0,8232;-0,6768;-0,0167;-0,0093;-0,1221
"pro_pos";0,3091;-0,2683;-0,0033;-0,0019;-0,0244
"nom_sup";-5,4889;5,8962;0,3763;-0,3471;-0,2677
"adv_sup";-6,6966;9,5793;-1,2268;-0,2639;-1,7003
"adj_sup";0,6281;-0,7379;-0,0769;-0,0427;0,4368
"art_def";9,7596;-12,0881;0,5058;0,7118;0,7061
"adj_num";-0,8698;0,4226;0,4401;-0,1086;1,35
"pro_rel";-9,2916;12,1954;-0,812;0,259;-1,4819
"con";-10,9502;10,4903;1,2359;0,5477;0,3246
