"";"*mediamatgroupe_Cultureconnaissance";"*mediamatgroupe_Fiction";"*mediamatgroupe_Information";"*mediamatgroupe_Jeunesse";"*mediamatgroupe_Variétésdivertissement"
"pre";5110;2217;36;16;221
"ver_sup";328;155;0;1;19
"adj_dem";120;18;0;0;1
"ono";54;16;0;1;2
"pro_per";1194;791;4;7;49
"num";1480;78;2;0;10
"adv";169;79;1;0;3
"ver";2736;1442;8;10;123
"adj_ind";122;18;0;0;2
"adj_pos";405;216;1;4;23
"aux";1215;606;5;2;30
"nr";3594;663;24;8;189
"pro_ind";227;106;1;0;7
"adj";2093;886;14;6;59
"pro_dem";223;42;0;0;9
"nom";7859;2409;53;26;320
"art_ind";1499;846;4;2;58
"adj_int";9;1;0;0;0
"pro_pos";2;0;0;0;0
"nom_sup";220;141;2;0;10
"adv_sup";738;406;1;2;21
"adj_sup";35;9;0;0;2
"art_def";3758;1144;22;14;151
"adj_num";76;33;1;0;7
"pro_rel";520;324;1;2;15
"con";1042;562;11;5;47
