"";"";"";"";"mohammed";""
"1";"mohammed";"0.684732041302298";"3.21151954465763";"1.09007421695038";"73"
"2";"fédération";"0.684732041302298";"3.21151954465763";"1.09007421695038";"75"
"3";"entrepreneur";"0.684732041302298";"3.21151954465763";"1.09007421695038";"77"
"4";"polémiste";"0.637721584778338";"2.72395588669655";"1.03952794942693";"85"
"5";"zeribi";"0.684732041302299";"3.21151954465763";"0.983679218674914";"100"
"6";"boucherie";"0.646536045376581";"2.81537407256425";"0.957550848908582";"107"
"7";"abolition";"0.684732041302299";"3.21151954465763";"0.957186918693855";"108"
"8";"convaincre";"0.267684630542353";"-0.53914723899793";"0.860306875882427";"195"
"9";"annonce";"0.34478100607961";"-0.160583631965006";"0.859824668347914";"197"
"10";"album";"0.297711967523221";"-0.469275164751133";"0.859566277895458";"199"
"11";"identifier";"0.274921563011305";"-0.59662491591226";"0.859493491852512";"201"
"12";"système";"0.283655783093484";"-0.565656637914802";"0.859493491852512";"202"
"13";"situation";"0.257675518215396";"-0.56243793041353";"0.85795042774207";"205"
"14";"mystérieux";"0.254805194633827";"-0.62999918132346";"0.857741167868601";"207"
"15";"décider";"0.270947460298491";"-0.58924673591899";"0.854447599425321";"216"
"16";"reportage";"0.297481703456965";"-0.464816798175439";"0.853666969114731";"217"
"17";"super";"0.262216636172562";"-0.570973017373981";"0.852866322642332";"218"
"18";"homme";"0.281250026676267";"-0.478632944826985";"0.852353181039567";"220"
"19";"sujet";"0.340963046433509";"-0.149666675535294";"0.850950230061794";"224"
"20";"équipe";"0.326463597452365";"-0.273268510545298";"0.849931225460558";"225"
"21";"théorie";"0.255596740267467";"-0.627908710372425";"0.849747440702121";"226"
"22";"légende";"0.254191121824493";"-0.637546857688792";"0.849747440702121";"227"
"23";"étrange";"0.27318476944689";"-0.585976786812335";"0.849556377339389";"229"
"24";"intelligent";"0.25185731209178";"-0.631858624237784";"0.848970449693678";"231"
"25";"docteur";"0.2643482597667";"-0.54691080280313";"0.845835190893804";"236"
"26";"milieu";"0.2643482597667";"-0.54691080280313";"0.845835190893804";"237"
"27";"extrême";"0.379164073896556";"0.042355767910602";"0.84578787996589";"239"
"28";"ayatollah";"0.379164073896556";"0.042355767910602";"0.84578787996589";"240"
"29";"rtbf";"0.379164073896556";"0.042355767910602";"0.84578787996589";"241"
"30";"ménard";"0.379164073896556";"0.042355767910602";"0.84578787996589";"242"
"31";"tribune";"0.379164073896556";"0.042355767910602";"0.84578787996589";"246"
"32";"session";"0.379164073896556";"0.042355767910602";"0.84578787996589";"248"
"33";"impertinence";"0.379164073896556";"0.042355767910602";"0.84578787996589";"251"
"34";"foucault";"0.379164073896556";"0.042355767910602";"0.84578787996589";"252"
"35";"effondrement";"0.379164073896556";"0.042355767910602";"0.84578787996589";"253"
"36";"bêtisier";"0.379164073896556";"0.042355767910602";"0.84578787996589";"254"
"37";"burgdorf";"0.379164073896556";"0.042355767910602";"0.84578787996589";"255"
"38";"bande_annonce";"0.379164073896556";"0.042355767910602";"0.84578787996589";"256"
"39";"annette";"0.379164073896556";"0.042355767910602";"0.84578787996589";"257"
"40";"enlever";"0.286135187885119";"-0.433126630069234";"0.845032724770331";"258"
"41";"portrait";"0.29386230893593";"-0.478233122987902";"0.843575184260349";"260"
"42";"parler";"0.291027201279295";"-0.503738104637828";"0.843205795092401";"262"
"43";"code";"0.245306647030146";"-0.655084832735877";"0.842288690951289";"263"
"44";"courant";"0.297711967523221";"-0.469275164751133";"0.842159495725061";"267"
"45";"secte";"0.297711967523221";"-0.469275164751133";"0.842159495725061";"268"
"46";"façon";"0.335518203883287";"-0.195958248833735";"0.841300620418305";"270"
"47";"commencer";"0.305280982165626";"-0.32576865171945";"0.840765643002656";"271"
