"";"";"";"";"puis";""
"1";"puis";"0.306155833077889";"-0.329129295146597";"0.865017464429353";"138"
"2";"contre";"0.309054198657224";"-0.222882435688764";"0.858094704660552";"147"
"3";"2018";"0.297711967523214";"-0.469275164751115";"0.857649731226711";"152"
"4";"celui";"0.261687515556644";"-0.582880402860543";"0.857059285708729";"154"
"5";"comment";"0.295001022890617";"-0.465110951879233";"0.855099691163543";"158"
"6";"depuis";"0.281787274322182";"-0.533096597118531";"0.853054524804157";"166"
"7";"derrière";"0.272550084175106";"-0.501725470425252";"0.851189059254592";"170"
"8";"car";"0.293984164143964";"-0.413530361049973";"0.85068418555081";"177"
"9";"cela";"0.264741564973493";"-0.595863810241232";"0.848878620271185";"179"
"10";"lorsque";"0.254781061539086";"-0.620207804962124";"0.847868872863622";"182"
"11";"au_dessus";"0.279582392908909";"-0.512683353135352";"0.847868872863622";"183"
"12";"ça";"0.299065230252618";"-0.445923665097726";"0.84736399915984";"184"
"13";"afin";"0.260049428703999";"-0.590100845848081";"0.847013154721619";"186"
"14";"certains";"0.269326706711295";"-0.589329037666514";"0.845977735769796";"189"
"15";"quelque";"0.287591514733814";"-0.53866982542897";"0.845267489711934";"191"
"16";"parfois";"0.287591514733814";"-0.53866982542897";"0.845267489711934";"192"
"17";"nous";"0.284584658684737";"-0.474498124463228";"0.843419138525209";"194"
"18";"même";"0.267791252250766";"-0.583126514753988";"0.842323819303445";"195"
"19";"douze";"0.262775087194529";"-0.593148276740982";"0.84049258247956";"196"
"20";"plupart";"0.262775087194529";"-0.593148276740982";"0.84049258247956";"197"
"21";"auxquelles";"0.262775087194529";"-0.593148276740982";"0.84049258247956";"199"
"22";"d";"0.121165640876657";"-0.263763059756084";"0.84044979657246";"200"
"23";"comme";"0.283336206748898";"-0.470681814894888";"0.839568406886197";"202"
"24";"cependant";"0.268998579815094";"-0.608316899276998";"0.836068519685407";"205"
"25";"lesquels";"0.286467019979437";"-0.546380343282065";"0.836068519685407";"206"
"26";"lendemain";"0.269785166101172";"-0.585198162308068";"0.836068519685407";"207"
"27";"1994";"0.313617722103881";"-0.375836699061489";"0.836068519685407";"208"
"28";"1989";"0.286467019979437";"-0.546380343282065";"0.836068519685407";"209"
"29";"peut_être";"0.2715093072767";"-0.562179998743515";"0.835161458454884";"210"
"30";"parmi";"0.273932494513846";"-0.515593380778966";"0.835161458454884";"211"
"31";"ainsi";"0.265886833504812";"-0.60073258800899";"0.835161458454884";"212"
"32";"aujourd_hui";"0.286149002510206";"-0.519429793895106";"0.834006238963181";"213"
"33";"leurs";"0.298055549374377";"-0.412487333453636";"0.832320474223436";"215"
"34";"eux";"0.269677658013405";"-0.546051573527204";"0.831653014072674";"217"
"35";"encore";"0.27607948124063";"-0.53703240842262";"0.831653014072674";"218"
"36";"loin";"0.282059325133194";"-0.518061046036846";"0.830908539289132";"219"
"37";"1999";"0.293495112194297";"-0.498189606700221";"0.830634709483691";"223"
"38";"maintenant";"0.272203109844078";"-0.577481236159796";"0.83036087967825";"227"
"39";"toute";"0.292204195238484";"-0.479860202888835";"0.828076112239103";"228"
"40";"sept";"0.268440286915265";"-0.555636057626204";"0.827519895446802";"230"
"41";"notre";"0.297297555056072";"-0.393171655288059";"0.826518705220659";"232"
"42";"2021";"0.31924019587577";"-0.337284109796014";"0.825928259702677";"238"
"43";"souvent";"0.275215027215719";"-0.548715143559859";"0.825269356733335";"239"
"44";"quatre";"0.286888559650964";"-0.475817746364354";"0.824225380600092";"240"
"45";"dix";"0.260874283657375";"-0.615111702525642";"0.824225380600092";"242"
"46";"trois";"0.285724466947645";"-0.534119238668165";"0.822856231572888";"243"
"47";"croire";"0.27289169735752";"-0.556479673307728";"0.822445486864727";"246"
"48";"29";"0.327115202363027";"-0.119715152478699";"0.820811065213502";"247"
"49";"beaucoup";"0.284538522534077";"-0.527217718546697";"0.820674150310781";"248"
"50";"concernant";"0.35740766983827";"0.0800751693461988";"0.82026340560262";"250"
"51";"savoir";"0.281011076830416";"-0.531460212868441";"0.82009226197422";"251"
"52";"hors";"0.289278256865381";"-0.527104048649327";"0.819296444102157";"253"
"53";"devant";"0.296539953335457";"-0.445648732480096";"0.819296444102157";"254"
"54";"70";"0.276766866456683";"-0.55621741291883";"0.819296444102157";"255"
"55";"2002";"0.309641283458714";"-0.399196315483896";"0.819296444102157";"256"
"56";"non";"0.290692648551855";"-0.374361865224884";"0.819108186110917";"257"
"57";"laquelle";"0.308678260326401";"-0.382684213073143";"0.818235353606074";"261"
"58";"tandis_que";"0.308180815769394";"-0.337549339556543";"0.817114362840051";"262"
"59";"via";"0.28103011364495";"-0.508092983777118";"0.817114362840051";"263"
"60";"quels";"0.28103011364495";"-0.508092983777118";"0.817114362840051";"264"
"61";"quel";"0.263561673480607";"-0.570029539772052";"0.817114362840051";"265"
"62";"lorsqu";"0.263561673480607";"-0.570029539772052";"0.817114362840051";"266"
"63";"celle_ci";"0.263561673480607";"-0.570029539772052";"0.817114362840051";"267"
"64";"2019";"0.263561673480607";"-0.570029539772052";"0.817114362840051";"268"
"65";"1980";"0.308180815769394";"-0.337549339556543";"0.817114362840051";"269"
"66";"1967";"0.308180815769394";"-0.337549339556543";"0.817114362840051";"270"
"67";"grâce";"0.277715046702734";"-0.54939767868989";"0.816626603499109";"271"
"68";"mes";"0.271734689344954";"-0.582325453169074";"0.816464017052129";"272"
"69";"juste";"0.276749839326003";"-0.543599031945035";"0.815873571534147";"273"
"70";"ma";"0.290964998996947";"-0.515538271869685";"0.815873571534147";"274"
"71";"tard";"0.27722179109765";"-0.529727789763677";"0.815873571534147";"275"
"72";"nos";"0.298179356549243";"-0.3334837996748";"0.815556955821606";"276"
"73";"entre";"0.28929250701373";"-0.468114045758586";"0.814299050152862";"278"
"74";"inter";"0.324862669647658";"-0.298731520530539";"0.813896862626121";"280"
"75";"combien";"0.292089493751325";"-0.50782775401659";"0.813896862626121";"281"
"76";"1985";"0.280243527358871";"-0.531211720746048";"0.813896862626121";"282"
"77";"cet";"0.282219602922361";"-0.514357829019047";"0.813092487572639";"283"
"78";"d_abord";"0.259993758472778";"-0.613152830479207";"0.812416470240457";"285"
"79";"autant";"0.266740726999044";"-0.566889723360637";"0.812416470240457";"286"
"80";"dont";"0.280529729521936";"-0.524929891725838";"0.812193983523536";"287"
"81";"aucune";"0.31924019587577";"-0.337284109796014";"0.811569309279874";"288"
"82";"peu";"0.277402096752253";"-0.545844153304125";"0.811338265381534";"289"
"83";"devoir";"0.31467220483746";"-0.199776836491981";"0.811141450208873";"290"
"84";"vouloir";"0.325757700477429";"-0.163625730959093";"0.810311403611131";"292"
"85";"fort";"0.307255420271614";"-0.413212085337339";"0.81002045944285";"293"
"86";"lequel";"0.280955886669989";"-0.538828963285287";"0.81002045944285";"294"
"87";"dès";"0.272099246991259";"-0.544840946016818";"0.808890911495406";"295"
"88";"sans";"0.288284959963489";"-0.494531206202177";"0.808856682769726";"296"
"89";"déjà";"0.293818878421094";"-0.445939898635761";"0.807247932662762";"297"
"90";"quoi";"0.288196404649205";"-0.484492487901236";"0.806298085525139";"299"
"91";"durant";"0.313858138787631";"-0.370281873534789";"0.804971722405035";"300"
"92";"divers";"0.300756808664374";"-0.416734290530989";"0.804971722405035";"301"
"93";"ben";"0.280393782071041";"-0.544642023696421";"0.803919189090372";"303"
"94";"500";"0.280393782071041";"-0.544642023696421";"0.803919189090372";"304"
"95";"pourquoi";"0.298326841477883";"-0.329149036493126";"0.802746855235828";"305"
"96";"ni";"0.274621053586983";"-0.569764310011523";"0.801779893735365";"306"
"97";"malgré";"0.274621053586983";"-0.569764310011523";"0.801779893735365";"307"
"98";"60";"0.274621053586983";"-0.569764310011523";"0.801779893735365";"308"
