"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"3";3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"4";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"5";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"6";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"7";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"8";8;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"9";9;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"10";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"11";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"12";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"13";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"14";14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"15";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"16";16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"17";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"18";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"19";19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"20";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"21";21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"22";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"23";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"24";24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"25";25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"26";26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"27";27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"28";28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"29";29;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"30";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"31";31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"32";32;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"33";33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"34";34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"35";35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"36";36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"37";37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"38";38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"39";39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"40";40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"41";41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"42";42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"43";43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"44";44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"45";45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"46";46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"47";47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"48";48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"49";49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"50";50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"51";51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"52";52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"53";53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"54";54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"55";55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"56";56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"57";57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"58";58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"59";59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"60";60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"61";61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"62";62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"63";63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"64";64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"65";65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"66";66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"67";67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"68";68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"70";70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"71";71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"72";72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"73";73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
