"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"petit";-1,90653802901702;0,0487582538295925;0,00848471499397972;0,219421603549414;-0,53687882269701;0,018798084661032;-0,956373336865242;0,0244585175879088;0,00425617274223828;0,110068075209111;-0,269313584801533;0,00942965032972127;0,966303837575321;0,000540389001673479;9,97652574311694e-06;0,00535918794077666;0,0277571628129713;2,94461433709403e-05;0,0342063361566505;2,23723653217038e-05;6,77470099230324e-07;0,0004530794699038;0,00271249009801635;3,32539176488978e-06;0,00941056317478844;1,80710409513408;0,0307313723500071
"ancien";0,411912831083677;0,752963907448172;1,05091289132844;-0,753174598109114;0,535492676424751;0,686110176080654;0,231506114445318;0,423186012614109;0,590641372962038;-0,423304426444862;0,300961318701516;0,385612413500075;0,0986967902558619;0,281986398494654;0,334894394065999;0,138165997206849;0,0604225745117141;0,0858338454649426;0,00120062748029638;0,00401186173433054;0,00781503770065291;0,00401410720732216;0,00202910588203536;0,00333108227684406;0,00707615990662387;1,22165437801999;0,0105607399821662
"fille";-2,66386474968683;0,258558051231894;-0,214496868806476;0,17776014721019;0,0160501845146579;0,0251559133661272;-0,989913241363821;0,0960822198671186;-0,0797087354707373;0,066057078735261;0,00596437569860118;0,00934813666596923;0,986834908994452;0,00794920593107743;0,00333537083124688;0,00183995170403637;1,29771698102926e-05;2,75853693605261e-05;0,0662613402240941;0,000624240591601607;0,000429613368920061;0,000295056153474768;2,40544777780744e-06;5,9090280925273e-06;0,0093376130726583;2,49852942642674;0,0582914436624016
"monde";0,27054941242686;-0,56877185204269;0,951943324119684;-0,66566605122991;0,752720527399162;0,264172178549527;0,175283482813652;-0,368495759270464;0,616744792739152;-0,431271547787718;0,487672379120477;0,171151802191214;0,0592758806180266;0,224000232718769;0,382550752201894;0,150250214494404;0,166208071555751;0,0177148484111556;0,000368441197472412;0,00162836285071848;0,00456138972652366;0,00223042596523501;0,0028519539884299;0,000351276543219479;0,00503355704697987;1,03538564044222;0,00539609106258696
"extraire";0,367468090375675;0,0420755896181635;-1,9883383841315;-1,74577370629438;-0,258694820376953;-0,176277602971123;0,136606037376806;0,0156415746525198;-0,739163575652845;-0,648990305334231;-0,0961696409216695;-0,0655310908643759;0,0384974052631772;0,000431558891865972;0,587563538418249;0,363819145207106;0,00691142225334613;0,00277692996625685;0,000689545945513874;9,04033169828767e-06;0,0201885225479098;0,0155632337577486;0,000341742829463852;0,000158678547683626;0,00510650714911001;1,74501214056113;0,0155496582980304
"nouveau";0,286853631787021;-0,451035431579179;0,37397947741059;-0,0870293556597892;0,0863172876313147;0,26620348359093;0,401098695172693;-0,630669104504767;0,522924111074616;-0,121690496924854;0,120694833891703;0,372224221996336;0,230347997116855;0,486936700224561;0,204099211222857;0,00887795072112288;0,00755542799859869;0,0621827127158681;0,000288129580634037;0,000712341851904812;0,000489736736005712;2,65215363170987e-05;2,60893171077693e-05;0,000248138761631561;0,00350160490224686;0,55688136126798;0,00108590668407707
"aventure";-3,27880593860635;0,404343818553132;-0,0563084799210641;0,0167722500756783;-0,0256054889071346;-0,0498709371126489;-0,992181966862035;0,122356325044072;-0,0170392086037393;0,00507536108582924;-0,00774834034768868;-0,0150911781301435;0,986910866249728;0,0128332181006817;0,000151731643610539;1,08130104295967e-05;2,18028072977724e-05;7,15681882467769e-05;0,0831310365189864;0,0012642512329899;2,45176802282035e-05;2,17527629819928e-06;5,06988273930402e-06;1,92321052713993e-05;0,00773271082579516;3,07518535292947;0,0731264287435384
"nombreux";-2,65591568626674;0,269751336317219;0,133509078151429;-0,0759383801497681;0,144159591322509;0,105358174208773;-0,991032111659476;0,100655392727919;0,0498177650481455;-0,0283357538889382;0,0537919125004801;0,0393134971891652;0,98810281460757;0,00871541822155181;0,00130159902168685;0,000338231214600242;0,00105453359471478;0,000487403339874172;0,0493998585297301;0,000509594048053168;0,00012482993136045;4,03849728376121e-05;0,000145540620509643;7,7738044045097e-05;0,00700320980449373;2,48947497851474;0,0434022923979058
"vie";0,284866566826158;-0,51914299436169;0,235234846846119;0,0230644582597051;0,49822095541358;-0,574283397055802;0,287092796061237;-0,523200091423346;0,237073204709567;0,0232447067593487;0,502114546960066;-0,578771415786784;0,151976962441988;0,431574967533025;0,0540231820884334;0,000417156266997219;0,168398626044992;0,19360910562455;0,000455826523850291;0,00151387711860237;0,000310827863593902;2,9881551707509e-06;0,00139431407001882;0,00185254664067072;0,00561715786402101;0,680843273821989;0,00260381984171035
"île";-3,07730618261027;0,349754933986017;-0,0256686171247607;0,00826463692600891;0,0864828543110131;-0,0514738752444199;-0,993041258683313;0,112865298175031;-0,00828321731593538;0,00266698370865487;0,0279078640223857;-0,0166105284390871;0,988671508826491;0,0109200783385362;3,58589521706672e-05;2,98590246807232e-06;0,000282859256991604;8,67087233382099e-05;0,0580292034351208;0,0007496057166031;4,03747767932556e-06;4,18555206855486e-07;4,58316212096231e-05;1,62359954730785e-05;0,00612780857893201;2,88362810505972;0,0509546343782014
