"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"218";"1248";"17.47";"****";""
"0";"128";"0.00";"-30.19";"fille";"3.922482e-08"
"0";"106";"0.00";"-24.52";"aventure";"7.364351e-07"
"4";"129";"3.10";"-20.60";"petit";"5.661699e-06"
"0";" 77";"0.00";"-17.37";"tropical";"3.078518e-05"
"0";" 77";"0.00";"-17.37";"prétexte";"3.078518e-05"
"0";" 77";"0.00";"-17.37";"fatou";"3.078518e-05"
"2";" 84";"2.38";"-14.22";"île";"1.626828e-04"
"2";" 83";"2.41";"-13.98";"provoquer";"1.842995e-04"
"1";" 70";"1.43";"-13.23";"extraire";"2.749761e-04"
"3";" 82";"3.66";"-11.61";"incident";"6.561371e-04"
"1";" 51";"1.96";" -8.87";"parler";"2.900015e-03"
"0";" 37";"0.00";" -8.07";"humour";"4.499586e-03"
"0";" 36";"0.00";" -7.85";"plateau";"5.094069e-03"
"0";" 34";"0.00";" -7.40";"naître";"6.530895e-03"
"2";" 53";"3.77";" -7.20";"voir";"7.289737e-03"
"0";" 33";"0.00";" -7.17";"général";"7.396076e-03"
"1";" 43";"2.33";" -7.08";"reportage";"7.781738e-03"
"0";" 31";"0.00";" -6.73";"débat";"9.489531e-03"
"0";" 31";"0.00";" -6.73";"membre";"9.489531e-03"
"0";" 30";"0.00";" -6.51";"eric";"1.075167e-02"
"0";" 30";"0.00";" -6.51";"sujet";"1.075167e-02"
"0";" 29";"0.00";" -6.28";"secrétaire";"1.218408e-02"
"0";" 28";"0.00";" -6.06";"député";"1.381036e-02"
"0";" 27";"0.00";" -5.84";"dettinger";"1.565755e-02"
"0";" 27";"0.00";" -5.84";"politique";"1.565755e-02"
"0";" 27";"0.00";" -5.84";"luc";"1.565755e-02"
"0";" 27";"0.00";" -5.84";"rythmé";"1.565755e-02"
"1";" 37";"2.70";" -5.77";"invité";"1.633741e-02"
"1";" 37";"2.70";" -5.77";"christophe";"1.633741e-02"
"1";" 37";"2.70";" -5.77";"série";"1.633741e-02"
"0";" 26";"0.00";" -5.62";"parole";"1.775669e-02"
"0";" 26";"0.00";" -5.62";"tamaran";"1.775669e-02"
"0";" 26";"0.00";" -5.62";"starfire";"1.775669e-02"
"0";" 26";"0.00";" -5.62";"raven";"1.775669e-02"
"0";" 26";"0.00";" -5.62";"prince";"1.775669e-02"
"0";" 26";"0.00";" -5.62";"conquérant";"1.775669e-02"
"0";" 26";"0.00";" -5.62";"animation";"1.775669e-02"
"0";" 25";"0.00";" -5.40";"affaire";"2.014340e-02"
"0";" 25";"0.00";" -5.40";"témoignage";"2.014340e-02"
"0";" 24";"0.00";" -5.18";"cnews";"2.285869e-02"
"0";" 24";"0.00";" -5.18";"bernard";"2.285869e-02"
"0";" 23";"0.00";" -4.96";"citation";"2.594982e-02"
"0";" 23";"0.00";" -4.96";"thierry";"2.594982e-02"
"0";" 23";"0.00";" -4.96";"écrivain";"2.594982e-02"
"2";" 42";"4.76";" -4.87";"film";"2.737303e-02"
"0";" 22";"0.00";" -4.74";"retour";"2.947137e-02"
"0";" 22";"0.00";" -4.74";"sophie";"2.947137e-02"
"0";" 22";"0.00";" -4.74";"montrer";"2.947137e-02"
"0";" 22";"0.00";" -4.74";"avocat";"2.947137e-02"
"0";" 22";"0.00";" -4.74";"françois";"2.947137e-02"
"9";" 96";"9.38";" -4.72";"nombreux";"2.973084e-02"
"0";" 21";"0.00";" -4.52";"frédéric";"3.348654e-02"
"0";" 21";"0.00";" -4.52";"mélenchon";"3.348654e-02"
"0";" 21";"0.00";" -4.52";"famille";"3.348654e-02"
"0";" 21";"0.00";" -4.52";"consacrer";"3.348654e-02"
"0";" 21";"0.00";" -4.52";"haut";"3.348654e-02"
"0";" 21";"0.00";" -4.52";"jaune";"3.348654e-02"
"0";" 21";"0.00";" -4.52";"gilet";"3.348654e-02"
"1";" 31";"3.23";" -4.47";"aller";"3.444011e-02"
"1";" 31";"3.23";" -4.47";"police";"3.444011e-02"
"1";" 31";"3.23";" -4.47";"manquer";"3.444011e-02"
"4";" 56";"7.14";" -4.34";"présenter";"3.732317e-02"
"0";" 20";"0.00";" -4.30";"pari";"3.806867e-02"
"0";" 20";"0.00";" -4.30";"lci";"3.806867e-02"
"1";" 30";"3.33";" -4.26";"claude";"3.902389e-02"
"0";" 19";"0.00";" -4.08";"parent";"4.330315e-02"
"0";" 19";"0.00";" -4.08";"inviter";"4.330315e-02"
"0";" 19";"0.00";" -4.08";"ministre";"4.330315e-02"
"0";" 19";"0.00";" -4.08";"bruno";"4.330315e-02"
"0";" 19";"0.00";" -4.08";"médecin";"4.330315e-02"
"2";" 38";"5.26";" -4.05";"émission";"4.418259e-02"
"2";" 38";"5.26";" -4.05";"enfant";"4.418259e-02"
"1";" 29";"3.45";" -4.05";"expliquer";"4.422869e-02"
"0";" 18";"0.00";" -3.87";"visuel";"4.928966e-02"
"0";" 18";"0.00";" -3.87";"expérience";"4.928966e-02"
"0";" 18";"0.00";" -3.87";"troisième";"4.928966e-02"
"0";" 18";"0.00";" -3.87";"jacques";"4.928966e-02"
"0";" 17";"0.00";" -3.65";"sy";"5.614511e-02"
"0";" 17";"0.00";" -3.65";"extrait";"5.614511e-02"
"0";" 17";"0.00";" -3.65";"bfm";"5.614511e-02"
"0";" 17";"0.00";" -3.65";"yves";"5.614511e-02"
"0";" 17";"0.00";" -3.65";"lrem";"5.614511e-02"
"1";" 27";"3.70";" -3.63";"président";"5.686194e-02"
"0";" 16";"0.00";" -3.43";"ex";"6.400710e-02"
"0";" 16";"0.00";" -3.43";"gens";"6.400710e-02"
