"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"petit";-20,599;-7,103;-10,225;-20,99;2,558;-9,986;502,698
"ancien";52,641;-7,615;-3,195;-30,703;-5,782;141,363;-9,461
"fille";-30,187;-25,2;-12,118;-18,771;-7,184;-9,9;982,323
"monde";51,256;1,662;-2,939;-3,211;-4,796;-5,069;-6,57
"extraire";-13,234;-12,296;193,437;0;-7,026;-0,074;-6,671
"nouveau";4,739;0,142;-0,958;0,044;0,196;-1,598;-4,491
"aventure";-24,517;-24,11;-13,585;-46,312;-8,712;-8,04;1209,502
"nombreux";-4,725;-16,667;-12,197;-30,229;-7,623;-5,087;711,121
"vie";1,21;14,338;-1,4;1,05;-5,616;-5,696;-7,382
"île";-14,219;-15,84;-10,562;-29,765;-8,532;-6,251;827,56
"terre";76,796;4,872;-5,356;-19,083;-1,132;-4,452;-5,769
"provoquer";-13,985;-15,584;-8,171;-37,902;-6,241;-6,171;838,784
"incident";-11,61;-15,327;-10,293;-37,414;-8,315;-6,092;850,283
"prendre";0,236;1,368;-2,124;-0,004;6,298;-2,426;-3,144
"tropical";-17,369;-18,938;-9,624;-34,982;-7,774;-5,696;912,256
"prétexte";-17,369;-18,938;-9,624;-34,982;-7,774;-5,696;912,256
"fatou";-17,369;-18,938;-9,624;-34,982;-7,774;-5,696;912,256
"homme";29,25;0,352;-0,314;-4,016;-0,315;-2,416;-5,67
"présenter";-4,336;-3,712;0,896;36,632;-1,916;-4,069;-5,274
"jeune";-0,017;-2,64;-0,185;5,316;5,46;-2,573;-3,335
"humour";-8,07;-6,445;0,004;-3,401;-3,612;-2,647;193,678
"super";-1,704;0,206;-0,944;-1,162;29,532;-0,559;-0,724
"planète";-0,078;0,942;-2,34;-22,204;-1,427;-3,615;131,646
"invité";-5,766;-0,161;7,76;0;-0,509;14,384;-3,43
"voir";-7,2;22,07;-1,378;0,126;1,452;-1,933;-4,979
"tenter";-0,277;1,662;-1,901;-0,959;17,061;-1,125;-1,458
"sauver";-0,39;0,837;-1,182;0;5,811;-0,7;-0,907
"tête";-1,704;0,206;0,034;1,554;0,151;-0,559;-0,724
"film";-4,867;-2,428;11,394;15,407;-2,163;-3,017;-3,91
"venir";20,918;-1,633;-0,096;-2,982;5,238;-3,166;-4,103
"grand";1,194;-2,109;3,892;0,402;0,243;-1,532;-4,393
"city";0,525;-0,694;-0,353;-1,282;12,803;-0,209;-0,271
"premier";-0,019;-1,337;3,382;4,887;-4,118;0,03;-3,91
"titan";-0,636;0,42;-0,353;-1,282;12,803;-0,209;-0,271
"parler";-8,869;5,561;-4,124;24,223;-1,506;-3,691;-4,783
"christophe";-5,766;-6,445;-4,472;-3,401;-3,612;324,682;-3,43
"phénomène";-0,077;44,9;-0,282;-5,235;-1,798;-2,72;-3,526
"passer";28,831;1,816;-0,456;-4,707;-2,071;-2,942;-3,813
"parent";-4,084;-4,452;-2,263;17,661;7,614;-1,339;-1,736
"année";0,259;-1,906;0,231;5,083;-1,889;0,096;-3,621
"gasnier";-0,636;0,42;1,669;0,017;-0,285;-0,209;-0,271
"étrange";1,127;27,713;-3,359;-3,327;-0,936;-1,988;-2,577
"reportage";-7,083;0,139;-0,587;29,972;-2,256;-3,091;-4,006
"découvrir";11,503;5,128;-4,846;-1,928;0,095;-2,868;-3,717
