petit;4;13;3;16;16;0;77
ancien;43;8;5;5;2;34;0
fille;0;3;2;17;3;0;103
monde;34;17;3;14;1;0;0
extraire;1;2;42;21;0;4;0
nouveau;14;10;3;15;5;1;0
aventure;0;1;0;1;1;0;103
nombreux;9;3;0;5;1;1;77
vie;17;27;5;27;1;0;0
île;2;2;0;3;0;0;77
terre;36;18;1;3;3;0;0
provoquer;2;2;1;0;1;0;77
incident;3;2;0;0;0;0;77
prendre;7;9;1;10;7;0;0
tropical;0;0;0;0;0;0;77
prétexte;0;0;0;0;0;0;77
fatou;0;0;0;0;0;0;77
homme;26;13;5;11;4;1;0
présenter;4;5;8;37;2;0;0
jeune;6;3;3;17;7;0;0
humour;0;1;4;6;0;0;26
super;0;2;0;1;5;0;0
planète;8;12;2;0;2;0;26
invité;1;6;9;11;2;8;0
voir;2;23;3;17;7;1;0
tenter;2;5;0;3;6;0;0
sauver;1;3;0;3;3;0;0
tête;0;2;1;4;1;0;0
film;2;4;11;24;1;0;0
venir;19;5;4;8;8;0;0
grand;11;5;9;16;5;1;0
city;1;0;0;0;2;0;0
premier;7;5;8;19;0;3;0
titan;0;1;0;0;2;0;0
parler;1;16;1;31;2;0;0
christophe;1;1;0;6;0;29;0
phénomène;6;23;3;5;1;0;0
passer;20;11;3;6;1;0;0
parent;0;0;0;14;5;0;0
année;8;4;5;18;1;3;0
gasnier;0;1;1;1;0;0;0
étrange;7;16;0;4;1;0;0
reportage;1;9;3;29;1;0;0
découvrir;15;13;0;8;4;0;0
émission;2;1;10;24;1;0;0
côté;3;3;0;7;3;1;26
univers;4;6;0;5;0;0;0
rendre;5;20;1;4;5;1;0
image;7;5;2;24;1;0;0
eric;0;2;10;3;0;15;0
enfant;2;5;1;21;9;0;0
dettinger;0;0;0;0;0;27;0
spécialiste;2;7;1;6;0;0;0
espace;4;9;1;2;2;0;0
propre;2;6;0;5;1;0;0
livre;4;2;0;17;0;1;0
astronaute;32;3;1;1;1;0;0
aller;1;15;4;5;5;1;0
évoquer;8;5;1;18;0;3;0
série;1;1;2;7;0;0;26
recherche;2;14;0;1;3;0;0
quitter;1;2;0;5;0;1;0
scientifique;15;13;0;4;0;0;0
preuve;21;5;0;2;0;0;0
humain;19;6;2;2;5;0;0
histoire;12;3;1;12;1;0;0
donner;5;11;0;15;4;0;0
plateau;0;10;3;21;0;2;0
courir;1;0;0;7;1;0;0
lointain;8;0;0;0;0;0;26
expliquer;1;14;0;11;3;0;0
débat;0;2;8;6;1;14;0
dernier;7;7;2;15;1;0;0
retrouver;3;2;0;6;17;0;0
posséder;6;1;1;3;0;0;0
