"";"V1";"V2";"V3";"V4";"V5"
"1";"danger";"0.281030113644961";"-0.508092983777131";"0.9";"118"
"2";"théoricien";"0.247939084006249";"-0.649888395684889";"0.9";"122"
"3";"visiteur";"0.251275881961524";"-0.635537783396933";"0.9";"124"
"4";"témoignage";"0.299694773876088";"-0.371131937602473";"0.9";"125"
"5";"connaître";"0.283902857754387";"-0.526259173224294";"0.9";"131"
"6";"culture";"0.288822477434019";"-0.481218969359102";"0.9";"138"
"7";"sophie";"0.296945266554327";"-0.474532336014606";"0.9";"142"
"8";"rencontre";"0.278795526968705";"-0.551370906119334";"0.9";"143"
"9";"penser";"0.276200122671788";"-0.56395147204922";"0.9";"144"
"10";"mettre";"0.257479428918101";"-0.588411531260867";"0.9";"145"
"11";"découverte";"0.29190768468552";"-0.454210203125558";"0.9";"148"
"12";"humanité";"0.251186700308615";"-0.639555619956762";"0.9";"157"
"13";"affirmer";"0.27162219879711";"-0.583188224221781";"0.9";"161"
"14";"famille";"0.288956180497711";"-0.496926398409552";"0.9";"164"
"15";"consacrer";"0.296105546445537";"-0.480290190255552";"0.9";"167"
"16";"semaine";"0.31053875170745";"-0.382022350007844";"0.9";"170"
"17";"enquête";"0.284896623011598";"-0.480775031133973";"0.9";"175"
"18";"réalité";"0.265862101094572";"-0.577112610947598";"0.9";"180"
"19";"professeur";"0.29302643261114";"-0.494737433693124";"0.9";"182"
"20";"pari";"0.318633298449103";"-0.265476555501508";"0.9";"183"
"21";"information";"0.31461934907292";"-0.357146654979763";"0.9";"186"
"22";"désert";"0.264582033095807";"-0.59232674232162";"0.9";"189"
"23";"agir";"0.275659684389456";"-0.580461914714889";"0.9";"191"
"24";"permettre";"0.276234763913649";"-0.551663128640572";"0.9";"193"
"25";"partie";"0.283831565417621";"-0.509213211586863";"0.9";"194"
"26";"maison";"0.278967133113505";"-0.54374497075018";"0.9";"195"
"27";"contact";"0.257183541328847";"-0.61889420787803";"0.9";"196"
"28";"vidéo";"0.3532064723097";"-0.0342286771098983";"0.9";"199"
"29";"utiliser";"0.280114177475929";"-0.522108279635441";"0.9";"200"
"30";"système";"0.283655783093484";"-0.565656637914802";"0.9";"201"
"31";"mystérieux";"0.254805194633827";"-0.62999918132346";"0.9";"206"
"32";"iran";"0.307394229483308";"-0.36066807652547";"0.9";"207"
"33";"giorgio";"0.245306647030146";"-0.655084832735878";"0.9";"208"
"34";"expérience";"0.278157020946539";"-0.552982594666667";"0.9";"210"
"35";"décider";"0.270947460298491";"-0.58924673591899";"0.9";"211"
"36";"cours";"0.287205507156605";"-0.509091277198567";"0.9";"212"
"37";"cacher";"0.26373108519059";"-0.600743268500943";"0.9";"214"
"38";"yves";"0.299526664136532";"-0.459589421852749";"0.9";"216"
"39";"tomber";"0.256220356899485";"-0.573337565980864";"0.9";"219"
"40";"sortir";"0.29126732104121";"-0.49602662572581";"0.9";"221"
"41";"seul";"0.268142742780368";"-0.565299700474051";"0.9";"222"
"42";"sentir";"0.290587452218158";"-0.326416396481283";"0.9";"223"
"43";"jacques";"0.293026572713309";"-0.501402322472356";"0.9";"226"
"44";"incroyable";"0.25507811588242";"-0.626644658494424";"0.9";"227"
"45";"gouvernement";"0.283232344927988";"-0.516967888029471";"0.9";"228"
"46";"étude";"0.282003343497511";"-0.563638978455162";"0.9";"229"
"47";"voix";"0.305711236672905";"-0.40334594471371";"0.9";"230"
"48";"valentin";"0.281030113644961";"-0.508092983777131";"0.9";"231"
"49";"université";"0.277166120866423";"-0.552779774394802";"0.9";"232"
"50";"frère";"0.288554023719087";"-0.4476390898941";"0.9";"235"
"51";"corps";"0.277389156586253";"-0.543853926700704";"0.9";"236"
"52";"commenter";"0.30771316830707";"-0.409487417313434";"0.9";"237"
"53";"album";"0.297711967523221";"-0.469275164751133";"0.9";"239"
"54";"technologie";"0.252414226865624";"-0.641054452698209";"0.9";"242"
"55";"sembler";"0.270604082637691";"-0.560340501700393";"0.9";"243"
"56";"secret";"0.263412705027169";"-0.610100852512171";"0.9";"244"
"57";"scientologie";"0.303583302528462";"-0.43327760430883";"0.9";"245"
"58";"père";"0.284865497813988";"-0.505045790830394";"0.9";"246"
"59";"proposer";"0.29978673794324";"-0.446002217274206";"0.9";"247"
"60";"persuader";"0.27835887481629";"-0.501131995019858";"0.9";"248"
"61";"mars";"0.289648170895562";"-0.52769265014414";"0.9";"249"
"62";"lune";"0.261296323333867";"-0.608546365795316";"0.9";"250"
"63";"exister";"0.266481062785621";"-0.559135770131525";"0.9";"253"
"64";"continuer";"0.270285789184083";"-0.550628640628025";"0.9";"254"
"65";"chercher";"0.280789696961203";"-0.513647809303821";"0.9";"256"
"66";"blanc";"0.312252819810028";"-0.362058732193988";"0.9";"257"
"67";"arriver";"0.279288673052394";"-0.581140776913531";"0.9";"258"
"68";"apparition";"0.303052519024162";"-0.394660338907317";"0.9";"259"
"69";"époque";"0.279421915343575";"-0.553705121881555";"0.9";"262"
"70";"soucoupe";"0.276696138868328";"-0.513803876008894";"0.9";"263"
"71";"mort";"0.280973015971907";"-0.531736044937256";"0.9";"267"
"72";"millier";"0.264346565492299";"-0.587181234040949";"0.9";"268"
"73";"marier";"0.301825279846725";"-0.447320814181463";"0.9";"269"
"74";"lieu";"0.274648242827153";"-0.570426363743783";"0.9";"270"
"75";"etats";"0.280443866975087";"-0.549118791346544";"0.9";"274"
"76";"créer";"0.290080347686443";"-0.451245102370272";"0.9";"278"
"77";"construire";"0.289227232156533";"-0.435091424830165";"0.9";"279"
"78";"commencer";"0.305280982165626";"-0.32576865171945";"0.9";"280"
"79";"chanson";"0.297711967523221";"-0.469275164751133";"0.9";"281"
