"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"218";"1248";"17.47";"****";""
"32";"38";" 84.21";"121.10";"astronaute";"3.628334e-28"
"25";"27";" 92.59";"108.03";"théoricien";"2.641227e-25"
"36";"61";" 59.02";" 76.80";"terre";"1.895595e-18"
"18";"21";" 85.71";" 69.01";"humanité";"9.819117e-17"
"21";"28";" 75.00";" 65.76";"preuve";"5.090743e-16"
"13";"13";"100.00";" 62.07";"giorgio";"3.317043e-15"
"13";"13";"100.00";" 62.07";"tsoukalos";"3.317043e-15"
"14";"16";" 87.50";" 55.14";"possible";"1.123430e-13"
"43";"97";" 44.33";" 52.64";"ancien";"4.005077e-13"
"18";"25";" 72.00";" 52.62";"visiteur";"4.043368e-13"
"34";"69";" 49.28";" 51.26";"monde";"8.108560e-13"
"12";"13";" 92.31";" 51.04";"suggérer";"9.060933e-13"
"10";"10";"100.00";" 47.63";"dieu";"5.149173e-12"
"14";"18";" 77.78";" 46.08";"incroyable";"1.136373e-11"
"10";"11";" 90.91";" 41.52";"antique";"1.167024e-10"
"12";"15";" 80.00";" 41.18";"technologie";"1.388546e-10"
"19";"34";" 55.88";" 35.78";"humain";"2.212954e-09"
"12";"17";" 70.59";" 33.73";"entier";"6.320204e-09"
" 7";" 7";"100.00";" 33.26";"représenter";"8.062621e-09"
"10";"13";" 76.92";" 32.21";"mystérieux";"1.383010e-08"
"12";"18";" 66.67";" 30.66";"contact";"3.068473e-08"
"26";"60";" 43.33";" 29.25";"homme";"6.362317e-08"
"20";"41";" 48.78";" 28.83";"passer";"7.896741e-08"
" 6";" 6";"100.00";" 28.49";"tradition";"9.439925e-08"
" 9";"12";" 75.00";" 27.82";"théorie";"1.332511e-07"
" 9";"12";" 75.00";" 27.82";"légende";"1.332511e-07"
" 7";" 8";" 87.50";" 27.39";"structure";"1.661805e-07"
" 7";" 8";" 87.50";" 27.39";"intelligent";"1.661805e-07"
" 9";"13";" 69.23";" 24.42";"ville";"7.764903e-07"
" 5";" 5";"100.00";" 23.72";"code";"1.114835e-06"
" 5";" 5";"100.00";" 23.72";"capacité";"1.114835e-06"
" 5";" 5";"100.00";" 23.72";"divin";"1.114835e-06"
" 5";" 5";"100.00";" 23.72";"avancé";"1.114835e-06"
" 8";"11";" 72.73";" 23.51";"apporter";"1.245058e-06"
" 7";" 9";" 77.78";" 22.87";"siècle";"1.731878e-06"
" 6";" 7";" 85.71";" 22.74";"énergie";"1.852419e-06"
" 6";" 7";" 85.71";" 22.74";"visiter";"1.852419e-06"
"11";"19";" 57.89";" 21.87";"volant";"2.914425e-06"
"19";"44";" 43.18";" 20.92";"venir";"4.794781e-06"
"11";"20";" 55.00";" 19.86";"laisser";"8.331170e-06"
"15";"32";" 46.88";" 19.70";"scientifique";"9.059454e-06"
" 7";"10";" 70.00";" 19.30";"chine";"1.119124e-05"
" 4";" 4";"100.00";" 18.96";"xxe";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"sol";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"partisan";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"egypte";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"céleste";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"continent";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"prêt";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"neil";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"indice";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"identique";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"géoglyphes";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"globe";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"gigantesque";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"disséminer";"1.334982e-05"
" 4";" 4";"100.00";" 18.96";"coin";"1.334982e-05"
" 6";" 8";" 75.00";" 18.49";"exister";"1.711757e-05"
" 6";" 8";" 75.00";" 18.49";"connaissance";"1.711757e-05"
" 5";" 6";" 83.33";" 18.14";"prétendre";"2.049885e-05"
" 5";" 6";" 83.33";" 18.14";"savant";"2.049885e-05"
" 5";" 6";" 83.33";" 18.14";"présent";"2.049885e-05"
" 5";" 6";" 83.33";" 18.14";"attirer";"2.049885e-05"
" 5";" 6";" 83.33";" 18.14";"armstrong";"2.049885e-05"
" 8";"13";" 61.54";" 17.70";"soucoupe";"2.589073e-05"
" 8";"13";" 61.54";" 17.70";"construire";"2.589073e-05"
"10";"19";" 52.63";" 16.55";"visite";"4.744004e-05"
" 7";"11";" 63.64";" 16.41";"lune";"5.106180e-05"
" 7";"11";" 63.64";" 16.41";"explorer";"5.106180e-05"
" 8";"14";" 57.14";" 15.46";"vaisseau";"8.429323e-05"
" 6";" 9";" 66.67";" 15.22";"base";"9.565953e-05"
" 6";" 9";" 66.67";" 15.22";"récit";"9.565953e-05"
" 6";" 9";" 66.67";" 15.22";"puissant";"9.565953e-05"
" 6";" 9";" 66.67";" 15.22";"militaire";"9.565953e-05"
" 5";" 7";" 71.43";" 14.22";"peuple";"1.628293e-04"
" 3";" 3";"100.00";" 14.21";"éternel";"1.636326e-04"
" 3";" 3";"100.00";" 14.21";"signaler";"1.636326e-04"
" 3";" 3";"100.00";" 14.21";"russie";"1.636326e-04"
" 3";" 3";"100.00";" 14.21";"nourriture";"1.636326e-04"
" 3";" 3";"100.00";" 14.21";"enseigner";"1.636326e-04"
" 3";" 3";"100.00";" 14.21";"pied";"1.636326e-04"
" 3";" 3";"100.00";" 14.21";"hybride";"1.636326e-04"
