"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"petit";0;0,008;0,001;0;0,11;0,002;0
"ancien";0;0,006;0,074;0;0,016;0;0,002
"fille";0;0;0;0;0,007;0,002;0
"monde";0;0,197;0,086;0,073;0,029;0,024;0,01
"extraire";0;0;0;0,983;0,008;0,786;0,01
"nouveau";0,029;0,706;0,328;0,833;0,658;0,206;0,034
"aventure";0;0;0;0;0,003;0,005;0
"nombreux";0,03;0;0;0;0,006;0,024;0
"vie";0,271;0;0,237;0,306;0,018;0,017;0,007
"île";0;0;0,001;0;0,003;0,012;0
"terre";0;0,027;0,021;0;0,287;0,035;0,016
"provoquer";0;0;0,004;0;0,012;0,013;0
"incident";0,001;0;0,001;0;0,004;0,014;0
"prendre";0,627;0,242;0,145;0,951;0,012;0,119;0,076
"tropical";0;0;0,002;0;0,005;0,017;0
"prétexte";0;0;0,002;0;0,005;0,017;0
"fatou";0;0;0,002;0;0,005;0,017;0
"homme";0;0,553;0,575;0,045;0,575;0,12;0,017
"présenter";0,037;0,054;0,344;0;0,166;0,044;0,022
"jeune";0,898;0,104;0,667;0,021;0,019;0,109;0,068
"humour";0,004;0,011;0,95;0,065;0,057;0,104;0
"super";0,192;0,65;0,331;0,281;0;0,455;0,395
"planète";0,78;0,332;0,126;0;0,232;0,057;0
"invité";0,016;0,689;0,005;0,983;0,476;0;0,064
"voir";0,007;0;0,24;0,722;0,228;0,164;0,026
"tenter";0,598;0,197;0,168;0,327;0;0,289;0,227
"sauver";0,532;0,36;0,277;0,994;0,016;0,403;0,341
"tête";0,192;0,65;0,853;0,213;0,698;0,455;0,395
"film";0,027;0,119;0,001;0;0,141;0,082;0,048
"venir";0;0,201;0,757;0,084;0,022;0,075;0,043
"grand";0,275;0,146;0,049;0,526;0,622;0,216;0,036
"city";0,469;0,405;0,553;0,258;0;0,648;0,603
"premier";0,889;0,248;0,066;0,027;0,042;0,861;0,048
"titan";0,425;0,517;0,553;0,258;0;0,648;0,603
"parler";0,003;0,018;0,042;0;0,22;0,055;0,029
"christophe";0,016;0,011;0,034;0,065;0,057;0;0,064
"phénomène";0,782;0;0,595;0,022;0,18;0,099;0,06
"passer";0;0,178;0,499;0,03;0,15;0,086;0,051
"parent";0,043;0,035;0,133;0;0,006;0,247;0,188
"année";0,611;0,167;0,631;0,024;0,169;0,757;0,057
"gasnier";0,425;0,517;0,196;0,896;0,594;0,648;0,603
"étrange";0,288;0;0,067;0,068;0,333;0,159;0,108
"reportage";0,008;0,709;0,443;0;0,133;0,079;0,045
"découvrir";0,001;0,024;0,028;0,165;0,758;0,09;0,054
"émission";0,044;0,01;0,001;0;0,18;0,099;0,06
"côté";0,065;0,044;0,022;0,047;0,691;0,259;0
"univers";0,345;0,034;0,182;0,769;0,23;0,305;0,243
"rendre";0,566;0;0,125;0,013;0,257;0,359;0,068
"image";0,936;0,335;0,266;0;0,169;0,095;0,057
"eric";0,011;0,086;0;0,016;0,088;0;0,096
"enfant";0,044;0,37;0,108;0,001;0,001;0,099;0,06
"dettinger";0,016;0,012;0,072;0,001;0,106;0;0,115
"spécialiste";0,598;0,01;0,577;0,503;0,215;0,289;0,227
"espace";0,593;0,001;0,491;0,08;0,709;0,26;0,2
"propre";0,752;0,02;0,198;0,632;0,84;0,322;0,259
"livre";0,917;0,187;0,09;0;0,128;0,641;0,138
"astronaute";0;0,082;0,108;0;0,18;0,099;0,06
"aller";0,034;0;0,658;0,09;0,134;0,455;0,091
"évoquer";0,394;0,492;0,135;0,005;0,065;0,612;0,072
"série";0,016;0,011;0,305;0,139;0,057;0,104;0
"recherche";0,375;0;0,123;0,014;0,309;0,235;0,176
"quitter";0,614;0,789;0,302;0,091;0,354;0,572;0,367
"scientifique";0;0,001;0,05;0,029;0,078;0,131;0,086
"preuve";0;0,903;0,067;0,008;0,1;0,159;0,108
"humain";0;0,867;0,373;0,002;0,203;0,119;0,076
"histoire";0,001;0,241;0,21;0,171;0,313;0,151;0,102
"donner";0,615;0,051;0,04;0,089;0,554;0,114;0,072
"plateau";0,005;0,159;0,667;0;0,061;0,817;0,068
"courir";0,614;0,148;0,302;0,002;0,792;0,428;0,367
"lointain";0,345;0,005;0,043;0;0,069;0,119;0
"expliquer";0,044;0;0,062;0,338;0,743;0,151;0,102
"débat";0,009;0,076;0,005;0,195;0,276;0;0,091
"dernier";0,506;0,646;0,427;0,033;0,26;0,131;0,086
"retrouver";0,341;0,111;0,067;0,323;0;0,159;0,108
"posséder";0,001;0,41;0,879;0,849;0,305;0,38;0,318
"origine";0,015;0;0,046;0,024;0,073;0,125;0,081
"comprendre";0,453;0,359;0,05;0,074;0,155;0;0,086
"terrien";0,722;0,005;0,046;0;0,591;0,125;0
"robot";0,192;0,173;0,331;0,043;0,382;0,455;0,395
"naître";0,007;0,051;0,043;0,114;0,069;0,119;0
"inviter";0,043;0,129;0,023;0;0,176;0,247;0,188
"frédéric";0,033;0,026;0,113;0;0,155;0,223;0,166
"voler";0,881;0,943;0,487;0,628;0,366;0,555;0,502
"vivre";0,247;0;0,053;0,916;0,134;0,137;0,091
"président";0,057;0,127;0,044;0,192;0,355;0;0,115
"police";0,034;0,007;0,053;0,001;0,276;0;0,091
"membre";0,009;0,19;0,181;0;0,083;0;0,091
"général";0,007;0,15;0,046;0,008;0,073;0;0,081
"trouver";0,02;0;0,078;0,23;0,113;0,175;0,122
"revenir";0,001;0,127;0,244;0,036;0,106;0,166;0,115
"politique";0,016;0,012;0;0,412;0,106;0,552;0,115
"luc";0,016;0,127;0,169;0,031;0,106;0;0,115
"citation";0,026;0,479;0,276;0,075;0,136;0;0,147
"cas";0,144;0,197;0,792;0,077;0,215;0,289;0,227
"américain";0,007;0,596;0,459;0,192;0,25;0,166;0,115
"acteur";0,109;0,094;0;0,126;0,968;0,359;0,296
"témoin";0,956;0,903;0,067;0,068;0,1;0;0,108
"thierry";0,026;0,074;0,776;0,688;0,136;0;0,147
"sujet";0,011;0,029;0;0,015;0,294;0,477;0,096
"question";0,199;0,281;0,637;0,334;0,113;0,175;0,122
"manquer";0,034;0,076;0,053;0,004;0,083;0,137;0
"grandir";0,357;0,748;0,493;0,048;0,538;0,598;0,548
"forme";0,092;0,003;0,072;0,084;0,646;0,552;0,115
"député";0,014;0,01;0,227;0,002;0,333;0;0,108
"claude";0,039;0,086;0,195;0,103;0,088;0;0,096
"unir";0,832;0,084;0,277;0,483;0,328;0,403;0,341
"raconter";0,129;0,002;0,062;0,338;0,319;0,151;0,102
"porte";0,146;0,111;0,508;0,025;0,774;0;0,108
"intervenir";0,357;0,109;0,493;0,379;0,538;0,598;0,548
"figure";0,276;0,008;0,195;0;0,088;0,144;0
"david";0,18;0,403;0,143;0;0,638;0,26;0,2
"édition";0,222;0,202;0,364;0;0,414;0,485;0,426
"visuel";0,049;0,04;0;0,023;0,188;0;0,2
"site";0,003;0,026;0,284;0,125;0,403;0,183;0,13
"secrétaire";0,012;0,009;0,062;0,006;0,094;0;0,102
"retour";0,029;0,023;0;0,459;0,145;0,17;0,156
"recevoir";0,884;0,043;0,596;0;0,816;0,166;0,115
"danger";0,425;0,405;0,553;0,164;0,128;0,648;0,603
"cirque";0,425;0,517;0,553;0,896;0,128;0,648;0,603
"affaire";0,02;0,164;0,364;0,5;0,042;0,006;0,13
"adopter";0,425;0,405;0,553;0,008;0,594;0,648;0,603
"théoricien";0;0,127;0,072;0,001;0,106;0,166;0,115
"ciel";0,001;0,002;0,123;0,05;0,165;0,235;0,176
"visiteur";0;0,722;0,084;0,001;0,548;0,183;0,13
"témoignage";0,02;0,006;0,284;0,816;0,042;0,61;0,13
"rythmé";0,016;0,012;0,072;0,003;0,106;0,166;0
"parole";0,018;0,049;0,034;0,039;0,378;0;0,122
"objet";0,633;0;0,105;0,002;0,489;0,212;0,156
"femme";0,073;0,164;0,084;0,001;0,001;0,183;0,13
"créature";0,295;0,084;0,277;0,168;0,2;0,403;0,341
"connaître";0,185;0,002;0,264;0,595;0,597;0,175;0,122
"tamaran";0,018;0,013;0,078;0,001;0,113;0,175;0
"starfire";0,018;0,013;0,078;0,001;0,113;0,175;0
"raven";0,018;0,013;0,078;0,001;0,113;0,175;0
"prince";0,018;0,013;0,078;0,001;0,113;0,175;0
"partir";0,263;0,074;0;0,688;0,994;0,674;0,147
"mélenchon";0,033;0,026;0,568;0,011;0,155;0;0,166
"culture";0,272;0,711;0,688;0,605;0,458;0,202;0,147
"conquérant";0,018;0,013;0,078;0,001;0,113;0,175;0
"animation";0,018;0,013;0,078;0,001;0,113;0,175;0
"temps";0,161;0,497;0,681;0,516;0,187;0,183;0,13
"sophie";0,029;0,085;0,105;0;0,145;0,212;0,156
"rencontre";0,512;0;0,358;0,226;0,489;0,212;0,156
"penser";0,326;0,017;0,09;0,71;0,43;0,192;0,138
"mettre";0,326;0,428;0,09;0,06;0;0,192;0,138
"jour";0,122;0,001;0,387;0,728;0,886;0,223;0,166
"identifier";0,941;0;0,233;0,023;0,284;0,359;0,296
"découverte";0,074;0,113;0,059;0,032;0,489;0,212;0,156
"devenir";0,586;0,011;0,332;0,954;0,458;0,202;0,147
"voyage";0,083;0,003;0,198;0,062;0,247;0;0,259
"vaisseau";0;0,796;0,198;0,014;0,087;0,322;0,259
"sy";0,056;0,046;0,078;0,1;0,201;0;0,213
"pierre";0,094;0;0,076;0,075;0,458;0,202;0,147
"photo";0,334;0,001;0,113;0,19;0,155;0,223;0,166
"montrer";0,029;0,113;0,828;0,038;0,489;0,709;0,156
"ministre";0,043;0,355;0;0,063;0,176;0,009;0,188
"humanité";0;0,275;0,113;0,011;0,155;0,223;0,166
"cnews";0,023;0,017;0;0,005;0,128;0;0,138
"bernard";0,023;0,792;0,09;0,938;0,128;0;0,138
"avocat";0,029;0,023;0,358;0,787;0,145;0;0,156
"affirmer";0,272;0;0,097;0,186;0,994;0,202;0,147
"écrivain";0,026;0,212;0,688;0,688;0,458;0;0,147
"françois";0,029;0,301;0;0,787;0,489;0,212;0,156
"famille";0,033;0,275;0,113;0;0,355;0,223;0,166
"extrait";0,056;0,046;0;0,037;0,201;0,918;0,213
"entier";0;0,907;0,155;0,1;0,201;0,274;0,213
"consacrer";0,033;0,275;0,113;0;0,155;0,223;0,166
"équipe";0,158;0,395;0;0,176;0,596;0,247;0,188
"volant";0;0,395;0,997;0,018;0,176;0,247;0,188
"semaine";0,139;0,112;0,162;0;0,165;0,235;0,176
"laisser";0;0,312;0,123;0,05;0,009;0,235;0,176
"jeu";0,144;0,197;0,792;0,503;0,582;0,289;0,227
"haut";0,033;0,098;0,883;0,04;0,886;0;0,166
"fois";0,158;0,009;0,453;0,241;0,176;0,827;0,188
"enquête";0,037;0,312;0,508;0,991;0,829;0,235;0,176
"déclaration";0,095;0,305;0;0,018;0,265;0,191;0,277
"anne";0,166;0,556;0,025;0,338;0,354;0,572;0,367
"ami";0,402;0,577;0,806;0,71;0,002;0,359;0,296
"visite";0;0,739;0,453;0,397;0,596;0,247;0,188
"réalité";0,071;0,667;0,198;0,914;0,087;0,322;0,259
"rester";0,271;0,102;0,198;0,487;0,451;0,322;0,259
"professeur";0,158;0,042;0,453;0,029;0,176;0,247;0,188
"pari";0,038;0,03;0,419;0;0,558;0,785;0,176
"lci";0,038;0,03;0;0,014;0,165;0;0,176
"jaune";0,033;0,098;0,113;0,011;0,155;0;0,166
