"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"devenir";-0,383338293528521;-0,112833909255815;-0,514140458439322;-0,116685732591592;-1,05411532669967;-1,64806401693258;-0,185621072702024;-0,0546367311244603;-0,248958439650164;-0,0565018711105141;-0,51042648490081;-0,798029875619173;0,228601966128318;0,0110880324152571;0,0981805952973707;0,00345251748012712;0,192712550269403;0,465964338409529;0,000280371379236355;2,42911758336822e-05;0,00050435093300045;2,59779443456396e-05;0,00212004716855521;0,00518223880773095;0,00190796000915821;0,672021265173276;0,00086165874388516
"commenter";-0,835171650680268;0,97670512639297;0,309541182274238;0,140953331859962;0,156860840538421;0,0668135982726824;-0,623155275096889;0,72875911344716;0,230961168805004;0,105170969607832;0,117040203840768;0,0498523221877964;0,553177902652192;0,423545367059986;0,0181424844068943;0,00256831831285419;0,00217550758991555;0,000390419978190158;0,000904960594039538;0,00123767071408679;0,000124312572685909;2,57767923346728e-05;3,19232615435504e-05;5,79172460813842e-06;0,00129741280622758;0,941204779197689;0,00114933445917253
"accidentellement";1,89870947690592;0,242378415022072;0,2966460320585;0,224091368307485;0,12756967292894;0,0736719082006911;0,970986230940983;0,123950560381277;0,151702625438759;0,11459869756055;0,0652382038464872;0,0376752785721539;0,982423994784455;0,00896250628832692;0,00572539641102943;0,00223057588515129;0,000494418828284637;0,000163107802755113;0,00715351748607199;0,000116570991206892;0,000174614254501821;9,9644392513008e-05;3,2292189401749e-05;1,07697703965663e-05;0,00198427840952454;1,60564610024606;0,00511566697551096
"évolution";0,397811653223074;-0,884656918635786;0,762312359394892;0,179747143133234;0,133123620642138;0,118144383569899;0,315884627831003;-0,702466906731576;0,605318506854797;0,142729251273312;0,105707575485419;0,0938132262640721;0,212731332178681;0,588960109244369;0,186504334382603;0,00707921776311337;0,00265585824823735;0,00206914818299848;0,000144932407638015;0,000716737721459357;0,00053220190791685;2,95892868484098e-05;1,62300832232666e-05;1,27831141287749e-05;0,00091582080439594;0,722940512045882;0,000478647317979543
"chine";-0,407437955845976;-2,05943768565061;1,18300773988386;0,156439718611817;0,132181288824929;0,159976742754473;-0,168105588327339;-0,849707246962197;0,48809937624994;0,0645457561272091;0,0545369252053204;0,0660051035343367;0,0575745590261108;0,823501944563388;0,115885573148821;0,00138352345065598;0,000675562925748024;0,000978836885277956;0,000139362174044373;0,00356056776248625;0,0011748897534058;2,05454660118134e-05;1,46676962733429e-05;2,14850141529147e-05;0,000839502404029612;1,42326891909939;0,00170057533212377
"substance";-0,308344885917094;-3,29628751602949;1,54524088947114;0,160480134939093;0,122793793618223;0,198376950898907;-0,0841438352668438;-0,89951961718449;0,421678778503272;0,0437932155020292;0,033509038787109;0,0541348283676886;0,0140681864520351;0,900066200615283;0,0843535857786266;0,000621143576739794;0,000248734279163963;0,000642149298151712;7,25609163330729e-05;0,00829238448319613;0,00182230741547246;1,96549444478894e-05;1,15075293834654e-05;3,00338965488417e-05;0,000763184003663283;2,17900628723394;0,00362364985103034
"karim";-0,835171650680257;0,976705126392954;0,309541182274224;0,140953331859962;0,156860840538417;0,0668135982726858;-0,623155275096891;0,72875911344716;0,230961168804997;0,105170969607834;0,117040203840767;0,0498523221877997;0,553177902652176;0,423545367059972;0,0181424844068927;0,0025683183128542;0,00217550758991544;0,000390419978190197;0,000745261665679599;0,00101925823513027;0,000102375059858974;2,12279466285541e-05;2,62897448005695e-05;4,76965555964388e-06;0,0010684576051286;0,941204779197689;0,000946510731083263
"vigi";-0,835171650680257;0,976705126392954;0,309541182274224;0,140953331859962;0,156860840538417;0,0668135982726858;-0,623155275096891;0,72875911344716;0,230961168804997;0,105170969607834;0,117040203840767;0,0498523221877997;0,553177902652176;0,423545367059972;0,0181424844068927;0,0025683183128542;0,00217550758991544;0,000390419978190197;0,000745261665679599;0,00101925823513027;0,000102375059858974;2,12279466285541e-05;2,62897448005695e-05;4,76965555964388e-06;0,0010684576051286;0,941204779197689;0,000946510731083263
"rythmé";1,79745462032865;0,269575700628403;0,29712363021464;0,221012181772392;0,12865453098855;0,073417896721874;0,965956794431958;0,144870683627133;0,15967501273531;0,118772522110315;0,0691392800337422;0,0394549689151156;0,9781523291318;0,0123171938131999;0,0063813352060019;0,00241050406630828;0,00055867467840231;0,000179963104288248;0,00665746501013526;0,000149745751047161;0,000181914538202092;0,000100652704058491;3,41069743787577e-05;1,11070032889202e-05;0,00206059680989086;1,52333520648934;0,00478171823902219
"unir";-0,301695065665736;-1,9209117493134;1,13248131039112;0,159513736342544;0,132196731417619;0,154979720685397;-0,133196755950702;-0,848072251070934;0,499984434236734;0,0704244604183974;0,0583641490233126;0,0684227167848749;0,0368248027528844;0,835754082590766;0,123883267349535;0,00167797316574909;0,000788249386475083;0,00107162475459028;0,00020839482404118;0,00844822242688761;0,00293638232096127;5,82568085521449e-05;4,00121555311807e-05;5,49920945364965e-05;0,00228955201098985;1,31776747427924;0,00397583251835829
