"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"devenir";0,82;2,15;0;0;2,16;8,6;0
"commenter";0;0;0;0;2,45;0;0
"accidentellement";7,1;0;0;0;0;0;0
"évolution";1,37;2,15;0;0;0,43;0;0
"chine";0,27;3,77;0;0;0,43;0;0
"substance";0,27;4,84;0;0;0;0;0
"karim";0;0;0;0;2,01;0;0
"vigi";0;0;0;0;2,01;0;0
"rythmé";7,1;0;0;0;0,14;0;0
"unir";1,09;9,69;0;0;1,15;0;0
"sortir";0,55;1,61;0;0;1,58;5,73;0
"commentaire";0;0;0;0;2,73;0;0
"zorbb";3;0;0;0;0;0;0
"consacrer";0;0;0;0;3,31;0;0
"sentir";0;0;0;0;2,59;0;0
"député";0;0;0;0;4,46;0;0
"perquisition";0;0;0;0;2,88;0;0
"ahmed";0;0;0;0;1,44;0;0
"affaire";0;0,54;0;0;3,45;11,46;0
"vigier";0;0;0;0;2,01;0;0
"rick";3;0;0;0;0;0;0
"guerre";0,55;0;0;35,71;0,72;5,73;0
"parler";0,27;0,54;0;0;7,05;2,87;0
"fry";12,56;0;0;0;0;0;0
"penser";0,82;3,23;5,59;0;1,73;8,6;0
"suivre";0,27;1,08;5,59;0;0,86;0;0
"évoquer";0,82;3,77;0;0;4,17;0;0
"tête";13,38;0,54;0;0;1,15;0;0
"possible";0,27;6,46;5,59;0;0,72;0;0
"poser";1,09;0,54;0;0;0,72;2,87;0
"hassaine";0;0;0;0;1,58;0;0
"théorie";0;6,46;0;0;0,29;0;0
"fou";0,82;0,54;0;0;0,86;0;0
"expérience";0,55;2,69;0;0;1,73;0;0
"corps";0;2,69;5,59;0;0,72;17,19;0
"solère";0;0;0;0;2,01;0;0
"reportage";0,27;0;0;0;6,62;0;0
"explorer";0;4,84;0;0;0,58;0;0
"convaincre";0,55;0;16,76;0;0,43;8,6;0
"internet";0;0,54;0;0;1,15;8,6;0
"city";14,47;0;0;0;0;5,73;0
"sophie";0;0;0;0;3,6;0;0
"affirmer";0;6,46;16,76;0;1,15;2,87;0
"semaine";0,55;1,61;0;0;2,45;0;0
"comédien";0;0;0;0;1,73;0;0
"différent";0;1,61;0;0;1,3;0;0
"extra_terrestre";0,55;0;5,59;0;1,15;0;0
"monde";15,29;22,6;5,59;0;4,03;11,46;0
"visiteur";0;9,69;39,11;0;0,29;0;0
"naulleau";0;0;0;0;1,73;0;0
"lilia";0;0;0;0;1,58;0;0
"fille";29,22;2,15;0;0;3,02;5,73;0
"désert";0,55;8,07;0;23,81;0,14;2,87;0
"humoriste";0;0;0;0;1,87;0;0
"apparition";0;2,69;0;0;1,58;0;0
"venir";4,1;5,92;16,76;23,81;2,88;11,46;0
"tomber";1,09;1,08;5,59;23,81;0,86;8,6;0
"laisser";0,82;5,92;5,59;0;0,86;2,87;0
"époque";0;2,69;0;0;1,44;0;0
"intervenir";7,1;0;0;0;0,58;0;0
"origine";0,27;10,76;0;0;2,01;0;0
"image";0;4,84;0;0;4,61;2,87;43,48
"mythe";0;0,54;0;0;1,44;0;0
"italie";0;1,61;0;0;1,58;0;0
"édition";0;0,54;0;0;4,03;0;0
"répondre";0;0;0;0;1,58;2,87;0
"présenter";0,82;2,15;0;0;8,2;0;0
"chaîne";0;1,08;0;0;1,15;0;0
"spatial";0,82;0,54;11,17;23,81;1,44;2,87;0
"écrivain";0;0,54;0;0;3,17;0;0
"terre";4,1;24,76;16,76;11,9;2,45;5,73;43,48
"richard";0;0;0;0;1,87;0;0
"gagner";0;0;0;23,81;1,3;0;0
"christophe";0;0;0;0;7,48;0;0
"espace";3,82;1,08;0;47,62;3,02;0;0
"vie";0;13,46;5,59;0;9,36;11,46;0
"mort";0;2,15;0;0;1,15;8,6;0
"teen";13,38;0;0;0;0;0;0
"damien";0;0;0;0;1,73;0;0
"science";0;1,08;0;0;1,44;0;0
"information";0;1,08;11,17;0;2,45;0;0
"débat";0;0;0;0;5,18;0;0
"créature";0;11,84;5,59;0;0,14;8,6;0
"visuel";0;0;0;0;4,17;0;0
"boucherie";0;0;0;0;1,44;0;0
"astrophysicien";0;0;0;0;1,44;0;0
"recette";0;0;0;0;1,87;0;0
"comprendre";0,82;0,54;11,17;0;3,17;20,06;0
"jeu";1,09;0;0;0;2,45;0;43,48
"dernier";0,27;3,77;5,59;0;3,45;8,6;0
"leçon";0,55;0;0;0;1,3;0;0
"grandir";7,1;0;0;0;0,72;0;0
"plan";0,27;1,61;11,17;0;1,01;2,87;0
"secte";0;4,84;0;0;0,14;0;0
"notamment";0;1,08;0;0;1,3;0;0
"depétrini";0;0;0;0;2,01;0;0
"incident";21,57;1,61;0;0;0;0;0
"recherche";1,37;2,15;0;0;3,74;11,46;0
"garçon";0,82;0,54;0;11,9;0,72;2,87;0
"environnement";6,83;0;0;23,81;0,29;0;0
"nucléaire";0;1,61;0;0;1,01;0;0
"robin";13,38;0;0;0;0,14;0;0
"belhousse";0;0;0;0;2,16;0;0
"témoin";0,55;3,23;0;0;3,17;2,87;0
"mystère";0;2,69;0;23,81;0,58;0;0
"kelly";0;0;0;0;1,73;0;0
"retrouver";2,73;1,61;27,93;0;1,01;28,65;0
"victime";0,55;1,61;0;0;0,29;11,46;0
"technologie";0;6,46;11,17;0;0,29;0;0
"alexandre";0;0;0;0;2,3;0;0
"frère";1,09;0,54;0;0;1,58;2,87;0
"millénaire";11,74;1,08;0;0;0;0;0
"meilleur";0,27;0;0;11,9;1,3;0;0
"observation";0;5,38;0;0;0,14;0;0
"tirailleur";0;0;0;0;1,44;0;0
"décontraction";7,1;0;0;0;0;0;0
"astronaute";0,27;16,15;0;0;1,3;0;0
