"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"pre";163,72;143,89;143,95;163,87;142,8;148,06;186,05
"ver_sup";10,09;14,28;12;8,4;7,89;15,03;15,5
"adj_dem";0,19;4,64;8,72;4,2;2,85;2,28;7,75
"ono";1,24;1,31;1,09;0;1,6;0;15,5
"pro_per";42,55;40,35;67,61;42,02;28,97;50,57;23,26
"num";6,19;7,86;6,54;0;49,47;1,82;38,76
"adv";5,43;4,4;5,45;12,61;4,62;4,56;0
"ver";99,18;87,84;128,68;102,94;74,72;124,37;93,02
"adj_ind";0,76;5,71;5,45;2,1;2,61;2,28;0
"adj_pos";13,52;11,66;21,81;8,4;11,57;22,78;15,5
"aux";45,88;54,63;34,9;31,51;27,3;34,17;23,26
"nr";70,82;36,78;62,16;65,13;136,27;77,9;131,78
"pro_ind";7,42;9,28;8,72;10,5;5,45;6,83;0
"adj";79;82;57,8;71,43;56,97;46,47;31,01
"pro_dem";1,62;6,55;5,45;0;6,15;8,66;7,75
"nom";216,07;222,69;191,93;224,79;236,38;200,46;224,81
"art_ind";62,82;65,34;44,71;54,62;34,81;55,13;77,52
"adj_int";0;0,24;0;0;0,24;0,46;0
"pro_pos";0;0,12;0;0;0,03;0;0
"nom_sup";1,52;4,17;4,36;4,2;5,49;6,38;7,75
"adv_sup";25,79;26,18;35,99;25,21;17,4;27,79;7,75
"adj_sup";0,86;0,24;1,09;0;1,18;0;0
"art_def";79,95;113,54;89,42;117,65;102,06;94,31;62,02
"adj_num";2,28;2,74;2,18;0;1,91;3,64;0
"pro_rel";23,99;22,49;19,63;14,71;12,12;20,96;7,75
"con";39,12;31,06;40,35;35,71;29,14;45,1;23,26
