"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"devenir";-1,2813;0,3169;-0,1495;-0,0699;0,5079;1,554;-0,0191
"commenter";-2,4217;-1,1297;-0,1016;-0,0475;4,6877;-0,1994;-0,013
"accidentellement";14,4228;-1,7285;-0,1555;-0,0727;-8,5439;-0,3051;-0,0199
"évolution";0,6496;1,1088;-0,0717;-0,0335;-1,3202;-0,1408;-0,0092
"chine";-0,8447;3,6525;-0,0657;-0,0307;-1,1038;-0,129;-0,0084
"substance";-0,7355;6,7012;-0,0598;-0,0279;-3,2831;-0,1173;-0,0076
"karim";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"vigi";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"rythmé";13,1268;-1,795;-0,1615;-0,0755;-7,3732;-0,3169;-0,0206
"unir";-1,3012;8,1071;-0,1794;-0,0839;-2,5113;-0,3521;-0,0229
"sortir";-1,0717;0,3185;-0,1076;-0,0503;0,4843;1,0873;-0,0137
"commentaire";-2,7069;-1,2628;-0,1136;-0,0531;5,2397;-0,2229;-0,0145
"zorbb";6,0949;-0,7308;-0,0657;-0,0307;-3,6116;-0,129;-0,0084
"consacrer";-3,2774;-1,5288;-0,1375;-0,0643;6,3442;-0,2699;-0,0176
"sentir";-2,5643;-1,1962;-0,1076;-0,0503;4,9637;-0,2112;-0,0137
"député";-4,4189;-2,0613;-0,1854;-0,0867;8,5545;-0,3639;-0,0237
"perquisition";-2,8495;-1,3293;-0,1196;-0,0559;5,5158;-0,2347;-0,0153
"ahmed";-1,4241;-0,6644;-0,0598;-0,0279;2,7564;-0,1173;-0,0076
"affaire";-4,1335;-1,1645;-0,1734;-0,0811;3,0792;2,1586;-0,0222
"vigier";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"rick";6,0949;-0,7308;-0,0657;-0,0307;-3,6116;-0,129;-0,0084
"guerre";-0,5157;-0,7973;-0,0717;4,2706;-0,5112;1,4074;-0,0092
"parler";-6,0915;-2,477;-0,3112;-0,1455;10,1405;-0,2255;-0,0398
"fry";25,5569;-3,0606;-0,2753;-0,1287;-15,1334;-0,5403;-0,0352
"penser";-1,2813;0,8777;0,5358;-0,0699;-0,4205;1,554;-0,0191
"suivre";-0,7355;0,3714;0,8909;-0,0279;0,3436;-0,1173;-0,0076
"évoquer";-2,7367;0,5054;-0,2333;-0,1091;2,2837;-0,4579;-0,0298
"tête";18,439;-2,8343;-0,3472;-0,1624;-9,2992;-0,6815;-0,0444
"possible";-1,7835;5,9136;0,638;-0,0531;-1,7703;-0,2229;-0,0145
"poser";0,4313;-0,2807;-0,0657;-0,0307;-0,3783;0,59;-0,0084
"hassaine";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"théorie";-1,9941;8,3552;-0,0837;-0,0391;-2,4727;-0,1642;-0,0107
"fou";0,2512;-0,2405;-0,0598;-0,0279;0,3436;-0,1173;-0,0076
"expérience";-1,1729;0,9188;-0,1136;-0,0531;0,5891;-0,2229;-0,0145
"corps";-2,4217;1,0902;0,6806;-0,0475;-1,3652;5,4812;-0,013
"solère";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"reportage";-5,4185;-3,1273;-0,2813;-0,1315;11,3483;-0,552;-0,0359
"explorer";-1,8516;5,0234;-0,0777;-0,0363;-1,0391;-0,1525;-0,0099
"convaincre";-0,4343;-0,7308;3,4184;-0,0307;-1,1038;2,579;-0,0084
"internet";-1,7091;-0,3224;-0,0717;-0,0335;0,5893;2,4626;-0,0092
"city";26,5654;-3,6608;-0,3292;-0,1539;-18,1037;0,3637;-0,0421
"sophie";-3,5627;-1,6619;-0,1495;-0,0699;6,8966;-0,2934;-0,0191
"affirmer";-3,42;4,4841;2,3863;-0,0671;-1,3821;0,3213;-0,0183
