"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"pre";6,7364;-0,8588;-0,4072;0,7537;-3,7773;0,3049;0,8654
"ver_sup";0,4228;5,0788;0,5392;-0,2998;-6,2438;1,9812;0,4434
"adj_dem";-10,9917;3,4556;2,4423;0,4328;0,5754;-0,3441;0,5301
"ono";-0,4567;-0,3373;-0,2041;-0,2951;0,8622;-1,3843;1,8352
"pro_per";5,2159;2,4039;5,9407;0,6114;-17,9231;3,9589;-0,4843
"num";-79,6651;-51,9209;-6,4248;-6,4414;206,3663;-24,1454;0,4448
"adv";0,7488;-0,5143;0,3428;1,5414;-0,6101;-0,294;-0,2712
"ver";8,0175;0,7396;5,2995;1,0083;-21,3835;9,8522;0,3764
"adj_ind";-6,1966;6,5645;0,9541;-0,2069;-0,6054;-0,3647;-0,1551
"adj_pos";0,7178;-0,6762;1,8583;-0,5514;-2,0551;4,2842;0,3136
"aux";8,6879;20,7361;-0,3254;-0,4511;-32,1732;-0,4645;-0,5045
"nr";-34,5665;-127,4397;-4,9434;-2,5154;191,6219;-4,3714;0,7808
"pro_ind";0,8347;2,9741;0,5755;0,6766;-3,8728;0,3098;-0,3733
"adj";9,7318;10,7098;-0,7;0,5012;-16,9361;-4,0511;-1,1459
"pro_dem";-10,481;1,2333;0,2665;-1,1098;2,6458;1,5688;0,3023
"nom";-3,0756;-0,8989;-2,3275;-0,3291;7,4719;-3,0218;-0,2839
"art_ind";16,5101;16,5433;-0,3798;0,6238;-47,2118;1,4367;1,0874
"adj_int";-0,9929;0,2975;-0,0782;-0,0404;0,5414;0,4515;-0,0109
"pro_pos";-0,1986;0,5227;-0,0156;-0,0081;-0,1634;-0,0379;-0,0022
"nom_sup";-7,925;-0,4424;-0,2156;-0,1928;4,2824;0,9302;0,3569
"adv_sup";3,4745;3,1805;2,5324;0,4924;-11,7789;1,6293;-0,6295
"adj_sup";-0,2765;-1,8712;0,2494;-0,1859;2,025;-0,872;-0,0502
"art_def";-13,3064;6,138;-0,743;1,004;2,4448;-0,6144;-1,0046
"adj_num";0,3626;0,8474;0,2247;-0,4529;-1,0705;0,9717;-0,1223
"pro_rel";9,4083;4,9958;0,5512;-0,3431;-19,6473;1,1353;-0,4426
"con";4,9183;-0,6346;0,9825;0,4239;-5,8766;3,1787;-0,4037
