"";"*genregroupe_Animation";"*genregroupe_Documentaire";"*genregroupe_Feuilleton";"*genregroupe_Longmétrage";"*genregroupe_Magazine";"*genregroupe_Série";"*genregroupe_Tranchehoraire"
"pre";1720;1209;132;78;4111;325;24
"ver_sup";106;120;11;4;227;33;2
"adj_dem";2;39;8;2;82;5;1
"ono";13;11;1;0;46;0;2
"pro_per";447;339;62;20;834;111;3
"num";65;66;6;0;1424;4;5
"adv";57;37;5;6;133;10;0
"ver";1042;738;118;49;2151;273;12
"adj_ind";8;48;5;1;75;5;0
"adj_pos";142;98;20;4;333;50;2
"aux";482;459;32;15;786;75;3
"nr";744;309;57;31;3923;171;17
"pro_ind";78;78;8;5;157;15;0
"adj";830;689;53;34;1640;102;4
"pro_dem";17;55;5;0;177;19;1
"nom";2270;1871;176;107;6805;440;29
"art_ind";660;549;41;26;1002;121;10
"adj_int";0;2;0;0;7;1;0
"pro_pos";0;1;0;0;1;0;0
"nom_sup";16;35;4;2;158;14;1
"adv_sup";271;220;33;12;501;61;1
"adj_sup";9;2;1;0;34;0;0
"art_def";840;954;82;56;2938;207;8
"adj_num";24;23;2;0;55;8;0
"pro_rel";252;189;18;7;349;46;1
"con";411;261;37;17;839;99;3
