"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"pre";-0,336858510153625;0,260354655022496;0,398001401457722;-0,577993826525589;0,44672578775455;0,682904976591461;0,735021538550419;0,178965470685349;0,0860129907642323;0,0167717563826723;0,0100187650600416;0,0234127647318382;0,147803084822905;0,0449033751888737;0,000298017296644382
"ver_sup";0,421227608808187;-0,437738093612455;-0,750880836922935;0,436120410607506;-0,453214635348708;-0,777428763139928;0,585975447160903;0,257933636110797;0,1560909167283;0,00173591596106818;0,0018746652250507;0,00551616287170206;0,00978351778733005;0,0628866723470786;3,86912061175399e-05
"adj_dem";-1,16197531630212;-1,0518073890387;-5,63857350081402;-0,198548511931093;-0,179723948522728;-0,963471738421708;0,302305119096244;0,100961935037276;0,59673294586648;0,00365035968260288;0,00299098537189935;0,0859568211589948;0,00270359636667769;0,241521416578802;0,000157707790998505
"ono";-0,788065275475164;6,6689781740877;8,46333114189042;-0,0729426554662898;0,617274980135851;0,783358773431313;0,0250891741776219;0,732342283483873;0,242568542338507;0,000881808533326424;0,0631492949586961;0,101702723110154;0,00141987435084512;0,568591684292168;0,000459040412961175
"pro_per";-0,658944571493577;-1,59603995667987;0,703519327866933;-0,353409592941476;-0,855998904627234;0,377316226650692;0,286796442097157;0,685799310183774;0,0274042477190701;0,0153370088132253;0,0899767738639397;0,017482154932471;0,0353218057689689;0,140618836546518;0,000698441278667276
"num";4,78968586122206;0,268974164912847;-0,416962955989467;0,994676777729574;0,0558580172896249;-0,0865909334167443;0,998082987061184;0,00128294270576616;0,000634070233050022;0,700552629086595;0,00220926515051027;0,00530910912547282;0,0305370237099566;0,547904919074164;0,00916720842087985
"adv";-2,86009537926064;-0,65638563469147;-1,36013762844152;-0,884289978158086;-0,202942616100673;-0,420530057307901;0,961144725073272;0,0206338098490237;0,0182214650777042;0,0394584269243203;0,00207824560236657;0,00892368940421727;0,00482368272615875;0,333401552958083;0,000536184149683654
"ver";-0,812339996784625;-0,0917572263239309;-0,960963501614525;-0,643869947996864;-0,072727824279702;-0,761670633306849;0,890861848141076;0,00463285571712506;0,104505296141799;0,0562566929192656;0,000717759713648367;0,0787249349744364;0,0852508120514267;0,0983590107611182;0,000824758554758933
"adj_ind";-0,410712634075127;1,16706888948067;-6,25100947073645;-0,0644530892212996;0,183147994535131;-0,980970239807299;0,0421770151669837;0,138811751976779;0,819011232856236;0,000465898726509402;0,00376190983947052;0,107923423166507;0,00276194736739735;0,228550216538372;0,00014427087721243
"adj_pos";-1,46613723401194;1,08332348036202;2,71193704320706;-0,448677958567837;0,33152651495479;0,8299266590352;0,662536942862566;0,147438430784547;0,190024626352887;0,027134448377503;0,0148145363284439;0,0928391076105419;0,0126232664890203;0,205850093683628;0,000534901589756354
"aux";0,8118023228053;-2,18928097355842;-1,15015743879978;0,311889594589399;-0,84110864936412;-0,441883605434424;0,241974719059383;0,717308463197589;0,0407168177430298;0,0237393386293345;0,172651772655835;0,047652163309222;0,0360220177776049;0,188602214577319;0,00128133182222598
"nr";0,370999837244044;0,624390351307267;0,584395151200801;0,397977356377465;0,669793343325388;0,626889863570789;0,423278931797095;0,488680618992419;0,0880404492104869;0,0140604496478086;0,0398257660193156;0,0348871087527917;0,102153151926556;0,065169124753722;0,000433845950260921
"pro_ind";-0,391237089194502;-1,17234909289692;-1,45730136598217;-0,204749305849847;-0,613535039529465;-0,762661443252236;0,171733909148813;0,628526300696623;0,199739790154565;0,00101522305344626;0,00911581150497213;0,0140857565112147;0,00663256374846829;0,107893054081506;7,72090850872517e-05
"adj";0,576255825758715;-1,32307081206761;1,62894596938847;0,264793361151225;-0,607959784019876;0,748511440730697;0,261882325222109;0,562697832242413;0,175419842535478;0,0216501904881706;0,114129323027135;0,172999330586012;0,0651975181374361;0,128689682767198;0,00107973834397566
"pro_dem";-0,3913967387683;-0,0257372566823254;-1,87086877295157;-0,204754147022998;-0,0134641133068335;-0,978720826860114;0,342807891943567;0,00060419127334014;0,656587916783092;0,000816416967507407;3,53022287242025e-06;0,0186536691221259;0,00532939139906249;0,0763964700899011;3,11045699718363e-05
"nom";-0,147507320427624;0,511761510919191;-0,540249046244833;-0,194437762467454;0,674581863541575;-0,712132899048644;0,142234634678583;0,697825745486119;0,159939619835298;0,00495069097823066;0,0595900720789279;0,0664089614682462;0,227530002139537;0,0446984422831175;0,000454593736724176
"art_ind";-0,230783258321202;-1,56914211263098;-0,518156073009836;-0,138316281394195;-0,94044040965951;-0,310548614842723;0,0493448255450781;0,929803351466177;0,0208518229887463;0,00249558550915399;0,115368809247535;0,0125801273965089;0,0468558535778889;0,118731235539271;0,000660531948321833
"adj_int";-1,69903227510533;-7,59932776879684;4,76160981195646;-0,186146369445834;-0,832584109859093;0,521683073476874;0,10190986310711;0,830992009929373;0,0670981269635175;0,000561474854968508;0,0112325253413741;0,00440996012707292;0,000194503335732208;0,608240052879434;7,19576686687756e-05
"pro_pos";12,8155925862728;-0,973799964907212;-14,7889615244789;0,654077220229262;-0,0497004231226973;-0,754793255082864;0,897678020944472;0,00211259501332993;0,100209384042198;0,00638902275056237;3,68889725031913e-05;0,00850809651148615;3,89006671464416e-05;1,54582345294646;9,29558729379466e-05
"nom_sup";0,0315825027310225;-0,048736501664363;2,94083529486473;0,0107372032694296;-0,0165691025017198;0,9998050696552;0,00137210067712101;0,0013317881073321;0,997296111215546;4,4621891372544e-06;1,06258478736994e-05;0,0386897829974927;0,00447357672184078;0,0974395003908067;4,24741784057399e-05
