"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"devenir";0,23;0,39;1,04;0,34
"lors";0,46;1,55;0,41;0,25
"commenter";1,83;0,97;0;0,34
"accidentellement";0;0,39;1,39;0
"évolution";0,46;0,19;0,41;0,17
"chine";0,23;0,19;0,06;0,68
"substance";0,23;0;0;0,76
"karim";0;0;0,81;0
"vigi";0;0;0,81;0
"rythmé";0;0,19;0,81;1,01
"unir";0,69;0,19;0,35;1,69
"leurs";0,69;1,17;1,8;1,35
"sortir";0,23;1,55;0,41;0,17
"commentaire";0,23;0;0,23;1,18
"zorbb";0;2,14;0;0
"consacrer";0,69;1,94;0,52;0,08
"sentir";0,91;0,39;0,7;0
"député";0;0,19;1,56;0,25
"toute";0,46;0,78;0,29;0,42
"perquisition";0;0;1,16;0
"ahmed";0;0;0;0,84
"affaire";2,06;0,58;0,87;0,17
"vigier";0;0;0,81;0
"rick";0;0;0,64;0
"guerre";0,23;0,19;0,17;0,59
"parler";4,12;3,89;0,7;0,17
"fry";0;0,19;2,61;0
"penser";1,14;1,17;0,58;0,34
"suivre";0;0,19;0,23;0,42
"évoquer";2,29;1,75;0,52;0,93
"tête";0,23;0,39;1,74;2,11
"possible";0;0,78;0,17;1,01
"poser";0,46;0,39;0,35;0,08
"hassaine";0;0;0;0,93
"théorie";0,23;0,19;0,35;0,51
"fou";0,23;0,78;0,17;0,17
"expérience";1,14;0,78;0,35;0,34
"son";9,6;10,1;5,15;2,45
"corps";0,23;0,19;0,87;0
"cette";3,66;1,17;1,85;0,93
"solère";0;0;0,81;0
"reportage";3,43;3,3;0,64;0,34
"explorer";0;0;0;1,1
"convaincre";0,69;0;0,35;0,17
"si";0,23;0,19;0,64;1,18
"sa";4,57;4,28;2,9;1,77
"se";5,95;5,05;7,12;4,31
"internet";0;0,19;0,29;0,51
"million";0,23;0,78;0,17;1,18
"city";0;0;1,74;2,11
"2";0,69;0,97;0,41;0,51
"plein";0,23;0,58;1,16;1,1
"sophie";0,69;1,75;0,58;0,25
"affirmer";0,69;0,39;0,75;0,51
"semaine";0,23;0,39;1,04;0,08
"comédien";0;0,58;0,17;0,51
"différent";0,23;0,39;0,41;0,17
"extra_terrestre";0,91;1,17;0;0,08
"monde";0,69;2,14;3,3;5,07
"visiteur";0,23;0,19;0,41;1,52
"naulleau";0;0;0,7;0
"lilia";0;0;0;0,93
"fille";0,69;1,55;6,26;1,27
"désert";0;0;0,41;1,18
"humoriste";0;0,19;0,17;0,76
"apparition";0,46;1,55;0,12;0,34
"s";4,57;4,08;3,71;2,36
"autour";0;0,19;0,75;0,34
"venir";0,91;1,17;1,68;1,35
"tomber";0,69;0,58;0,58;0,17
"vouloir";1,6;0,97;0,75;0,42
"laisser";0,23;0,39;0,46;0,93
"époque";0,69;0,58;0,29;0,34
"intervenir";0,69;0;0,87;1,01
"origine";2,06;0,58;0,58;1,1
"image";2,74;3,3;0,41;0,59
"mythe";1,14;0,19;0,06;0,34
"italie";0,46;0;0;1,01
"plusieurs";0,91;0,19;0,52;0,34
"édition";0;0;0,12;2,28
"répondre";0,46;0,58;0,29;0,17
"présenter";5,49;3,89;0,58;0,84
"chaîne";0,23;0,19;0;0,68
"an";2,06;2,72;1,8;0,59
"au";5,95;9,72;4,34;3,88
"spatial";0,23;0,58;0,7;0,25
"écrivain";0,46;0,78;0,81;0,25
"terre";0,91;1,36;1,56;3,97
"sans";1,6;0,58;0,58;0,25
"richard";0;1,17;0,41;0
"gagner";0,46;0,58;0,29;0,08
"christophe";0,46;0,39;2,72;0,08
"espace";0,46;1,75;1,16;0,84
"vie";2,74;3,3;2,2;2,36
"mort";0,69;0,78;0,29;0,25
"teen";0;0;1,62;1,77
"damien";0;0,78;0,46;0
"science";0,23;0,19;0,23;0,51
"information";0,46;0,58;0,23;1,01
"notre";0;0,19;0,64;1,44
"débat";0,91;0,19;1,45;0,51
"créature";0;0;0,29;1,86
