"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"pre";152,26;157,19;149,67;138,32
"ver_sup";9,57;8,76;9,64;10,61
"adj_dem";4,25;1,9;2,71;2,44
"ono";0,91;3,3;1,19;0,99
"pro_per";36,16;27,93;40,53;31,32
"num";8,21;26,79;21,48;55,18
"adv";7,45;4,57;5,65;2,64
"ver";102,11;83,8;87,8;75,03
"adj_ind";4,25;2,79;2,25;2,83
"adj_pos";13,37;16,38;13,63;8,9
"aux";32,82;21,46;38,09;42
"nr";92,99;112,75;97,58;107,2
"pro_ind";7,6;5,21;7,02;6,4
"adj";49,84;53,58;70,54;70,21
"pro_dem";6,38;5,08;5,23;5,14
"nom";244,04;243,27;219,8;223,3
"art_ind";48,93;34,92;51,27;45,82
"adj_int";0,15;0;0,32;0,13
"pro_pos";0;0;0;0,13
"nom_sup";3,49;4,82;4,77;4,29
"adv_sup";18,23;18,03;23,27;21,76
"adj_sup";1,37;1,14;0,96;0,46
"art_def";99,98;119,35;89,91;100,74
"adj_num";2,89;3,43;1,97;1,52
"pro_rel";16,41;13,84;17,85;16,88
"con";36,32;29,71;36,86;25,78
