"";"";"";"";"chalumeau";""
"1";"chalumeau";"-3.47111894529178";"1.55803868172424";"1.76458875626121";"10"
"2";"mazaurette";"-3.47111894529178";"1.55803868172424";"1.57781015690626";"14"
"3";"carbonnier";"-3.47111894529178";"1.55803868172424";"1.55113712964211";"15"
"4";"livreur";"2.25578387633815";"1.61301208009124";"1.17557323156377";"29"
"5";"cryogénisé";"2.25578387633815";"1.61301208009124";"1.17557323156377";"30"
"6";"new_yorkais";"2.25578387633815";"1.61301208009124";"1.17557323156377";"31"
"7";"départ";"2.08115161540454";"1.46126048052426";"1.07075300486378";"36"
"8";"christophe";"2.02843721646524";"1.23703780583246";"1.07020855154677";"37"
"9";"vous";"2.04431048277168";"1.32702509171757";"1.0448266564344";"40"
"10";"belhousse";"-3.47111894529178";"1.55803868172424";"0.884643305298308";"58"
"11";"claviere";"-3.47111894529178";"1.55803868172424";"0.884643305298308";"60"
"12";"peupler";"2.22260042244941";"1.50755839337283";"0.8779646779429";"61"
"13";"gilet";"2.30653504110916";"1.77429418918998";"0.866100780901615";"63"
"14";"environnement";"2.15603158696064";"1.29600931393164";"0.865094838582555";"65"
"15";"perquisition";"2.30653504110916";"1.77429418918998";"0.847952337001047";"71"
"16";"explorer";"-3.47111894529178";"1.55803868172424";"0.831359474006243";"77"
"17";"omar";"-3.47111894529178";"1.55803868172424";"0.831359474006243";"78"
"18";"accidentellement";"2.13866580378965";"1.24082259755568";"0.815502919306833";"84"
"19";"hassaine";"-3.47111894529178";"1.55803868172424";"0.778080827983863";"97"
"20";"observation";"-3.47111894529178";"1.55803868172424";"0.778080827983863";"99"
"21";"cabrol";"-3.47111894529178";"1.55803868172424";"0.778080827983863";"101"
"22";"watrin";"-3.47111894529178";"1.55803868172424";"0.778080827983863";"103"
"23";"alexandre";"2.30653504110916";"1.77429418918998";"0.77536893193815";"107"
"24";"scientologie";"2.30653504110916";"1.77429418918998";"0.77536893193815";"109"
"25";"laëtitia";"2.30653504110916";"1.77429418918998";"0.757225673307269";"116"
"26";"raid";"2.30653504110916";"1.77429418918998";"0.757225673307269";"117"
"27";"dewalle";"2.30653504110916";"1.77429418918998";"0.757225673307269";"118"
"28";"oise";"2.30653504110916";"1.77429418918998";"0.757225673307269";"119"
"29";"pomart";"2.30653504110916";"1.77429418918998";"0.757225673307269";"120"
"30";"tirailleur";"-3.47111894529178";"1.55803868172424";"0.751444097607517";"123"
"31";"déage";"-3.47111894529178";"1.55803868172424";"0.751444097607517";"124"
"32";"laurie";"-3.47111894529178";"1.55803868172424";"0.751444097607517";"125"
"33";"chaouch";"-3.47111894529178";"1.55803868172424";"0.751444097607517";"127"
"34";"vigi";"2.30653504110916";"1.77429418918998";"0.739082414676387";"133"
"35";"vigier";"2.30653504110916";"1.77429418918998";"0.739082414676387";"134"
"36";"solère";"2.30653504110916";"1.77429418918998";"0.739082414676387";"135"
"37";"brigitte";"2.30653504110916";"1.77429418918998";"0.739082414676387";"136"
"38";"gitan";"2.30653504110916";"1.77429418918998";"0.739082414676387";"137"
"39";"syndicat";"2.30653504110916";"1.77429418918998";"0.739082414676387";"138"
"40";"seines";"2.30653504110916";"1.77429418918998";"0.739082414676387";"139"
"41";"hugues";"2.30653504110916";"1.77429418918998";"0.739082414676387";"140"
"42";"langlois";"2.30653504110916";"1.77429418918998";"0.739082414676387";"141"
"43";"lrem";"1.96667304190911";"1.76157327698611";"0.723853277608968";"149"
"44";"alexis";"2.30653504110916";"1.77429418918998";"0.720939156045506";"152"
"45";"corbière";"2.30653504110916";"1.77429418918998";"0.720939156045506";"153"
"46";"delage";"2.30653504110916";"1.77429418918998";"0.720939156045506";"154"
"47";"affrontement";"2.30653504110916";"1.77429418918998";"0.720939156045506";"155"
"48";"actuel";"-2.79998383026221";"1.09426035976814";"0.718087257718274";"157"
"49";"comportement";"2.17157151845992";"1.34145621904518";"0.707006336399556";"161"
"50";"val";"2.17157151845992";"1.34145621904518";"0.707006336399556";"162"
"51";"naulleau";"2.30653504110916";"1.77429418918998";"0.702795897414624";"168"
"52";"kelly";"2.30653504110916";"1.77429418918998";"0.702795897414624";"169"
"53";"laporte";"2.30653504110916";"1.77429418918998";"0.702795897414624";"170"
"54";"revel";"2.30653504110916";"1.77429418918998";"0.702795897414624";"171"
"55";"agathe";"2.30653504110916";"1.77429418918998";"0.702795897414624";"172"
"56";"auproux";"2.30653504110916";"1.77429418918998";"0.702795897414624";"173"
"57";"joe";"1.92135810868243";"1.75987715535893";"0.690247544774804";"182"
"58";"rick";"2.30653504110916";"1.77429418918998";"0.684652638783743";"191"
"59";"hapsatou";"2.30653504110916";"1.77429418918998";"0.684652638783743";"192"
"60";"mohammed";"2.30653504110916";"1.77429418918998";"0.684652638783743";"193"
"61";"rugby";"2.30653504110916";"1.77429418918998";"0.684652638783743";"194"
"62";"ex_membre";"2.30653504110916";"1.77429418918998";"0.684652638783743";"195"
"63";"entrepreneur";"2.30653504110916";"1.77429418918998";"0.684652638783743";"196"
"64";"fédération";"2.30653504110916";"1.77429418918998";"0.684652638783743";"197"
"65";"patron";"1.89384547065195";"1.75884736722814";"0.673576902734711";"206"
