"";"*annéededecennie_1990";"*annéededecennie_2000";"*annéededecennie_2010";"*annéededecennie_2020"
"devenir";1;2;18;4
"lors";2;8;7;3
"commenter";8;5;0;4
"accidentellement";0;2;24;0
"évolution";2;1;7;2
"chine";1;1;1;8
"substance";1;0;0;9
"karim";0;0;14;0
"vigi";0;0;14;0
"rythmé";0;1;14;12
"unir";3;1;6;20
"leurs";3;6;31;16
"sortir";1;8;7;2
"commentaire";1;0;4;14
"zorbb";0;11;0;0
"consacrer";3;10;9;1
"sentir";4;2;12;0
"député";0;1;27;3
"toute";2;4;5;5
"perquisition";0;0;20;0
"ahmed";0;0;0;10
"affaire";9;3;15;2
"vigier";0;0;14;0
"rick";0;0;11;0
"guerre";1;1;3;7
"parler";18;20;12;2
"fry";0;1;45;0
"penser";5;6;10;4
"suivre";0;1;4;5
"évoquer";10;9;9;11
"tête";1;2;30;25
"possible";0;4;3;12
"poser";2;2;6;1
"hassaine";0;0;0;11
"théorie";1;1;6;6
"fou";1;4;3;2
"expérience";5;4;6;4
"son";42;52;89;29
"corps";1;1;15;0
"cette";16;6;32;11
"solère";0;0;14;0
"reportage";15;17;11;4
"explorer";0;0;0;13
"convaincre";3;0;6;2
"si";1;1;11;14
"sa";20;22;50;21
"se";26;26;123;51
"internet";0;1;5;6
"million";1;4;3;14
"city";0;0;30;25
"2";3;5;7;6
"plein";1;3;20;13
"sophie";3;9;10;3
"affirmer";3;2;13;6
"semaine";1;2;18;1
"comédien";0;3;3;6
"différent";1;2;7;2
"extra_terrestre";4;6;0;1
"monde";3;11;57;60
"visiteur";1;1;7;18
"naulleau";0;0;12;0
"lilia";0;0;0;11
"fille";3;8;108;15
"désert";0;0;7;14
"humoriste";0;1;3;9
"apparition";2;8;2;4
"s";20;21;64;28
"autour";0;1;13;4
"venir";4;6;29;16
"tomber";3;3;10;2
"vouloir";7;5;13;5
"laisser";1;2;8;11
"époque";3;3;5;4
"intervenir";3;0;15;12
"origine";9;3;10;13
"image";12;17;7;7
"mythe";5;1;1;4
"italie";2;0;0;12
"plusieurs";4;1;9;4
"édition";0;0;2;27
"répondre";2;3;5;2
"présenter";24;20;10;10
"chaîne";1;1;0;8
"an";9;14;31;7
"au";26;50;75;46
"spatial";1;3;12;3
"écrivain";2;4;14;3
"terre";4;7;27;47
"sans";7;3;10;3
"richard";0;6;7;0
"gagner";2;3;5;1
"christophe";2;2;47;1
"espace";2;9;20;10
"vie";12;17;38;28
"mort";3;4;5;3
"teen";0;0;28;21
"damien";0;4;8;0
"science";1;1;4;6
"information";2;3;4;12
"notre";0;1;11;17
"débat";4;1;25;6
"créature";0;0;5;22
"visuel";0;0;26;3
"boucherie";0;0;10;0
"personne";7;5;10;8
"astrophysicien";4;2;0;4
"recette";0;5;7;1
"comprendre";0;4;27;4
"jeu";9;7;6;0
"contre";2;3;12;2
"dernier";5;7;10;14
"leçon";0;1;2;8
"grandir";0;0;18;13
"plan";2;0;7;5
"toujours";2;6;9;4
"secte";1;0;9;0
"croire";6;6;9;6
"ses";19;33;93;46
"notamment";2;2;4;3
"depétrini";0;0;0;14
"incident";0;1;78;3
"recherche";11;5;7;16
"garçon";3;1;6;1
"environnement";0;2;27;0
"nucléaire";0;2;3;5
"robin";0;1;28;21
"belhousse";0;0;0;15
"témoin";5;2;18;6
"mystère";0;3;7;1
"kelly";0;0;12;0
"retrouver";1;7;25;2
"victime";1;3;7;0
"d";109;123;357;306
"technologie";1;0;6;9
"alexandre";0;0;16;0
"frère";2;5;5;5
"t";2;2;12;8
"où";8;9;20;7
"millénaire";0;1;44;0
"meilleur";0;1;8;2
"observation";0;0;0;11
"un";103;98;439;150
"tirailleur";0;0;0;10
"décontraction";0;0;14;12
"astronaute";1;3;15;21
"pouvoir";12;8;79;91
"découverte";3;7;4;11
"millier";3;0;2;10
"continuer";2;0;5;9
"ambre";0;0;0;48
"les";139;161;341;346
"beaucoup";1;4;8;3
"pour";55;43;151;86
"laëtitia";0;0;15;0
"animal";3;3;10;5
"pyramide";0;0;1;11
"robot";1;3;29;1
"comme";5;5;33;24
