"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"devenir";-0,6823;-0,4758;2,273;-1,0988
"lors";-0,2208;2,5542;-0,5838;-1,0175
"commenter";3,5968;1,1853;-4,3746;-0,4364
"accidentellement";-1,3572;-0,5117;6,3711;-4,1357
"évolution";0,3966;-0,2912;0,5957;-0,6247
"chine";-0,193;-0,2532;-1,8349;2,3029
"substance";-0,1645;-0,621;-2,573;3,7621
"karim";-0,7307;-0,8695;4,8973;-2,2265
"vigi";-0,7307;-0,8695;4,8973;-2,2265
"rythmé";-1,4094;-0,9651;0,5399;1,0369
"unir";-0,2565;-1,1142;-2,3594;4,2856
"leurs";-0,9641;-0,4331;1,1485;-0,3662
"sortir";-0,4211;2,9063;-0,3963;-1,2728
"commentaire";-0,4568;-1,1801;-1,5278;3,8532
"zorbb";-0,5741;9,6335;-2,8303;-1,7493
"consacrer";0,3083;3,4209;-0,4264;-2,61
"sentir";0,8584;-0,2496;1,2934;-2,8628
"député";-1,6183;-1,1646;5,9259;-2,2364
"toute";0,2557;0,8107;-0,6895;0,2419
"perquisition";-1,0439;-1,2422;6,9969;-3,181
"ahmed";-0,5219;-0,621;-2,573;5,1357
"affaire";2,4374;-0,3487;0,5502;-2,643
"vigier";-0,7307;-0,8695;4,8973;-2,2265
"rick";-0,5741;-0,6831;3,8476;-1,7493
"guerre";-0,2227;-0,2912;-0,8568;1,3641
"parler";5,0717;5,2898;-2,9921;-5,8212
"fry";-2,4018;-1,9507;14,3373;-7,3193
"penser";0,8373;0,9758;-0,4023;-1,0988
"suivre";-0,5219;-0,2166;-0,2905;0,7911
"évoquer";2,0048;1,1743;-2,3625;-0,3508
"tête";-2,1037;-1,9132;0,7638;1,5187
"possible";-0,9917;0,6176;-2,0826;2,4623
"poser";0,4452;0,3548;0,4448;-0,981
"hassaine";-0,5741;-0,6831;-2,8303;5,6494
"théorie";-0,2854;-0,3708;-0,2555;0,6265
"fou";-0,1645;1,4694;-0,5647;-0,4372
"expérience";1,2546;0,6176;-0,746;-0,5823
"son";3,6644;5,1252;-0,6317;-8,1906
"corps";-0,386;-0,4978;3,5842;-2,7037
"cette";2,6969;-0,6574;0,5688;-2,0471
"solère";-0,7307;-0,8695;4,8973;-2,2265
"reportage";3,8662;4,1876;-2,6841;-3,5492
"explorer";-0,6785;-0,8074;-3,3451;6,6769
"convaincre";0,922;-0,6831;0,4448;-0,5286
"si";-0,7611;-0,9651;-0,3812;1,7615
"sa";1,5462;1,3758;-0,3004;-2,582
"se";0,3041;-0,6143;2,6923;-2,3768
"internet";-0,6263;-0,2912;-0,2713;0,891
"million";-0,5673;0,474;-2,6682;2,8465
"city";-2,8721;-3,4178;1,039;1,8335
"2";0,3663;0,8605;-0,6886;-0,2806
