"";"*annéededecennie_1990";"*annéededecennie_2000";"*annéededecennie_2010";"*annéededecennie_2020"
"pre";1002;1238;3261;2098
"ver_sup";63;69;210;161
"adj_dem";28;15;59;37
"ono";6;26;26;15
"pro_per";238;220;883;475
"num";54;211;468;837
"adv";49;36;123;40
"ver";672;660;1913;1138
"adj_ind";28;22;49;43
"adj_pos";88;129;297;135
"aux";216;169;830;637
"nr";612;888;2126;1626
"pro_ind";50;41;153;97
"adj";328;422;1537;1065
"pro_dem";42;40;114;78
"nom";1606;1916;4789;3387
"art_ind";322;275;1117;695
"adj_int";1;0;7;2
"pro_pos";0;0;0;2
"nom_sup";23;38;104;65
"adv_sup";120;142;507;330
"adj_sup";9;9;21;7
"art_def";658;940;1959;1528
"adj_num";19;27;43;23
"pro_rel";108;109;389;256
"con";239;234;803;391
