"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-0,777490259333729;0,373867257864989;-1,60464771698274;0,728041757201625;0,93582096568115;-0,134999899001769;-0,356992891692551;0,171665113346581;-0,736791003818387;0,334288087929308;0,429692113353704;-0,0619866342301752;0,129089290977131;0,0213164546944683;0,306712497773418;0,0485299234251609;0,0663090873902052;0,00112614497804632;0,0362607022855695;0,00838457710631641;0,154456326902777;0,031795003420782;0,052532956001555;0,00109323413805573;0,0599855019934759;1,29322585367339;0,100321739570437
"classe 2";-1,07537178470638;0,787024647566711;-1,57409722378807;0,352528556669309;0,0518043941760813;-0,00501784711350045;-0,513797347519441;0,376029185536616;-0,752081270702902;0,168433131608528;0,0247514029064744;-0,00239745599972064;0,334492598251168;0,127945705246282;0,399764392923343;0,0154118427324064;0,000275226117091508;2,10732346129624e-06;0,138348198119353;0,0741025067247437;0,296428078112677;0,0148677359053075;0,000321062387452718;3,01225047877808e-06;0,119634443121214;1,11119405865551;0,147718896145493
"classe 3";-0,768040087542409;0,427108179296939;0,0500444821560792;-0,505733370920599;-1,09597816247679;0,502513515948692;-0,487287053343538;0,270981019772665;0,0317509836289536;-0,320865184110309;-0,695349081362487;0,318822330271163;0,326137145470028;0,072025797196512;0,000772354451264213;0,0606278877207342;0,235463447262069;0,0403975566656787;0,0611021640828633;0,0188957699136905;0,000259418661711665;0,0264930548359475;0,124420693280086;0,0261567818225593;0,103583078755243;0,803726494423847;0,0669122116613997
"classe 4";-0,53234159662418;0,155192939536864;0,979185381804529;-0,934692150504927;-1,58829068855842;0,514613044377742;-0,239817362828327;0,0699136827280131;0,441118367367019;-0,421074377827885;-0,71551741729432;0,231830734179605;0,101667519662474;0,0061705680969898;0,191868213149466;0,134380217435465;0,320884404241257;0,0274909734914856;0,0211737312401635;0,00179953587529954;0,0716384916496121;0,0652760372598251;0,188484902930382;0,0197869188005643;0,0747165121938591;0,997754781884142;0,0743813791066621
"classe 5";-0,519222449297557;0,108992676895681;0,950712762305165;-0,808008691112073;-1,43293195548723;0,513248088470117;-0,254725273473692;0,0534707030993019;0,46641004968244;-0,39640087806506;-0,702981900579376;0,251794312576953;0,0722935271494342;0,00227492423643969;0,135195708045348;0,0750621986397977;0,195222933489076;0,0204396891936033;0,00910830780226255;0,000401351983638911;0,0305372147546974;0,0220578327709575;0,069371631950465;0,00889990675750245;0,0337855330606327;1,15405972137615;0,0449973919602377
"classe 6";0,437754843079561;-0,192989549542146;1,19420115943985;3,93558862272675;-1,33728072057704;-0,649814697737442;0,0995040588858306;-0,0438675752092169;0,271448424543947;0,89458071853938;-0,303971187688264;-0,147706418262957;0,0226611565949366;0,00314533962193874;0,0940690797404658;0,785301218353741;0,0749812242633861;0,0144486186404502;0,0092723856115941;0,0018021757854426;0,0690056327035874;0,749460861645303;0,0865315996271153;0,0204318939384969;0,0483870967741935;1,73785866197898;0,146136422371711
"classe 7";-0,41074294838857;0,0262166017505381;0,828702672214059;-0,335358069976419;-0,190416208203682;0,0895291202060454;-0,408122233248187;0,026049328653321;0,823415195828969;-0,333218342502375;-0,189201271607031;0,0889578862463399;0,0193099263310603;5,61788683135398e-05;0,0438439454430514;0,00551892679225143;0,00147141580727928;0,000265458192695511;0,0015505609751484;6,31686231056652e-06;0,00631169632428485;0,00103363246155179;0,000333239475562243;7,3667723671318e-05;0,00919070056438668;1,76646215320659;0,0286785567038393
"classe 8";-0,291746444460773;-0,0746737372888592;0,642438294063293;-0,185704025384706;0,504189072087465;-0,482941704945889;-0,28811819637589;-0,0737450718348204;0,634448734792403;-0,183394553282304;0,497918822458198;-0,476935694078066;0,0136814164779385;0,000640081835618534;0,037004498740327;0,00237661744577766;0,0144875178445959;0,0108476697992194;0,00122299418163424;8,01214909019958e-05;0,00593029212788846;0,000495513946550677;0,00365258308727005;0,00335121791432464;0,0143685600372806;1,49061185006591;0,0319258439029174
"classe 9";-0,487794276415468;0,159093460008089;0,409265869327441;-0,0924774681337106;-0,0129882724632697;-0,548661072191212;-0,566856979445206;0,184879656342791;0,475600526069668;-0,107466407023535;-0,015093438469273;-0,637589191096987;0,00962341646523127;0,000731038657019224;0,00377866771171633;0,000148294303383239;2,41905570355454e-06;0,0035228267995882;0,000332649920509482;3,53849574622444e-05;0,000234166670040975;1,19559994322673e-05;2,35839640794465e-07;0,000420845143050084;0,00139802205768135;2,97164269207547;0,0123454578684238
"classe 10";-0,170160472405709;-0,182140213567371;0,91400622715342;-0,0615370320926868;1,29688670513801;-0,609165195819238;-0,0989987765421988;-0,105968548672762;0,53176567366596;-0,0358020332400631;0,754524216507754;-0,354410211993337;0,00233673144656455;0,00191197816837466;0,0376063785002906;0,000131027138541466;0,0481263274516839;0,00866540205594363;0,000170911968420446;0,000195824395143888;0,00493120911786756;2,23526081054474e-05;0,00992794099103532;0,00219040930362523;0,00590275979909905;2,10367579662328;0,0261223793161104
"classe 11";-0,0743467617763636;-0,193538023015113;0,512945678296053;-0,101567565024954;0,836434650669018;-0,207778175779256;-0,0722389393994092;-0,18805098140152;0,498403035778188;-0,0986879993086105;0,812720696874454;-0,201887408274577;0,00101080762140715;0,00489166607083979;0,0268385413834816;0,000808818731516284;0,0453623591187911;0,00228439587130952;7,82765551619985e-05;0,000530444793529521;0,00372606425927564;0,000146089052322496;0,00990767203146513;0,000611374679505901;0,0141614456583648;1,39750166065604;0,0276574576106871
"classe 12";0,105180212463169;-0,392551236292896;0,900369810053598;-0,463978572324244;1,49547214785176;2,63719433760891;0,0326427383410468;-0,12182849788643;0,279430279056047;-0,143996011964097;0,464120625690334;0,818454752097049;0,000213305940900142;0,00212181429498972;0,00871863463504047;0,00177962065628498;0,015288987631796;0,0388012974939421;3,6946904807639e-05;0,000514638974572709;0,00270739624958364;0,000718961810938477;0,00746907176267402;0,0232270600809515;0,00333971936001657;4,30384970907694;0,0618620302144537
"classe 13";1,01161067377359;-1,80897010164309;-0,931617225603639;0,424248709226435;0,147836313633544;1,66736656168796;0,354447598552703;-0,633825961908087;-0,3264195376209;0,148648032363535;0,0517988072929545;0,584210990472059;0,0851680489049369;0,194487851285736;0,0402899453100128;0,00642225694535048;0,000644910352994103;0,0669482428391015;0,0209567317049783;0,0670130716991961;0,0177734512540197;0,00368585126906007;0,000447567967750885;0,0569323253655255;0,0204784342152954;2,07156985769496;0,0878811868992507
"classe 14";-0,231188165816049;-0,0694226250506151;0,61378832265411;-0,176014739656375;0,189490528041212;0,663551314014639;-0,238174875269409;-0,0715206377624946;0,632337544934205;-0,18133405970525;0,195217098252601;0,683604417606905;0,00194217312632281;0,000125065813627049;0,007635997029837;0,000482671373877318;0,00046261420189701;0,00462948716206257;0,000124535730368276;1,1229614202937e-05;0,000877808974586785;7,21873083380918e-05;8,36638383358455e-05;0,00102591599362476;0,00233003676280226;3,13506217619237;0,0229010339246436
"classe 15";-0,173519698345892;-0,134920259306851;0,843688733275748;-0,334741528156074;0,581656221700195;-0,212452194398214;-0,154852090601028;-0,12040525898363;0,752922955777922;-0,298729342778264;0,519080443315572;-0,189596148269919;0,00663822516875054;0,00286608162089661;0,0875368019831531;0,0105918135239924;0,0264468757458574;0,00287941305510027;0,000712465809108918;0,000430745544542147;0,0168434463908244;0,00265146347212886;0,00800569822559123;0,00106804340348002;0,0236628177911251;1,27276236068099;0,0383319670808354
"classe 16";0,0422285563179575;-0,295914182279673;0,782752573634807;0,0194187384072373;1,3784709996478;0,0969158183496894;0,0261288004993435;-0,183096068345202;0,484325954286869;0,0120152897951635;0,852925055565106;0,059966390132376;0,000324378322701619;0,0113749821437991;0,0621670313862464;2,94088541510502e-05;0,122552402718113;0,000494374207974514;5,05068233769122e-05;0,00248009973546385;0,0173534805865457;1,06802054847412e-05;0,0538186566762232;0,000266027737170576;0,0283228913167297;1,4012152383035;0,0556092821828562
"classe 17";0,092905380313745;-0,240599202020284;0,91310475561599;0,454800114885634;1,02684910275301;1,23716869880199;0,048350667463519;-0,125214836531375;0,475206325500772;0,236691234059264;0,534402198610647;0,643858645753799;0,000157652059361828;0,000755068044337011;0,00849436448580322;0,00161977903798303;0,0068283909893324;0,00808914982958656;1,76534294415183e-05;0,000118395642960985;0,00170525198787227;0,000423046870385203;0,00215655535924373;0,00313043868778381;0,00204525449179309;4,42196774752706;0,039992494745855
"classe 18";2,81097103594436;2,22416296744727;-0,316568896541454;-0,385544172616862;-0,0656140567288648;-0,0457621772628838;0,776531524316528;0,614425633475075;-0,0874522450210698;-0,106506684069388;-0,0181259012763677;-0,0126418140961214;0,682972325902142;0,30535383871834;0,00483168502965748;0,00550852566539749;0,000131938442178167;5,23758203690911e-05;0,557850906532691;0,349251767462798;0,00707525157365846;0,0104943051506463;0,000303947923911918;0,000147849125423253;0,0706001139129084;2,03272836186375;0,291718582961026
"classe 19";0,315554965679821;-0,824243293174725;0,605893116633112;0,201986247571457;1,47614631030211;2,13007353501713;0,112247553291436;-0,293195490606266;0,215525113831345;0,0718494859986423;0,525087004334181;0,757698558542452;0,00472524695524525;0,0230231702812392;0,00971713589373526;0,000830070158991268;0,0366623662384149;0,0623003923622125;0,000438247273393125;0,00299006086776776;0,00161570185090808;0,000179561319198458;0,00959020732152304;0,0199690947801653;0,00440118055195982;2,74338836588189;0,0331240758408725
"classe 20";0,0501909847399842;-0,276141708758129;0,62361831360537;0,2668627505056;0,690471267211583;-0,0561116570854883;0,0497260322158044;-0,273583624170158;0,617841321770328;0,264390623088695;0,68407497193611;-0,0555918574295746;0,000492142259186537;0,0106385649529939;0,0423788055685443;0,00596501948868531;0,0330230859277055;0,000177980543919769;5,00226921248091e-05;0,00151418745464879;0,00772241877015721;0,00141413718932549;0,0094668795070144;6,25204098973366e-05;0,0198570910785481;1,35208786975262;0,03630157440525
"classe 21";-0,215154737771582;-0,151311704823917;0,805443778015485;0,145357811556258;0,917944611990794;1,06846370023616;-0,130377839588468;-0,0916907216811278;0,488076724571679;0,0880828265010472;0,556249128477437;0,647459546363244;0,00114927952065001;0,000405927708805414;0,00898392397146796;0,000224904071463749;0,00741726852291705;0,00820106964259308;9,34795674538795e-05;4,62338346529323e-05;0,00131004232911564;4,2666951889223e-05;0,00170156216624213;0,00230533694766074;0,00201936519442862;3,79282328978156;0,0290495951842214
"classe 22";-0,259397136243066;-0,0831508864175414;1,06721717429261;-0,580984749077744;1,05936178845699;-1,78308449214447;-0,107226124492714;-0,0343718031271256;0,44115198513307;-0,240159717779628;0,437904830628021;-0,737067658127711;0,00378218582914799;0,000277540319328302;0,0357100029129549;0,00813464676353655;0,0223660001625831;0,051711063531188;0,000609703464036824;6,26501441828821e-05;0,0103203379585456;0,00305856541012077;0,0101689688188002;0,0288092633755537;0,00906125407756433;2,52068324619842;0,0575737951038908
"classe 23";0,929016350102918;-1,78756663287123;-0,735872174169191;-0,150335314175601;0,247290785005084;0,836980426584905;0,40036878450787;-0,770369520353647;-0,317131391597838;-0,0647884905345597;0,106572409626068;0,360704992986995;0,123173233342903;0,325667120537612;0,0431068367791384;0,00138289234296373;0,00309437327130133;0,0289285953181341;0,0344325841315933;0,127481563547275;0,0216036764666317;0,000901664397210023;0,00243971316079667;0,0279481783602576;0,0398954072386475;1,58193893688695;0,0998394853948146
"classe 24";-0,132535867784939;-0,182431799472352;0,704638973473026;-0,230867797015999;0,791830877373338;-0,0483669757886476;-0,119503633404727;-0,164493304717216;0,635351916246877;-0,208166597017537;0,713970251748862;-0,0436110574453769;0,00450257512614011;0,00609221200265454;0,0709903311530483;0,00585757097003854;0,0569831153813734;0,000173507837860457;0,000495693944803045;0,000939177859214141;0,0140113532439668;0,0015040888073301;0,0176934135249416;6,60153041517163e-05;0,0282193341272718;1,18039529931007;0,0393189312450244
"classe 25";0,0813210730992607;-0,368643096237677;0,804663215167671;0,116253654732545;0,967677363816212;0,25036061694141;0,0605696123801103;-0,274572980836904;0,59932975773388;0,086588119617244;0,720746057590917;0,186473750842871;0,00102902098096361;0,0151011508661853;0,056197641578314;0,000901629231832087;0,0516614271623473;0,00282213100125906;8,04682068323718e-05;0,00165359949851757;0,00787855222458105;0,000164449043446816;0,0113940805625195;0,000762693680479036;0,0121679697613007;1,51501005505653;0,0279285991159718
"classe 26";-0,0651151107976923;-0,190347933352602;0,925955988212182;-0,333660274701717;0,940169538760422;-0,0417751015248813;-0,0473034951230805;-0,138280077031711;0,672669585231428;-0,24239069831511;0,682995154992482;-0,0303479221188463;0,000523187341352263;0,00319278592258184;0,0590127855356683;0,00588978432036891;0,03867169602708;6,23097205064924e-05;4,79695084886744e-05;0,000409918985002645;0,00970023800161345;0,00125953635337413;0,0100003235857939;1,97440721260285e-05;0,0113136229482732;1,7012874539684;0,032745912687056
"classe 27";0,262306326654502;-0,126555651382316;1,0538108550612;0,203361351687204;1,83533658863205;0,150285605464049;0,121933847592172;-0,0588297571941714;0,489866995702536;0,0945331070699893;0,853161472438909;0,0698606943479763;0,00273315188709086;0,000454348533867206;0,0246061313028591;0,00070433586148474;0,0474422074827301;0,000259602052497739;0,000185255510182513;4,31237669255798e-05;0,00299005336036509;0,000111350056786747;0,00906953557011957;6,08118721536882e-05;0,00269248692590483;2,99848176010306;0,0242078614930294
"classe 28";-0,233042682698961;-0,0513598922160728;0,638312258889329;-0,3879726478306;1,41127425762735;-0,855423903575517;-0,127546655077878;-0,0281097968039726;0,349354858833771;-0,212341417114666;0,772404903999536;-0,468182293093751;0,00157109077162581;5,44952125689452e-05;0,00657458692292058;0,0018669353487382;0,020428683623172;0,00612519916226756;0,000140601905347508;6,82917860624092e-06;0,00105484010730699;0,000389692889413055;0,0051563584897262;0,00189444947654009;0,00258892973644695;3,51365698155768;0,0319623709005567
