"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,357148687544695;12,485419303778;12,485419303778
"facteur 2";0,255052078275058;8,91626443724673;21,4016837410248
"facteur 3";0,19921444424864;6,96425873748201;28,3659424785068
"facteur 4";0,153124888046088;5,35303222375758;33,7189747022643
"facteur 5";0,126629900592622;4,42680446668801;38,1457791689524
"facteur 6";0,103341836184372;3,61268626032051;41,7584654292729
"facteur 7";0,0967696712295803;3,38293255253487;45,1413979818077
"facteur 8";0,0882597523914542;3,08543767535763;48,2268356571654
"facteur 9";0,0740568007835965;2,58892232374184;50,8157579809072
"facteur 10";0,0720766289380788;2,51969828163548;53,3354562625427
"facteur 11";0,069321838486925;2,42339465494948;55,7588509174922
"facteur 12";0,0650451138990343;2,27388633645703;58,0327372539492
"facteur 13";0,0619404429108285;2,16535137485739;60,1980886288066
"facteur 14";0,0590854264528563;2,06554398695397;62,2636326157606
"facteur 15";0,0577435174012318;2,01863272069048;64,282265336451
"facteur 16";0,0565631543449623;1,9773688768009;66,2596342132519
"facteur 17";0,0549459503167284;1,92083368264669;68,1804678958986
"facteur 18";0,0504719550253013;1,76442905587733;69,944896951776
"facteur 19";0,046881925136181;1,63892662497968;71,5838235767556
"facteur 20";0,0421906474728719;1,4749261099574;73,058749686713
"facteur 21";0,0390828542836602;1,36628200057123;74,4250316872843
"facteur 22";0,038229390034509;1,3364460824143;75,7614777696986
"facteur 23";0,036294963698724;1,2688212394376;77,0302990091362
"facteur 24";0,034575304885014;1,20870436907693;78,2390033782131
"facteur 25";0,0333261251030239;1,16503478856924;79,4040381667823
"facteur 26";0,032052427682184;1,12050810565;80,5245462724323
"facteur 27";0,0300791091731329;1,05152364661478;81,5760699190471
"facteur 28";0,0297760145250442;1,04092788103565;82,6169978000828
"facteur 29";0,0287219164964023;1,00407808616349;83,6210758862463
"facteur 30";0,0278799896382881;0,974645499083493;84,5957213853298
"facteur 31";0,0258149757312243;0,902455497000401;85,4981768823302
"facteur 32";0,0244441329576182;0,854532748226801;86,352709630557
"facteur 33";0,024198875040901;0,845958873998571;87,1986685045555
"facteur 34";0,0236560552529617;0,826982652343096;88,0256511568986
"facteur 35";0,0227658443007756;0,795862120770465;88,8215132776691
"facteur 36";0,021817934014917;0,762724501078587;89,5842377787477
"facteur 37";0,0206291823638252;0,721167403629972;90,3054051823777
"facteur 38";0,0204420204450322;0,714624484349224;91,0200296667269
"facteur 39";0,0192790732611728;0,673969475035168;91,693999141762
"facteur 40";0,0187726976261629;0,656267290066271;92,3502664318283
"facteur 41";0,0184620400010318;0,645407133372591;92,9956735652009
"facteur 42";0,0177185881248049;0,619417094123989;93,6150906593249
"facteur 43";0,0172912906154791;0,604479369984304;94,2195700293092
"facteur 44";0,0170292298549965;0,59531809180578;94,814888121115
"facteur 45";0,0165830557115385;0,579720466900942;95,3946085880159
"facteur 46";0,0164091268160379;0,573640155632554;95,9682487436485
"facteur 47";0,0155893790021832;0,544982916963435;96,5132316606119
"facteur 48";0,0150505254050446;0,52614534779896;97,0393770084109
"facteur 49";0,0148975937018465;0,520799069047677;97,5601760774586
"facteur 50";0,0134549599023554;0,470366606276286;98,0305426837348
"facteur 51";0,0129805643443829;0,453782400135544;98,4843250838704
"facteur 52";0,0120205142609586;0,420220390075856;98,9045454739462
"facteur 53";0,0109649761886962;0,383320253289972;99,2878657272362
"facteur 54";0,0104308308278126;0,364647277489203;99,6525130047254
"facteur 55";0,00993995646294541;0,347486995274597;100
