"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,0931528790681715;57,1375783686126;57,1375783686126
"facteur 2";0,0177869621348935;10,9100647568635;68,0476431254761
"facteur 3";0,0117232153828093;7,19071857325194;75,2383616987281
"facteur 4";0,00638048647051801;3,91362617436974;79,1519878730978
"facteur 5";0,00505220525473301;3,0988926650927;82,2508805381905
"facteur 6";0,00473506541448861;2,90436724991458;85,1552477881051
"facteur 7";0,00349896236311072;2,14617345412112;87,3014212422262
"facteur 8";0,00312112165096146;1,91441568648969;89,2158369287159
"facteur 9";0,002444866883693;1,49961841829498;90,7154553470109
"facteur 10";0,0021100139010613;1,29422821749312;92,009683564504
"facteur 11";0,00189044179654616;1,15954834012601;93,16923190463
"facteur 12";0,00165765360810532;1,01676205704621;94,1859939616762
"facteur 13";0,00150941098216927;0,925833845897838;95,111827807574
"facteur 14";0,00135811173742322;0,833030783445382;95,9448585910194
"facteur 15";0,00118725587677555;0,728232196164479;96,6730907871839
"facteur 16";0,00102683528797072;0,629834336039651;97,3029251232236
"facteur 17";0,000882964870671659;0,541587925133403;97,844513048357
"facteur 18";0,000728281153136811;0,446708914184878;98,2912219625418
"facteur 19";0,000572646307027468;0,351246505449752;98,6424684679916
"facteur 20";0,000547321245750991;0,335712764701753;98,9781812326933
"facteur 21";0,000528018400061038;0,323872895989378;99,3020541286827
"facteur 22";0,00036353847549239;0,222985143789825;99,5250392724726
"facteur 23";0,000308687921757688;0,189341225921385;99,7143804983939
"facteur 24";0,000267009380531266;0,163776681492528;99,8781571798865
"facteur 25";0,000198643516428702;0,121842820113542;100
