"";"banalfreq";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"toute";16;0,2018;-0,3838;-0,76;-0,5397;1,8096;0,2613;-0,0642;-0,1006;-0,0097;-0,0411;-0,0991;-0,0233;-0,1438;-0,0162;0,4971;-0,1997;-0,0142;-0,1633;-0,0307;-0,1394;-0,014;0,8679;-0,283;-0,1989;0,7498;-0,0791;-0,0187;-0,018;-0,0086;0,5125;-0,0656;-0,0153;-0,1633;-0,0361;-0,0173;1,1124;-0,1282;-0,1161;1,9971;-0,0128;-0,0081;-0,0882;-0,0258;-0,0173;-0,0186;-0,0611;-0,0126;-0,0155;-0,0135;-0,0171;-0,0164;-0,0589;-0,0515;-0,0139;-0,064;-0,0128
"suivre";10;-0,2687;-0,5534;-0,475;0,2676;-0,1493;1,0897;-0,0401;-0,0629;-0,0061;-0,0257;-0,0619;-0,0145;0,7283;-0,0101;-0,104;0,6025;-0,0089;0,2847;-0,0192;-0,0871;-0,0088;1,0604;0,4756;-0,1243;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;0,6882;-0,041;-0,0096;-0,1021;-0,0225;-0,0108;0,5932;-0,0801;-0,0726;-0,1269;-0,008;-0,0051;-0,0551;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;-0,0368;-0,0322;-0,0087;-0,04;-0,008
"possible";19;-0,5106;-0,4974;-0,3978;0,7813;1,604;0,6312;1,8864;0,6189;-0,0115;-0,0489;-0,1177;-0,0276;0,488;-0,0193;-0,1976;-0,2371;-0,0169;0,834;-0,0364;-0,1655;-0,0167;-0,0751;-0,336;-0,2363;-0,101;-0,0939;-0,0223;-0,0214;-0,0103;-0,1893;0,7845;-0,0182;-0,1939;-0,0428;1,3354;-0,2431;-0,1523;-0,1379;-0,2411;-0,0152;-0,0096;-0,1047;-0,0306;-0,0205;-0,022;-0,0725;-0,015;-0,0184;-0,016;-0,0203;-0,0195;-0,07;-0,0611;-0,0165;-0,076;-0,0152
"si";27;-0,7256;-0,4469;1,7563;1,3269;0,2184;-0,5818;-0,1083;0,4901;-0,0164;-0,0694;-0,1673;-0,0392;-0,2427;-0,0274;-0,2809;1,398;-0,024;-0,3742;-0,0517;-0,2353;-0,0237;-0,1068;-0,4776;0,7537;-0,1436;-0,1335;-0,0316;-0,0304;-0,0146;-0,2691;-0,1108;-0,0258;0,328;-0,0609;-0,0292;0,7349;-0,2164;-0,196;-0,3426;-0,0216;1,5087;-0,1488;-0,0435;-0,0292;-0,0313;-0,1031;-0,0213;-0,0261;-0,0228;-0,0289;-0,0277;-0,0994;-0,0869;-0,0234;-0,108;1,3145
"extra_terrestre";11;0,8597;-0,6088;-0,5225;-0,371;0,5019;-0,237;-0,0441;-0,0691;-0,0067;-0,0283;0,838;-0,016;-0,0989;-0,0111;0,6352;-0,1373;-0,0098;0,7456;-0,0211;-0,0958;-0,0097;1,021;-0,1945;0,5684;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;1,7839;-0,0798;-0,1396;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"tomber";18;-0,4837;-0,4588;-0,855;0,4049;1,6678;-0,3878;1,9321;0,6394;-0,0109;-0,0463;-0,1115;-0,0262;-0,1618;-0,0182;-0,1872;-0,2247;-0,016;-0,5725;-0,0345;-0,1568;-0,0158;-0,0712;-0,3183;-0,2238;-0,0957;-0,089;-0,0211;-0,0203;-0,0097;0,4706;-0,0738;1,4102;-0,1837;-0,0406;-0,0195;1,8427;-0,1442;-0,1306;0,3883;-0,0144;-0,0091;1,6728;-0,029;-0,0195;-0,0209;-0,0687;-0,0142;-0,0174;-0,0152;-0,0193;-0,0184;-0,0663;0,9037;-0,0156;-0,072;-0,0144
"vouloir";30;-0,3415;0,3094;1,0772;-1,0122;-0,448;0,3668;-0,1203;-0,1886;-0,0182;-0,0772;0,4582;-0,0436;0,3348;-0,0304;0,2902;0,2382;-0,0267;-0,9543;0,9066;-0,2614;-0,0263;-0,1186;-0,5306;0,2392;-0,1596;-0,1483;-0,0351;-0,0338;1,4362;-0,299;-0,1231;-0,0287;-0,3062;-0,0677;1,1429;1,9745;-0,2404;-0,2178;0,6707;-0,024;-0,0152;-0,1654;-0,0483;-0,0324;-0,0348;-0,1146;-0,0236;-0,0291;-0,0253;-0,0321;-0,0307;-0,1105;1,6862;-0,026;0,6172;-0,024
"laisser";22;-0,5912;-0,3007;-0,2235;1,1123;0,2752;1,0562;0,7355;-0,1383;-0,0134;-0,0566;-0,1363;-0,032;-0,1977;-0,0223;0,3876;0,3292;-0,0196;-0,2729;-0,0422;-0,1917;-0,0193;-0,087;-0,3891;0,3303;-0,117;-0,1087;-0,0258;-0,0248;-0,0119;0,4019;-0,0902;-0,0211;-0,2246;-0,0496;1,2734;0,3215;-0,1763;-0,1597;0,324;-0,0176;-0,0111;-0,1213;-0,0354;-0,0238;-0,0255;-0,084;-0,0173;-0,0213;-0,0186;1,2778;-0,0225;-0,081;-0,0708;-0,0191;-0,088;-0,0176
"époque";15;0,2185;-0,8302;-0,2757;-0,1612;0,3948;-0,3232;-0,0602;-0,0943;-0,0091;-0,0386;-0,0929;-0,0218;-0,1348;-0,0152;1,3196;0,4557;-0,0133;-0,4771;-0,0287;-0,1307;-0,0132;-0,0593;-0,2653;0,457;-0,0798;-0,0741;-0,0176;-0,0169;-0,0081;-0,1495;-0,0615;-0,0144;-0,1531;1,1254;-0,0162;1,1622;-0,1202;0,6542;0,45;-0,012;-0,0076;1,8256;-0,0242;-0,0162;-0,0174;-0,0573;-0,0118;-0,0145;-0,0127;-0,016;-0,0154;-0,0552;-0,0483;-0,013;-0,06;-0,012
"répondre";12;-0,3224;-0,6641;-0,57;0,2174;-0,1791;-0,2585;-0,0481;-0,0754;-0,0073;-0,0309;-0,0743;-0,0174;-0,1078;-0,0122;-0,1248;0,5351;-0,0107;0,6862;-0,023;-0,1045;-0,0105;-0,0474;0,4128;0,5365;0,8644;-0,0593;-0,0141;-0,0135;-0,0065;0,6186;0,9701;-0,0115;0,6095;-0,0271;-0,013;-0,1535;-0,0962;-0,0871;-0,1523;1,6608;-0,0061;-0,0661;1,3611;-0,013;-0,0139;-0,0458;-0,0095;-0,0116;-0,0101;-0,0128;-0,0123;-0,0442;-0,0386;-0,0104;-0,048;-0,0096
